Municipality,Sep 2011,Dec 2011,Mar 2012,Jun 2012,Sep 2012,Dec 2012,Mar 2013,Jun 2013,Sep 2013,Dec 2013,Mar 2014
BUF,2.0859851695,1.5708567267,1.4489155191,2.1184706038,1.7080799788,2.0986096398,1.6596411547,2.4060262182,2.1655601165,1.5909666314,2.0338215042
CPT,11.3054882506,10.137266158,9.4625497256,8.5961348932,7.5620316543,6.7729900808,6.1782209535,7.3279236561,7.6105802473,10.2370063738,9.7559404667
EC101,0.4052320907,0.3643637362,0.7275508403,0.2408173671,0.4775165219,0.4449630341,0.4340203557,0.1320965623,0.3305159532,0.3466162022,0.5588021885
EC102,1.3108160658,1.4791956002,0.9884450864,0.2624854175,0.8040664408,0.6662963169,0.781956558,0.9467529582,0.7660407755,0.5192767068,0.4740569968
EC103,0,0,0,0,0,0,0,0,0,0,0
EC104,0.0370692872,0.9721980346,1.7746361488,2.3637392711,2.4071277522,3.7575569101,2.2887050628,0.7338972509,1.026570469,0.0714019157,1.2026371439
EC105,1.4952759252,2.1716032431,1.662416634,2.5163462796,1.2014515496,2.5900680005,1.7005688505,1.4964038185,2.0391983784,1.4977115209,1.6044854191
EC106,4.965323646,4.7711177161,3.4515081462,1.8912556877,1.7131586673,2.3235358873,2.1729964773,1.0301629238,2.8150777925,2.0502715397,2.2112138559
EC107,0,0,0,0,0,0.1182365858,0,0.0394121953,0.2955914644,0.1126062722,0.0731940769
EC108,8.3267111751,5.8203494389,7.3699750401,8.0459019055,5.7994987723,2.769161306,2.2855171574,0.4032853751,1.5217232493,0.3763976542,0.5729418211
EC109,1.1280033446,1.5146201707,1.1177237292,1.0139438802,1.4370558001,0.6652239136,3.3332759511,4.3998229349,3.3408749969,3.1843444901,5.8454122913
EC121,0.2642119345,0,0.7914589128,0.3116798544,0.341576798,0.4887744254,0.886355523,0.3352137429,0,0.5785515615,0.8860024558
EC122,3.1840762312,1.5732120924,1.2344981972,2.9133840485,1.1074527517,1.2837275645,1.3124529498,1.8001505606,0.5441974722,1.7053171679,1.0410475851
EC123,0,0,0,0,0,0.4526685645,0.0051293888,0.0256469442,0.2321048447,0.05514093,0
EC124,0.2198520908,0.3974979231,0.3510563782,0.5177719135,0.3572627018,0.2222955253,0.2031552884,0.1750313574,0.034688625,0,0.15665673
EC126,0.9945975897,0.3557972018,1.0700928106,0.9883640393,0.0750796509,0.1018008034,0.1274414739,0.1863138939,-0.0909544258,0.2080066491,0.3636237706
EC127,0,0,0,0,0.0609684144,0,0.0505841167,0.0641151713,0.1544270936,0.5900090469,0.2843881525
EC128,0.4436613914,0.3412462908,0.2560995714,0.5430267062,0.1442466205,0.1978239367,0.3441312232,0.4512858556,0.3049785691,0.2617045829,0.2493405869
EC131,0.2357992678,0.3241610738,0.2313148261,0.1467815741,0.4081604637,0.677104942,0.4829621721,0.1426021965,0.9908938377,0.1638956681,63.6451647346
EC132,0.0622877918,0.032450948,0.0480754785,0,0.0420660437,0.0090141522,0.0210330218,0.0901415222,0.0390613263,0,0.0361167032
EC133,0.6326521324,0.5228255428,0.2679896227,0.1931637158,0.5881389104,1.2778207637,1.1020436029,0.4615174548,0.5530471986,0.6469892131,0.159164353
EC134,0.3125737326,0.4548795898,0.6906036503,0.534455729,0.7780603283,0.5320805566,0.4233626778,0.2684626395,0.185011771,0.2762645302,0.1293394085
EC135,1.5830971576,0.3373758358,1.3729191316,0.7469457667,0.8767369232,0.271372754,0.7029551771,0.764156784,0.8498128938,0.5009217731,0.5506975208
EC136,0.0052904738,0,0,0,0.0004520342,0,0,0.0038674033,0,0.3546710196,0.0484681065
EC137,3.9778603718,-1.3079935439,0.2149337997,0.168352485,0.1283879804,0.0485489959,0.0511211281,0.0306855375,0.0186479587,0.0173618926,0.0077163967
EC138,0.0707747476,0.0460350414,0.5718756881,0.6141203485,0.1009877009,0.129800887,0.2421282753,0.0762637224,0.0856531723,0.0033657324,0.0359850272
EC141,0.1040458662,0.1959374842,0.2020399447,0.2636147125,0.1325022984,0.1058049384,0.2947495675,0.3349114311,0.1287380285,0.264157636,0.083378577
EC142,0.0276183377,0.089824823,0.1736861722,0.0924338427,0.1816026836,0.1095788297,0.0678345136,0.1498322773,0.04509877,0.0141632501,0.038017145
EC143,0.1196803653,2.8284246575,1.1233333333,1.6352739726,0.3342922374,2.2056164384,1.2807534247,1.9786757991,0.0156621005,0.2210502283,4.6906164384
EC144,0.0640496481,0.4276806129,0.2255248389,0.085785551,0.3198028328,0.0867060605,0.343320367,0.3257416041,0.3202779345,0.2901386703,0.0811236155
EC153,0,0,0,0,0,0,5.5409525246,5.0622484119,0.3746036534,0.3948204725,0.4275695649
EC154,0.0083260747,0,0.0227365886,0.0576420556,0.0329840652,0.1015140647,0.0558999846,0.0012809346,0.0220961213,0.0166521494,0.1131065225
EC155,0.9214332449,0.7085987809,0.4690244154,0.6327697235,0.1730190434,0.3488412135,0.2894176797,0.1406728882,0.0678398016,0.0654292503,0.0320258962
EC156,0.0807539872,0.1349441629,0.0892544069,0.0804883491,0.1126305611,0.135634822,0.1481251262,0.5827622114,1.0128090699,0.5444943844,0.2010880537
EC157,0.4094441124,1.1724336411,1.2917092825,0.6866130925,0.5159017954,0.8837107879,1.8279759137,1.2899293795,0.9381018795,0.5117221226,1.2612361914
EC441,0.0165127083,0.0062106621,1.6940979087,0.4490073243,0.7391031333,0.3849433142,0.4354086233,0.4038107759,0.4431253465,0.2633742635,0.5657687534
EC442,1.1562728316,1.3103486066,1.0755662248,1.0755662248,0.4129475003,0.3921824444,0.3971192986,0.8702745016,0.8423911909,0.588607661,0.2478864419
EC443,0.217271776,0.2110640109,0.3401961654,0.2723257835,0.167432291,0.1901349745,0.2940706976,0.1161738884,0.1209627357,0.19297281,0.2289742999
EC444,0.0613021875,1.2822481771,1.1391398335,1.059374395,0.8312012002,1.2480802736,1.7240110989,1.8273859457,1.6687020068,1.5970833064,1.5970833064
EKU,14.5063237973,14.7699827275,17.7389410628,18.2464062898,11.8604413444,13.2481212659,13.1530371531,12.9272813649,14.3922840234,14.207406079,16.9046925093
ETH,5.3213285881,4.7943611957,5.9264347929,6.4510921429,5.034661966,6.114645152,5.3732746217,15.6934818864,-13.7232846875,23.4239767415,5.2091189739
FS161,0.3748576162,0.3140209175,0.3686445066,0.7391011701,0.3544061303,0.3691622657,0.2241897069,0.3093610852,0.2907217562,0.1967484726,0
FS162,0,0,0,0,0,0,0,0,0,0,0
FS163,1.6703859896,1.1291512915,1.3120131201,0.4905406197,1.102618169,0.3466291806,0.2615240438,0.2401452586,0.2749956071,0.5930416447,0.2123235518
FS164,0,0,0.1280743605,0.1335033314,0.3694167969,0,0.3694167969,0.373406268,0.6289380604,0.4654108744,1.3231060294
FS181,0.0249313165,0,0,0,0,0.1232671235,0.0929042852,0.0161998295,0,0.0568415069,0.0443205861
FS182,0.5819361071,0.62764783,2.293590009,1.2607465673,0.8550679638,2.0549920651,0.8383012489,0.3279859242,1.1246808804,0.3950182847,0.319119575
FS183,0.5026771654,0.3779527559,0.48,0.6641469816,0.7972703412,0.5942257218,0.5816272966,0.719160105,0.943832021,0.3926509186,0
FS184,1.701538401,1.0135954003,1.3290549401,1.4595939094,1.7208268444,1.4560560546,1.7450850143,1.5818122772,2.4707880953,1.4846344422,1.7830345347
FS185,0,0,0,0,0,0,0,0,0,0,0.000049249
FS191,0.5527234296,0.8107054362,1.0529054948,1.0141833264,0.8686377079,0.3100704282,1.237608462,1.3185342416,1.0868673233,0.6567137668,6.9745996785
FS192,0.9828909746,0.7514451765,0.6384416957,0.3554668076,0.0555538289,0.244646631,19.4222479488,12.1727219045,17.0690343734,4.9842196047,14.9424027225
FS193,0.7415124992,0.383893641,0.4042503813,0.1832272396,0.5529474173,0.8521152443,0.2329255354,0.3220940256,0.274749685,0.3348584311,0.5976062595
FS194,0.5224757582,5.5976550401,6.1195738927,2.7911603888,1.1626998308,0.6094751388,0.5396832488,0.482354728,0.5021233888,1.1161044004,0.4961254854
FS195,0.6608054928,0.4400066985,0.34853052,0.5612074018,0.6746629825,0.4187808758,0.5992422339,0.1011680482,0.4207485556,0.2614920874,0.2677509838
FS196,0.4346403949,0.1239619242,0.3030397994,0.8719837042,0.679645879,0.4657630837,0.7082419304,0.7031494829,1.2897602632,0.9430821059,1.0210357255
FS201,0.8603580595,1.0821892208,1.4417561608,2.181776842,1.4552425685,1.5054319388,1.2655233847,1.844928114,1.534155184,1.2598796502,1.0691637804
FS203,1.5242366412,0.948398606,1.7960089612,2.1560653833,2.0568951211,2.1046133422,2.8825672088,2.0562396283,1.8936691006,1.282484235,1.773398606
FS204,5.3473589613,8.6627612201,7.2304302921,9.301338627,5.7139590096,4.4578694637,5.8687662634,9.4070338278,5.9602100491,4.7225903372,24.6749336052
FS205,0.3749395259,0.8832676757,0.20733983,0.2298016449,0,0,0,0,0,0,0
GT421,6.9328218296,12.2044139716,13.1438718626,10.2894869212,13.6698694543,10.3365074834,8.4910200468,8.2979825764,8.78466819,7.1115021832,4.466027772
GT422,18.3589364225,37.3649594443,34.3047711986,33.32299766,6.1601242379,19.1816665093,20.4081908899,34.5390394644,38.7499921302,36.6970336093,31.8954575503
GT423,0.8114851286,5.3606109325,0.7984425241,0.4723372186,0.3727491961,0.3823553055,0.4366659968,0.497437701,0.5945840032,0.4896000804,0.5217644695
GT481,6.7262169515,11.5399754982,7.4353488475,4.7805238093,2.6180585064,2.5614283901,8.9485020225,12.0166518589,11.606599489,19.0330581477,14.8114573619
