Municipality,Name,Sep 2011,Dec 2011,Mar 2012,Jun 2012,Sep 2012,Dec 2012,Mar 2013,Jun 2013,Sep 2013,Dec 2013,Mar 2014,Total,Population,Sep 2011P,Dec 2011P,Mar 2012P,Jun 2012P,Sep 2012P,Dec 2012P,Mar 2013P,Jun 2013P,Sep 2013P,Dec 2013P,Mar 2014P
NC084,!Kheis,0.000203,0.000372,0.001354,0.000191,0,0.000024,0.000213,0,0.000316,-0.000104,0,0.00011,16637,0.132235379,0.1743102723,0.2317725551,0.0739315982,0,0.0108192583,0.087756206,0,0.0477249504,-0.1682995732,0
NC083,//Khara Hais,0.004624,0.003645,0.004288,0.004599,0.003556,0.005314,0.003373,0.003827,0.002212,0.000888,0.001004,0.003243,93494,4.609269044,3.3776499027,4.5514364558,3.7287526472,4.0493828481,6.0875029414,3.3571993925,3.8496908893,2.9753674033,1.1348428776,1.3453590605
KZN261,Abaqulusi,0.004734,0.000019,0.005941,0.002208,0.002988,0.008101,0.003027,0.000606,0.000768,-0.000635,0.002854,0.002474,82053,2.467917078,0.0073123469,1.4988848671,1.7695879493,1.1854533046,1.5815996978,1.2455607961,0.1266985972,0.2237212533,-0.3317611788,0.7459568815
LIM351,Aganang,0.002112,0.004091,0.003807,0.024992,0.002587,0.000703,0.005406,0.021889,0.002621,0.002934,0.003648,0.003505,162629,0.586967884,0.6965793309,0.4699469344,1.10994964,0.9917665361,0.2323447848,0.9415971321,0.8291571614,0.9932976283,0.748113805,0.7161145921
MP301,Albert Luthuli,0.00008,0.000411,0.000486,0.000737,0.000132,0.00065,0.002102,0.001677,0.000796,0.000481,0.000024,0.000676,186010,0.0046234073,0.1252620827,0.1529487662,0.1919251653,0.0778452771,0.2768668351,1.0267189936,0.1268748992,0.4654588463,0.2136981883,0.0099457018
EC124,Amahlathi,0.000519,0.004821,0.001277,0.005901,0.000726,0.000812,0.000635,0.00208,0.000068,0,0.000283,0.000829,122778,0.2198520908,0.3974979231,0.3510563782,0.5177719135,0.3572627018,0.2222955253,0.2031552884,0.1750313574,0.034688625,0,0.15665673
LIM331,Ba-Phalaborwa,0.000923,0.000556,0.000438,0.001835,0.000159,0.000477,0.000216,0.0008,0.000095,0.000251,0.00008,0.000393,244217,0.2476936495,0.1157126654,0.075318262,0.1058484872,0.0468927225,0.1137881474,0.0427775298,0.0419544913,0.0303500575,0.0647620764,0.0184999406
EC107,Baviaans,0,0,0,0,0,0.000234,0,0.000126,0.000284,0.000142,0.000125,0.000125,17761,0,0,0,0,0,0.1182365858,0,0.0394121953,0.2955914644,0.1126062722,0.0731940769
WC053,Beaufort West,0.032199,0.065587,0.087855,0.069047,0.033292,0.049606,0.059241,0.094759,0.04665,0.048889,0.058768,0.054177,49586,35.2403904328,30.4348203122,57.8227523898,35.7194167709,45.0957528335,43.5850239987,48.2066107369,67.0541483483,67.5613882951,47.658956157,56.6108780704
LIM361,Bela-Bela,0.002301,0.006062,0.017324,0,0.008247,0,0,0,0.000916,0.000497,-0.001145,0.002132,85234,1.4548536969,3.3440059131,1.8173733487,0,1.7695637891,0,0,0,0.5708872046,0.4000985522,-0.8007719924
WC013,Bergrivier,0.001305,0.00149,0.000016,0.00621,0.001613,0.004064,0.004345,0.007095,0.005056,0.003383,0.005488,0.003677,61897,1.0932355365,0.8932258429,0.0102428228,4.2353102735,1.4656930061,2.7713459457,3.2468617219,4.6684976655,4.9546343118,2.646364121,4.8476985961
WC047,Bitou,0.005526,0.024476,0.031394,0.034206,0.002945,-0.034149,0.02979,0.024354,0.00628,0.042392,0.011072,0.014474,49162,17.893454294,20.5952158171,31.304340751,34.8384728042,15.3301737114,16.7915869981,29.5172897767,37.2903665433,28.6224319596,47.1925470892,14.1715552663
LIM352,Blouberg,0.018335,0.005945,0.008375,0.101677,0,0,0,0,0,0,0,0.002895,131164,0.3166646336,0.7435805556,1.3572702876,1.9795828124,0,0,0,0,0,0,0
EC102,Blue Crane Route,0.001078,0.001666,0.001031,0.000378,0.000695,0.000599,0.000686,0.000908,0.000523,0.000427,0.000453,0.000754,36002,1.3108160658,1.4791956002,0.9884450864,0.2624854175,0.8040664408,0.6662963169,0.781956558,0.9467529582,0.7660407755,0.5192767068,0.4740569968
WC025,Breede Valley,0.013638,0.014108,0.015011,0.024475,0.020743,0.018297,0.021884,0.027943,0.023108,0.01903,0.021115,0.019987,166825,11.6908496928,11.3883051101,13.6868095309,18.8202427694,18.3145511764,17.820332684,20.2576172636,25.4365472801,20.5174104601,17.0895789,25.14826315
BUF,Buffalo City,0.001062,0.001681,0.00159,0.003316,0.000757,0.001969,0.001608,0.003928,0.001329,0.001032,0.001592,0.001507,755200,2.0859851695,1.5708567267,1.4489155191,2.1184706038,1.7080799788,2.0986096398,1.6596411547,2.4060262182,2.1655601165,1.5909666314,2.0338215042
MP325,Bushbuckridge,0.000418,-0.010421,0.041661,0.00988,0.000368,0,0.000008,0.343669,0,0.002475,0.000021,0.002711,541248,0.2974606835,0.3569768387,2.6113777788,0.0704593828,0.1580144407,0,0.0020785296,3.1213953677,0,0.7768342793,0.0039723011
EC101,Camdeboo,0.000363,0.000875,0.000893,0.00076,0.000292,0.000572,0.000594,0.000334,0.000203,0.000396,0.000664,0.000468,50993,0.4052320907,0.3643637362,0.7275508403,0.2408173671,0.4775165219,0.4449630341,0.4340203557,0.1320965623,0.3305159532,0.3466162022,0.5588021885
WC033,Cape Agulhas,0.002682,0.005593,0.005286,0.007501,0.001615,0.005435,0.006854,0.003941,0.001606,0.002478,0.003731,0.00364,33038,5.6632060052,5.2514680065,5.9319874084,5.8634299897,4.0077789212,7.6563351292,8.6751013984,5.7225921666,4.1238876445,3.4010533325,5.254464556
CPT,Cape Town,0.007641,0.007504,0.00627,0.006487,0.004672,0.004269,0.004025,0.004648,0.004387,0.00652,0.005292,0.005543,3740026,11.3054882506,10.137266158,9.4625497256,8.5961348932,7.5620316543,6.7729900808,6.1782209535,7.3279236561,7.6105802473,10.2370063738,9.7559404667
WC012,Cederberg,0.024687,0.024452,0.027347,0.023883,0.007883,0.011199,0.01332,0.015226,0.008072,0.008726,0.003705,0.014143,49768,18.7360352033,15.8487582382,16.9936505385,15.2743730911,7.5900779617,9.4442412795,9.7114611799,8.3131128436,7.2664362643,6.8508680276,3.8620599582
KZN252,Dannhauser,0.000536,0.001269,0.001474,0.001559,0.001615,0.00213,0.001123,0.002402,0.001125,0.002194,0.002184,0.001625,363236,0.3491118722,1.0932974705,1.2269240934,1.3574480503,1.695534033,2.1140333007,1.0489048442,1.877085421,1.1412745433,2.1855598013,2.0044874407
FS192,Dihlabeng,0.000877,0.00111,0.000534,0.000759,0.000046,0.000232,0.02023,0.016698,0.01245,0.004315,0.014131,0.006518,128704,0.9828909746,0.7514451765,0.6384416957,0.3554668076,0.0555538289,0.244646631,19.4222479488,12.1727219045,17.0690343734,4.9842196047,14.9424027225
NC092,Dikgatlong,0.000042,0.001231,0.00003,0.003122,0.000291,0.000007,0.000398,0.00146,0,0.000043,0.000041,0.000453,46841,0.0190217971,0.3484127154,0.0090732478,0.7298307039,0.2059733994,0.0017079055,0.1120385987,0.5277214406,0,0.0149441728,0.0149441728
