Eastern Cape: Camdeboo(EC101) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,17170937,0,21842161,21842161,21729930,-291650,-452936,20985344,-37597,0,-1,-37598,0,0,0,0,0,0,-7823,-7823,20939923,21842161,-902238,-4.13,21842161
Property rates - penalties and collection charges,,0,0,1815383,1815383,157164,158037,159809,475010,237976,218138,208116,664230,211073,210720,211237,633030,205524,205922,205809,617255,2389525,1815383,574142,31.63,1815383
Service charges - electricity revenue,,69727650,0,79187534,79263054,6925312,6717249,5763891,19406452,6454061,6004505,5762332,18220898,6595640,6462861,6381281,19439782,5993253,8645664,6350351,20989268,78056400,78577789,-521389,-0.66,79263054
Service charges - water revenue,,14977010,0,22409533,22409533,1529845,1570419,1458367,4558631,1605675,1350951,1389349,4345975,1881133,1894192,1698543,5473868,1348745,1955905,1135266,4439916,18818390,22409533,-3591143,-16.03,22409533
Service charges - sanitation revenue,,6487175,0,9878571,9878571,4949783,552728,531918,6034429,518517,520013,516827,1555357,513798,520483,516327,1550608,518367,535254,514253,1567874,10708268,9878571,829697,8.4,9878571
Service charges - refuse revenue,,3442660,0,5545263,5545263,2369658,317900,329659,3017217,321749,328805,323367,973921,323632,325185,324469,973286,324445,323291,324835,972571,5936995,5545263,391732,7.06,5545263
Service charges - other,,964761,0,715760,715760,66967,146171,43019,256157,111739,63068,64761,239568,82551,68662,80258,231471,82051,90748,62095,234894,962090,1325505,-363415,-27.42,715760
Rental of facilities and equipment,,619080,0,757179,757179,156010,48261,39791,244062,30966,53058,33636,117660,17231,51860,33667,102758,34298,47932,33894,116124,580604,757179,-176575,-23.32,757179
Interest earned - external investments,,2578140,0,2839800,2839800,156641,238181,220450,615272,195602,181941,189421,566964,178873,183289,172986,535148,170702,25842,16327,212871,1930255,2839800,-909545,-32.03,2839800
Interest earned - outstanding debtors,,3928358,0,2341710,2341710,200432,124186,214965,539583,190617,212175,171671,574463,196991,220680,227717,645388,182702,147658,179484,509844,2269278,2341710,-72432,-3.09,2341710
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,438392,0,223975,223975,5912,10224,8898,25034,6337,7700,8550,22587,11375,3985,2723,18083,4531,6237,5421,16189,81893,223975,-142082,-63.44,223975
Licences and permits,,2099075,0,2507685,2507685,366128,148793,184345,699266,101226,120145,179636,401007,93392,155815,255230,504437,322222,-60907,-53127,208188,1812898,2507685,-694787,-27.71,2507685
Agency services,,0,0,51837,51837,0,25036,0,25036,36005,0,0,36005,35556,0,0,35556,0,14783,11348,26131,122728,51837,70891,136.76,51837
Transfers recognised - operational,,65831322,0,75848558,82914008,26596000,1334000,300591,28230591,500000,2979343,13921698,17401041,0,17707,20349000,20366707,39484,0,-634552,-595068,65403271,75848558,-10445287,-13.77,82914008
Other own revenue,,2111131,0,947842,947843,-331957,29033,25343,-277581,72520,48415,278164,399099,30195,488764,19448,538407,39335,62397,267362,369094,1029019,947842,81177,8.56,947843
Gains on disposal of PPE,,5535480,0,350000,350000,0,0,0,0,0,0,0,0,0,0,199500,199500,0,775600,-140000,635600,835100,350000,485100,138.6,350000
Total Revenue (excl. capital transfers and contributions),,195911171,0,227262791,234403762,64877825,11128568,8828110,84834503,10345393,12088257,23047527,45481177,10171440,10604203,30472386,51248029,9265659,12776326,8270943,30312928,211876637,227262791,-15386154,-6.770203750599895,234403762
,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure By Type,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee related costs,,55362332,0,73263396,75491720,4610691,5026989,4845815,14483495,4984927,7253942,6525212,18764081,5711531,5391700,5182483,16285714,5825062,5429822,5413520,16668404,66201694,69533768,-3332074,-4.79,75491720
Remuneration of councillors,,3504936,0,3997934,4197934,292228,292228,292228,876684,369048,311433,311433,991914,311315,311315,311315,933945,602103,340488,340488,1283079,4085622,3997934,87688,2.19,4197934
Debt impairment,,8433204,0,3309053,3309053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3201504,3201504,3201504,3309053,-107549,-3.25,3309053
Depreciation and asset impairment,,39782023,0,42271005,53175936,0,0,0,0,0,0,0,0,0,0,28145774,28145774,0,0,0,0,28145774,42271005,-14125231,-33.42,53175936
Finance charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Bulk purchases,,43697064,0,49129106,49129106,5271031,5860225,4918874,16050130,3325817,3476751,3808673,10611241,3394571,3561859,3230812,10187242,3372665,3260239,4172712,10805616,47654229,49129106,-1474877,-3,49129106
Other Materials,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Contracted services,,1712391,0,2000760,2717083,123540,210937,175880,510357,262859,325430,365016,953305,245328,476873,259492,981693,282826,281003,622808,1186637,3631992,2000760,1631232,81.53,2717083
Transfers and grants,,18000,0,5544,0,6500,1500,1500,9500,1500,1500,1500,4500,1500,1500,1500,4500,1500,1500,1500,4500,23000,,23000,0,0
Other expenditure,,46338357,0,49057119,52313376,6171181,4226493,4971685,15369359,5116370,5155329,4702137,14973836,3559375,4943934,4758942,13262251,5597368,7510550,7154911,20262829,63868275,48057119,15811156,32.9,52313376
Loss on disposal of PPE,,146345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
