Eastern Cape: Blue Crane Route(EC102) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,8496011,0,9080300,9077800,9027205,-3647,298,9023856,20,-15460,0,-15440,-849,-151,3500,2500,-3500,11358,36829,44687,9055603,9080300,-24697,-0.27,9077800
Property rates - penalties and collection charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - electricity revenue,,67060376,0,80025140,76214280,6016575,5734281,6762159,18513015,6699451,6022491,6420331,19142273,6368360,7315726,7197503,20881589,6666026,6105880,6135810,18907716,77444593,80025140,-2580547,-3.22,76214280
Service charges - water revenue,,11408311,0,12038400,12388400,1202537,1154958,1214924,3572419,1099611,992048,932009,3023668,1127919,1104690,1046601,3279210,1080245,1054824,976236,3111305,12986602,12038404,948198,7.88,12388400
Service charges - sanitation revenue,,5795564,0,6094020,6236000,500329,507394,520301,1528024,545180,523609,511265,1580054,516745,520935,518408,1556088,518067,525025,512913,1556005,6220171,6094016,126155,2.07,6236000
Service charges - refuse revenue,,7868145,0,8289600,8350000,688832,703081,702249,2094162,702825,702740,687837,2093402,703081,697734,702996,2103811,702996,702485,689626,2095107,8386482,8289596,96886,1.17,8350000
Service charges - other,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Rental of facilities and equipment,,0,0,54480,54480,0,0,0,0,0,0,0,0,3008,3717,5633,12358,1426,10181,6505,18112,30470,54480,-24010,-44.07,54480
Interest earned - external investments,,1703579,0,1478400,1200000,117207,16999,70663,204869,195430,58690,19555,273675,108496,51922,10391,170809,60689,74180,34891,169760,819113,1478404,-659291,-44.59,1200000
Interest earned - outstanding debtors,,2420796,0,2423200,2568540,219029,234902,236770,690701,273419,272004,276090,821513,282470,280634,282533,845637,293860,263988,269890,827738,3185589,2423204,762385,31.46,2568540
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,80425,0,95040,80000,5623,8313,6503,20439,7676,7587,3660,18923,7000,5750,7700,20450,3050,2000,1050,6100,65912,95044,-29132,-30.65,80000
Licences and permits,,645502,0,612750,855300,57171,54289,51697,163157,74308,62724,13076,150108,22940,76442,87406,186788,78122,87219,77692,243033,743086,612746,130340,21.27,855300
Agency services,,775554,0,668450,668450,66054,67913,57584,191551,75447,43959,43697,163103,57186,40033,50810,148029,36178,59621,60193,155992,658675,668454,-9779,-1.46,668450
Transfers recognised - operational,,50513417,0,50061200,51118150,17106805,311376,1160896,18579077,598680,1089392,14820901,16508973,946795,656344,12221108,13824247,503572,486927,617361,1607860,50520157,50061200,458957,0.92,51118150
Other own revenue,,6590011,0,2548640,3012170,708341,114984,361500,1184825,964708,144763,64812,1174283,276325,99622,104976,480923,247629,174480,237883,659992,3500023,2548644,951379,37.33,3012170
Gains on disposal of PPE,,0,0,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99996,-99996,-100,0
Total Revenue (excl. capital transfers and contributions),,163357691,0,173569620,171823570,35715708,8904843,11145544,55766095,11236755,9904547,23793233,44934535,10419476,10853398,22239565,43512439,10188360,9558168,9656879,29403407,173616476,173569628,46848,0.02699089727841094,171823570
,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure By Type,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee related costs,,54443703,0,63161937,58573110,4495767,4551142,4467044,13513953,4700869,7201006,4646578,16548453,4430533,4614699,4632197,13677429,5067193,5236244,4624323,14927760,58667595,63161937,-4494342,-7.12,58573110
Remuneration of councillors,,2996771,0,3215120,3104840,243410,243410,243410,730230,243410,243410,243410,730230,243410,243192,243301,729903,377882,256825,257480,892187,3082550,3215120,-132570,-4.12,3104840
Debt impairment,,1856796,0,6269820,6100000,522483,522483,522483,1567449,522483,522483,522483,1567449,423436,508335,508335,1440106,508335,508335,2072613,3089283,7664287,6269820,1394467,22.24,6100000
Depreciation and asset impairment,,35423628,0,21624000,36774200,1766795,1766795,1766795,5300385,1766795,1766795,1766795,5300385,10604445,3029315,3029315,16663075,3029315,3029315,3029325,9087955,36351800,21624000,14727800,68.11,36774200
Finance charges,,2821472,0,1281400,3409690,0,0,0,0,0,0,94135,94135,0,0,0,0,0,76026,188735,264761,358896,1281400,-922504,-71.99,3409690
Bulk purchases,,53650958,0,59919900,55651140,19234,6929921,7174208,14123363,4459365,4011025,3951564,12421954,4106609,5113599,4209581,13429789,3981179,3647759,3964885,11593823,51568929,59919900,-8350971,-13.94,55651140
Other Materials,,1526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Contracted services,,1752814,0,0,1342880,197823,80331,67194,345348,99671,64070,188525,352266,44009,126927,161174,332110,48371,70655,98755,217781,1247505,,1247505,0,1342880
Transfers and grants,,0,0,349830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,349830,-349830,-100,0
Other expenditure,,47191032,0,43647135,50493840,3170353,3020493,3301765,9492611,4401681,4272190,4975628,13649499,3316692,3541802,4655043,11513537,2854478,3269036,3635449,9758963,44414610,43647135,767475,1.76,50493840
Loss on disposal of PPE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Total Expenditure,,200138700,0,199469142,215449700,10415865,17114575,17542899,45073339,16194274,18080979,16389118,50664371,23169134,17177869,17438946,57785949,15866753,16094195,17871565,49832513,203356172,199469142,3887030,1.9486873814296548,215449700
,,,,,,,,,,,,,,,,,,,,,,,,,,
Surplus/(Deficit),,-36781009,0,-25899522,-43626130,25299843,-8209732,-6397355,10692756,-4957519,-8176432,7404115,-5729836,-12749658,-6324471,4800619,-14273510,-5678393,-6536027,-8214686,-20429106,-29739696,-25899514,-3840182,14.827235754307978,-43626130
Transfers recognised - capital,,40538934,0,18146450,20384320,0,1440051,373987,1814038,366524,11947200,1781249,14094973,2884,588908,0,591792,581710,78999,37453,698162,17198965,18146450,-947485,-5.22,20384320
Contributions recognised - capital,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Contributed assets,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) after capital transfers and contributions,,3757925,0,-7753072,-23241810,25299843,-6769681,-6023368,12506794,-4590995,3770768,9185364,8365137,-12746774,-5735563,4800619,-13681718,-5096683,-6457028,-8177233,-19730944,-12540731,-7753064,-4787667,61.75193446100793,-23241810
Taxation,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) after taxation,,3757925,0,-7753072,-23241810,25299843,-6769681,-6023368,12506794,-4590995,3770768,9185364,8365137,-12746774,-5735563,4800619,-13681718,-5096683,-6457028,-8177233,-19730944,-12540731,-7753064,-4787667,61.75193446100793,-23241810
Attributable to minorities,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) attributable to municipality,,3757925,0,-7753072,-23241810,25299843,-6769681,-6023368,12506794,-4590995,3770768,9185364,8365137,-12746774,-5735563,4800619,-13681718,-5096683,-6457028,-8177233,-19730944,-12540731,-7753064,-4787667,61.75193446100793,-23241810
Share of surplus/ (deficit) of associate,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) for the year,,3757925,0,-7753072,-23241810,25299843,-6769681,-6023368,12506794,-4590995,3770768,9185364,8365137,-12746774,-5735563,4800619,-13681718,-5096683,-6457028,-8177233,-19730944,-12540731,-7753064,-4787667,61.75193446100793,-23241810
