Eastern Cape: Ikwezi(EC103) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,1593890,0,1676503,1722590,2226286,0,-1442,2224844,1442,0,-503,939,0,0,0,0,0,0,0,0,2225783,1676507,549276,32.76,1722590
Property rates - penalties and collection charges,,231287,0,197043,206962,23632,23567,29921,77120,16000,32566,50119,98685,31373,30339,29822,91534,29595,16034,15108,60737,328076,197042,131034,66.5,206962
Service charges - electricity revenue,,6595498,0,9219863,9201585,557078,549438,568036,1674552,523226,584528,616990,1724744,842723,428882,554308,1825913,394173,306654,1913558,2614385,7839594,9219865,-1380271,-14.97,9201585
Service charges - water revenue,,1238415,0,2101817,1307817,111325,111373,111146,333844,111492,111373,113373,336238,111373,111373,2303,225049,4084,130074,42642,176800,1071931,2101817,-1029886,-49,1307817
Service charges - sanitation revenue,,1514705,0,1595088,1595089,130771,129914,130388,391073,130782,129914,129677,390373,131859,129440,159243,420542,129361,129598,129185,388144,1590132,1595088,-4956,-0.31,1595089
Service charges - refuse revenue,,1280768,0,1352284,1352284,113900,113900,113778,341578,114022,113900,113900,341822,113966,113900,113900,341766,113900,113954,113900,341754,1366920,1352287,14633,1.08,1352284
Service charges - other,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Rental of facilities and equipment,,20269,0,69080,69080,42167,3269,16634,62070,827,1091,1262,3180,1549,794,15005,17348,5194,930,864,6988,89586,69079,20507,29.69,69080
Interest earned - external investments,,61173,0,45616,45616,984,14718,14223,29925,1126,436,1150,2712,409,0,73,482,2643,3960,4024,10627,43746,45617,-1871,-4.1,45616
Interest earned - outstanding debtors,,722520,0,639956,639956,101928,103552,115560,321040,0,118065,236715,354780,120046,118989,122098,361133,123858,77287,78051,279196,1316149,639960,676189,105.66,639956
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Licences and permits,,126357,0,0,30000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,30000
Agency services,,0,0,649188,649188,16062,46709,20674,83445,1354,11450,-4000,8804,0,0,0,0,0,0,0,0,92249,649189,-556940,-85.79,649188
Transfers recognised - operational,,23877507,0,24524400,25979145,7150350,-363226,-211735,6575389,-10870,-295843,7217100,6910387,0,0,4433000,4433000,0,1155626,0,1155626,19074402,24524400,-5449998,-22.22,25979145
Other own revenue,,1044665,0,1717285,5042932,1609,6690,3017,11316,5590,17025,377851,400466,4045,10268,29068,43381,-7548,884296,135385,1012133,1467296,1717286,-249990,-14.56,5042932
Gains on disposal of PPE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Total Revenue (excl. capital transfers and contributions),,38307054,0,43788123,47842244,10476092,739904,910200,12126196,894991,824505,8853634,10573130,1357343,943985,5458820,7760148,795260,2818413,2432717,6046390,36505864,43788137,-7282273,-16.63069840125877,47842244
,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure By Type,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee related costs,,17842909,0,21082291,21914486,1593829,1668763,1568745,4831337,1585925,2286537,1572388,5444850,1576378,1476830,1587297,4640505,1883063,1625232,1656791,5165086,20081778,21082291,-1000513,-4.75,21914486
Remuneration of councillors,,1593348,0,2030720,2030720,121756,142359,142359,406474,142359,142359,142359,427077,142359,162265,157289,461913,203846,169585,169585,543016,1838480,2030726,-192246,-9.47,2030720
Debt impairment,,8183394,0,645217,645217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,645216,-645216,-100,645217
Depreciation and asset impairment,,2815430,0,1217716,1217716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1217715,-1217715,-100,1217716
Finance charges,,616474,0,93720,93720,0,0,0,0,0,0,14580,14580,0,5191,0,5191,6269,0,2913,9182,28953,93720,-64767,-69.11,93720
Bulk purchases,,5879737,0,6409268,5632841,0,758649,0,758649,0,730750,0,730750,60000,0,0,60000,0,0,4611092,4611092,6160491,6409272,-248781,-3.88,5632841
Other Materials,,0,0,0,0,0,0,0,0,0,0,0,0,7134,0,0,7134,0,0,0,0,7134,,7134,0,0
Contracted services,,0,0,2643653,5008820,613026,15032,92664,720722,61160,752339,229680,1043179,6030,153659,573263,732952,315985,20000,5365507,5701492,8198345,2643654,5554691,210.11,5008820
Transfers and grants,,0,0,0,5813131,665464,162137,162321,989922,207241,168757,-335194,40804,438075,189007,136752,763834,59168,224853,2032175,2316196,4110756,,4110756,0,5813131
Other expenditure,,16150432,0,10139572,5485592,572341,459939,727694,1759974,195561,224391,2581893,3001845,624645,363597,526135,1514377,508286,84385,3712771,4305442,10581638,10139574,442064,4.36,5485592
Loss on disposal of PPE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Total Expenditure,,53081724,0,44262157,47842243,3566416,3206879,2693783,9467078,2192246,4305133,4205706,10703085,2854621,2350549,2980736,8185906,2976617,2124055,17550834,22651506,51007575,44262168,6745407,15.23966697699941,47842243
,,,,,,,,,,,,,,,,,,,,,,,,,,
Surplus/(Deficit),,-14774670,0,-474034,1,6909676,-2466975,-1783583,2659118,-1297255,-3480628,4647928,-129955,-1497278,-1406564,2478084,-425758,-2181357,694358,-15118117,-16605116,-14501711,-474031,-14027680,2959.232624026699,1
Transfers recognised - capital,,13167185,0,7284600,18699670,0,0,0,0,0,0,0,0,0,0,0,0,0,4969264,0,4969264,4969264,7284596,-2315332,-31.78,18699670
Contributions recognised - capital,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Contributed assets,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) after capital transfers and contributions,,-1607485,0,6810566,18699671,6909676,-2466975,-1783583,2659118,-1297255,-3480628,4647928,-129955,-1497278,-1406564,2478084,-425758,-2181357,5663622,-15118117,-11635852,-9532447,6810565,-16343012,-239.96558288482674,18699671
Taxation,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) after taxation,,-1607485,0,6810566,18699671,6909676,-2466975,-1783583,2659118,-1297255,-3480628,4647928,-129955,-1497278,-1406564,2478084,-425758,-2181357,5663622,-15118117,-11635852,-9532447,6810565,-16343012,-239.96558288482674,18699671
Attributable to minorities,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
