Eastern Cape: Makana(EC104) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,46135174,0,45925379,45925379,15828200,-4862396,3858486,14824290,5247169,5400986,3625179,14273334,3626141,2997941,3625179,10249261,3625179,3625179,-1549256,5701102,45047987,45925379,-877392,-1.91,45925379
Property rates - penalties and collection charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - electricity revenue,,95765691,0,144242000,144242000,50600586,14764410,9903481,75268477,7681043,9339163,9844369,26864575,6603575,6854816,9844369,23302760,9844369,9844369,17322343,37011081,162446893,144242000,18204893,12.62,144242000
Service charges - water revenue,,39593551,0,50837378,50837378,6699994,-2191297,-682380,3826317,2366979,13960150,4028139,20355268,4154013,3462404,4028139,11644556,4028139,4028139,6247404,14303682,50129823,50837378,-707555,-1.39,50837378
Service charges - sanitation revenue,,19752159,0,24217236,24217236,7318133,-1261445,1349955,7406643,1302444,1346549,1319067,3968060,1321607,1345596,1319067,3986270,1319067,1319067,986338,3624472,18985445,24217236,-5231791,-21.6,24217236
Service charges - refuse revenue,,6362861,0,10907789,10907789,951913,-813936,822578,960555,682909,821439,818777,2323125,820253,822024,818777,2461054,818777,818777,764191,2401745,8146479,10907789,-2761310,-25.32,10907789
Service charges - other,,89858,0,0,0,0,0,3998,3998,5231,7541,4230,17002,3385,41025,4230,48640,4230,4230,4876,13336,82976,,82976,0,0
Rental of facilities and equipment,,789348,0,4323326,4323326,129634,-128498,104784,105920,100798,28468,84964,214230,158377,96147,84964,339488,84964,84964,90981,260909,920547,4323326,-3402779,-78.71,4323326
Interest earned - external investments,,10835646,0,100000,100000,154522,-31436,1071355,1194441,196239,2626238,1280989,4103466,1301759,1605933,1280989,4188681,1280989,1280989,1163765,3725743,13212331,100000,13112331,13112.33,100000
Interest earned - outstanding debtors,,385120,0,9500000,9500000,1082944,-1084026,0,-1082,0,0,0,0,0,0,0,0,0,0,2542493,2542493,2541411,9500000,-6958589,-73.25,9500000
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,655711,0,1041306,1041306,11580,0,8567,20147,13600,750,7727,22077,1850,1898,7727,11475,7727,7727,0,15454,69153,1041306,-972153,-93.36,1041306
Licences and permits,,2596574,0,3372008,3372008,1330,-404502,8752,-394420,17014,162144,1449,180607,1310,3578,1449,6337,1449,1449,659700,662598,455122,3372008,-2916886,-86.5,3372008
Agency services,,877055,0,0,0,0,0,0,0,-551577,297350,0,-254227,0,-1299522,0,-1299522,0,0,760144,760144,-793605,,-793605,0,0
Transfers recognised - operational,,61794398,0,78153000,78153000,26766903,-1383690,1025,25384238,0,0,0,0,26089330,4287000,0,30376330,0,0,831330,831330,56591898,78153000,-21561102,-27.59,78153000
Other own revenue,,2062883,0,9390658,9390658,270135,-287884,66695,48946,142797,139118,80145,362060,1116165,63132,80145,1259442,80145,80145,661347,821637,2492085,9390658,-6898573,-73.46,9390658
Gains on disposal of PPE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Total Revenue (excl. capital transfers and contributions),,287696029,0,382010080,382010080,109815874,2315300,16517296,128648470,17204646,34129896,21095035,72429577,45197765,20281972,21095035,86574772,21095035,21095035,30485656,72675726,360328545,382010080,-21681535,-5.675644736913749,382010080
,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure By Type,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee related costs,,124835865,0,135188460,135188460,9909968,10288086,10533843,30731897,10347781,15356784,10987972,36692537,10687030,10198829,10987972,31873831,10987972,10987972,10052033,32027977,131326242,135188460,-3862218,-2.86,135188460
Remuneration of councillors,,8336735,0,9313000,9313000,1346727,703443,699003,2749173,699003,699003,699052,2097058,699052,699346,699052,2097450,699052,699052,718509,2116613,9060294,9313000,-252706,-2.71,9313000
Debt impairment,,22509630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Depreciation and asset impairment,,36729303,0,27081252,27081252,0,0,1875803,1875803,1875803,1875803,1875803,5627409,1875803,1875803,1875803,5627409,1875803,1875803,1875803,5627409,18758030,27081252,-8323222,-30.73,27081252
Finance charges,,6337044,0,0,0,0,0,8392,8392,26088,962651,694372,1683111,2590113,1060624,694372,4345109,694372,694372,55122,1443866,7480478,,7480478,0,0
Bulk purchases,,67096416,0,79623733,79623733,0,0,0,0,120788,1000000,5918034,7038822,43927537,4200570,5918034,54046141,5918034,5918034,3777296,15613364,76698327,79623733,-2925406,-3.67,79623733
Other Materials,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Contracted services,,6469478,0,6340565,6340565,0,0,8619,8619,407961,285468,1124,694553,54756,180022,1124,235902,1124,1124,707537,709785,1648859,6340565,-4691706,-74,6340565
Transfers and grants,,22093276,0,41862522,41862522,0,0,1615213,1615213,1713549,1785531,1593371,5092451,2065175,1565444,1593371,5223990,1593371,1593371,1495212,4681954,16613608,41862522,-25248914,-60.31,41862522
Other expenditure,,51624833,0,82600880,82600880,4961851,6171523,3120598,14253972,5363350,4283420,2596904,12243674,8208343,5791162,2597908,16597413,2597908,2597908,9797450,14993266,58088325,82600880,-24512555,-29.68,82600880
Loss on disposal of PPE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Total Expenditure,,346032580,0,382010412,382010412,16218546,17163052,17861471,51243069,20554323,26248660,24366632,71169615,70107809,25571800,24367636,120047245,24367636,24367636,28478962,77214234,319674163,382010412,-62336249,-16.317945019781295,382010412
,,,,,,,,,,,,,,,,,,,,,,,,,,
Surplus/(Deficit),,-58336551,0,-332,-332,93597328,-14847752,-1344175,77405401,-3349677,7881236,-3271597,1259962,-24910044,-5289828,-3272601,-33472473,-3272601,-3272601,2006694,-4538508,40654382,-332,40654714,-12245395.78313253,-332
Transfers recognised - capital,,32635540,0,65296000,65296000,0,0,0,0,0,0,0,0,214500,0,0,214500,0,0,0,0,214500,65296000,-65081500,-99.67,65296000
Contributions recognised - capital,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Contributed assets,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) after capital transfers and contributions,,-25701011,0,65295668,65295668,93597328,-14847752,-1344175,77405401,-3349677,7881236,-3271597,1259962,-24695544,-5289828,-3272601,-33257973,-3272601,-3272601,2006694,-4538508,40868882,65295668,-24426786,-37.40950471630063,65295668
Taxation,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) after taxation,,-25701011,0,65295668,65295668,93597328,-14847752,-1344175,77405401,-3349677,7881236,-3271597,1259962,-24695544,-5289828,-3272601,-33257973,-3272601,-3272601,2006694,-4538508,40868882,65295668,-24426786,-37.40950471630063,65295668
Attributable to minorities,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) attributable to municipality,,-25701011,0,65295668,65295668,93597328,-14847752,-1344175,77405401,-3349677,7881236,-3271597,1259962,-24695544,-5289828,-3272601,-33257973,-3272601,-3272601,2006694,-4538508,40868882,65295668,-24426786,-37.40950471630063,65295668
Share of surplus/ (deficit) of associate,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) for the year,,-25701011,0,65295668,65295668,93597328,-14847752,-1344175,77405401,-3349677,7881236,-3271597,1259962,-24695544,-5289828,-3272601,-33257973,-3272601,-3272601,2006694,-4538508,40868882,65295668,-24426786,-37.40950471630063,65295668
