Eastern Cape: Ndlambe(EC105) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,57879560,0,75468000,75468000,9901533,7873833,7254627,25029993,7092556,7106590,6919945,21119091,7015785,6998497,7038216,21052498,5460962,3837702,6017288,15315952,82517534,75468114,7049420,9.34,75468000
Property rates - penalties and collection charges,,0,0,5230000,5230000,416950,434565,456970,1308485,464326,486420,489760,1440506,489437,508646,502594,1500677,0,0,0,0,4249668,5230000,-980332,-18.74,5230000
Service charges - electricity revenue,,45031222,0,54122000,54122000,3582190,5247620,4219800,13049610,4529171,4503121,4403850,13436142,6128878,2867777,4053008,13049663,4518167,125592,7951602,12595361,52130776,53334095,-1203319,-2.26,54122000
Service charges - water revenue,,18427720,0,41070000,41070000,2060752,3063757,2533818,7658327,2817753,2597930,2762339,8178022,3852804,1830939,2666726,8350469,2642510,-2492310,2927038,3077238,27264056,39918954,-12654898,-31.7,41070000
Service charges - sanitation revenue,,5889748,0,14062000,14062000,1538594,1486922,1473240,4498756,1448084,1342269,0,2790353,1316662,1289267,1186523,3792452,1189225,-6563544,1302718,-4071601,7009960,15935527,-8925567,-56.01,14062000
Service charges - refuse revenue,,10877341,0,14572000,14572000,1793396,1468220,1390895,4652511,1356750,1794266,0,3151016,1422986,1075846,1344891,3843723,1356973,-5117194,1337231,-2422990,9224260,14572050,-5347790,-36.7,14572000
Service charges - other,,475520,0,0,0,83246,148913,308932,541091,94208,106150,56841,257199,64350,142052,90750,297152,116234,625,144090,260949,1356391,1223000,133391,10.91,0
Rental of facilities and equipment,,1068217,0,1167000,1167000,63522,69983,61967,195472,63054,66727,56010,185791,57457,61134,62656,181247,59154,53119,53264,165537,728047,1166975,-438928,-37.61,1167000
Interest earned - external investments,,6451856,0,565000,565000,724,2473,1098,4295,413923,167793,90929,672645,129410,6872,1449,137731,353667,154506,321725,829898,1644569,564945,1079624,191.1,565000
Interest earned - outstanding debtors,,0,0,2914000,2914000,257050,256542,256349,769941,255627,285915,257722,799264,258415,258020,251417,767852,496504,524769,496278,1517551,3854608,2913629,940979,32.3,2914000
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,432880,0,680000,680000,44220,29050,31750,105020,42390,25650,34600,102640,51800,34550,97750,184100,62100,49700,102550,214350,606110,680324,-74214,-10.91,680000
Licences and permits,,3498356,0,1661000,1661000,293147,266807,215994,775948,181332,145886,177305,504523,153164,298522,262597,714283,162032,121917,200403,484352,2479106,2298000,181106,7.88,1661000
Agency services,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Transfers recognised - operational,,66450350,0,68869000,68869000,2224000,800519,1225415,4249934,1500145,18623410,928236,21051791,1085394,819049,19371611,21276054,446724,370871,884786,1702381,48280160,68882000,-20601840,-29.91,68869000
Other own revenue,,2992760,0,13652000,13652000,20199880,971404,1168903,22340187,566284,705551,1000033,2271868,226354,799093,596366,1621813,921653,10454521,1806421,13182595,39416463,17548000,21868463,124.62,13652000
Gains on disposal of PPE,,67235,0,512000,512000,3420,0,0,3420,7410,0,0,7410,0,18890,0,18890,19110,0,0,19110,48830,512284,-463454,-90.47,512000
Total Revenue (excl. capital transfers and contributions),,219542765,0,294544000,294544000,42462624,22120608,20599758,85182990,20833013,37957678,17177570,75968261,22252896,17009154,37526554,76788604,17805015,1520274,23545394,42870683,280810538,300247897,-19437359,-6.473770239263324,294544000
,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure By Type,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee related costs,,93352171,0,91204000,91204000,6789752,6643931,7077452,20511135,7264993,7629177,10937150,25831320,8078297,7335250,7418720,22832267,7506744,-7421631,7505201,7590314,76765036,91203263,-14438227,-15.83,91204000
Remuneration of councillors,,5173279,0,5377000,5377000,446060,446061,0,892121,470453,289829,432888,1193170,434527,434527,434527,1303581,0,-493800,470775,-23025,3365847,5377450,-2011603,-37.41,5377000
Debt impairment,,15553627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Depreciation and asset impairment,,33614527,0,1342000,1342000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1342000,-1342000,-100,1342000
Finance charges,,3416999,0,2201000,2201000,0,0,0,0,0,0,299541,299541,0,0,0,0,0,0,0,0,299541,2200640,-1901099,-86.39,2201000
Bulk purchases,,40363243,0,12095000,12095000,4051744,776491,1557663,6385898,1926860,1502557,1849105,5278522,3623544,3399944,3201146,10224634,35860,-3341350,5436767,2131277,24020331,12095000,11925331,98.6,12095000
Other Materials,,0,0,10574000,10574000,145229,107871,359584,612684,302978,559520,214838,1077336,452747,149381,163502,765630,501666,-156342,237278,582602,3038252,10573751,-7535499,-71.27,10574000
Contracted services,,0,0,11505000,11505000,505561,397792,-4080,899273,3809687,1759942,251340,5820969,1881539,193998,1767596,3843133,106281,-3071852,2949972,-15599,10547776,11505000,-957224,-8.32,11505000
Transfers and grants,,8677116,0,0,0,3466994,2757587,1132425,7357006,4009100,3815992,4056687,11881779,3926802,4418597,3401180,11746579,3352957,24385074,8133814,35871845,66857209,,66857209,0,0
Other expenditure,,58479374,0,100518000,100518000,6563113,17046947,20488423,44098483,17772786,14811046,13564604,46148436,5985505,4158332,5573613,15717450,16971947,15381339,19227352,51580638,157545007,191673498,-34128491,-17.81,100518000
Loss on disposal of PPE,,0,0,188000,188000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188100,-188100,-100,188000
Total Expenditure,,258630336,0,235004000,235004000,21968453,28176680,30611467,80756600,35556857,30368063,31606153,97531073,24382961,20090029,21960284,66433274,28475455,25281438,43961159,97718052,342438999,326158702,16280297,4.991526180405268,235004000
,,,,,,,,,,,,,,,,,,,,,,,,,,
Surplus/(Deficit),,-39087571,0,59540000,59540000,20494171,-6056072,-10011709,4426390,-14723844,7589615,-14428583,-21562812,-2130065,-3080875,15566270,10355330,-10670440,-23761164,-20415765,-54847369,-61628461,-25910805,-35717656,137.84849988257795,59540000
Transfers recognised - capital,,51403179,0,25920000,25920000,0,797331,1456099,2253430,3036337,2058640,5222556,10317533,3510837,3280838,2059963,8851638,4967845,2018553,3318377,10304775,31727376,25920362,5807014,22.4,25920000
Contributions recognised - capital,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Contributed assets,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) after capital transfers and contributions,,12315608,0,85460000,85460000,20494171,-5258741,-8555610,6679820,-11687507,9648255,-9206027,-11245279,1380772,199963,17626233,19206968,-5702595,-21742611,-17097388,-44542594,-29901085,9557,-29910642,-312971.0369362771,85460000
Taxation,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) after taxation,,12315608,0,85460000,85460000,20494171,-5258741,-8555610,6679820,-11687507,9648255,-9206027,-11245279,1380772,199963,17626233,19206968,-5702595,-21742611,-17097388,-44542594,-29901085,9557,-29910642,-312971.0369362771,85460000
Attributable to minorities,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) attributable to municipality,,12315608,0,85460000,85460000,20494171,-5258741,-8555610,6679820,-11687507,9648255,-9206027,-11245279,1380772,199963,17626233,19206968,-5702595,-21742611,-17097388,-44542594,-29901085,9557,-29910642,-312971.0369362771,85460000
Share of surplus/ (deficit) of associate,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) for the year,,12315608,0,85460000,85460000,20494171,-5258741,-8555610,6679820,-11687507,9648255,-9206027,-11245279,1380772,199963,17626233,19206968,-5702595,-21742611,-17097388,-44542594,-29901085,9557,-29910642,-312971.0369362771,85460000
