Eastern Cape: Sundays River Valley(EC106) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,13933346,0,14622526,14622526,6356893,4054866,2572681,12984440,1788994,1830080,1850785,5469859,1797993,1813439,1873808,5485240,1822934,1812232,1846364,5481530,29421069,14622528,14798541,101.2,14622526
Property rates - penalties and collection charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - electricity revenue,,14488595,0,10500716,18091985,2393379,1428462,980070,4801911,1013047,1028390,1038581,3080018,888045,790339,1559076,3237460,1018196,2088931,1658563,4765690,15885079,10500600,5384479,51.28,18091985
Service charges - water revenue,,20017568,0,7805532,23077259,1905829,1883744,1901866,5691439,2089334,2013011,2009448,6111793,2057076,2628876,2640440,7326392,2089781,2332867,2749183,7171831,26301455,7805700,18495755,236.95,23077259
Service charges - sanitation revenue,,3518543,0,2483535,3517417,395780,535517,365452,1296749,337355,337298,337815,1012468,337364,337477,337265,1012106,337539,337765,337815,1013119,4334442,2482956,1851486,74.57,3517417
Service charges - refuse revenue,,7197178,0,4572953,6907544,812629,639544,664733,2116906,618789,618717,619297,1856803,618862,619007,618603,1856472,619064,619354,619613,1858031,7688212,4572972,3115240,68.12,6907544
Service charges - other,,10901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,904,0,0,904,904,,904,0,0
Rental of facilities and equipment,,128021,0,134341,119579,11993,11436,13161,36590,9827,11024,11436,32287,10441,11572,9992,32005,9086,12057,11667,32810,133692,134344,-652,-0.49,119579
Interest earned - external investments,,549002,0,213161,183168,674074,707974,0,1382048,0,0,6556,6556,50082,58466,36694,145242,56783,20671,128272,205726,1739572,213156,1526416,716.1,183168
