Eastern Cape: Baviaans(EC107) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,3429311,0,4376515,4376515,4415549,-14754,-37708,4363087,-1978,38010,-345,35687,-15572,0,0,-15572,536,2262,-30698,-27900,4355302,4376520,-21218,-0.48,4376515
Property rates - penalties and collection charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - electricity revenue,,9818825,0,11091027,11026167,790690,788634,1196626,2775950,702462,640697,986166,2329325,999447,711239,779226,2489912,1224987,780360,1237421,3242768,10837955,11091024,-253069,-2.28,11026167
Service charges - water revenue,,3382391,0,3883636,3736430,237907,302669,262316,802892,388496,265212,273117,926825,472881,362731,323049,1158661,309774,357265,232016,899055,3787433,3883632,-96199,-2.48,3736430
Service charges - sanitation revenue,,2123243,0,2256769,2409016,190742,195963,108503,495208,195332,279221,189667,664220,189546,198216,182981,570743,199623,178633,207935,586191,2316362,2256768,59594,2.64,2409016
Service charges - refuse revenue,,2156165,0,2768225,2768225,222672,226678,165143,614493,226610,293780,226576,746966,227015,227015,226825,680855,226597,226041,216797,669435,2711749,2768220,-56471,-2.04,2768225
Service charges - other,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Rental of facilities and equipment,,0,0,42570,181510,4559,1121,64281,69961,5306,53657,3307,62270,1155,974,6671,8800,826,1385,647,2858,143889,42576,101313,237.96,181510
Interest earned - external investments,,121000,0,88000,110000,1490,7391,1361,10242,2926,364,17394,20684,20930,813,2015,23758,5785,2977,138225,146987,201671,87996,113675,129.18,110000
Interest earned - outstanding debtors,,459460,0,372000,481705,36363,37731,33941,108035,44402,45134,43284,132820,44301,46649,47072,138022,46472,41121,40821,128414,507291,372900,134391,36.04,481705
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,9250,0,10000,2000,0,0,500,500,0,1100,0,1100,-1100,300,0,-800,0,0,0,0,800,9996,-9196,-92,2000
Licences and permits,,624581,0,643511,756270,81439,13547,9511,104497,9392,11018,48837,69247,55735,60108,71953,187796,47555,86005,46163,179723,541263,643512,-102249,-15.89,756270
Agency services,,764351,0,782080,687000,83528,0,137906,221434,-15772,12469,-838,-4141,127630,59526,45546,232702,29988,-17027,71998,84959,534954,782280,-247326,-31.62,687000
Transfers recognised - operational,,20152847,0,25820415,27519000,8282000,1490000,0,9772000,550000,424889,6827000,7801889,8787,417000,4760459,5186246,3951358,1163653,0,5115011,27875146,25819000,2056146,7.96,27519000
Other own revenue,,459007,0,309759,308517,26289,89349,81740,197378,88068,82797,20980,191845,30168,24707,23803,78678,13968,20297,51686,85951,553852,309756,244096,78.8,308517
Gains on disposal of PPE,,86445,0,0,100000,2071,22737,42269,67077,0,30583,2632,33215,316,0,0,316,0,0,4211,4211,104819,,104819,0,100000
Total Revenue (excl. capital transfers and contributions),,43586876,0,52444507,54462355,14375299,3161066,2066389,19602754,2195244,2178931,8637777,13011952,2161239,2109278,6469600,10740117,6057469,2842972,2217222,11117663,54472486,52444180,2028306,3.867552128758615,54462355
,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure By Type,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee related costs,,20659282,0,22200379,22300060,1679893,1697748,1701666,5079307,1703995,2789768,1696347,6190110,1801659,1738530,1648057,5188246,1686798,1711199,1510077,4908074,21365737,22200372,-834635,-3.76,22300060
Remuneration of councillors,,1668650,0,1755255,1768337,140669,138565,138565,417799,138565,138565,138565,415695,138565,138565,138565,415695,227094,143844,145142,516080,1765269,1755252,10017,0.57,1768337
Debt impairment,,1229500,0,0,1200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1200000
Depreciation and asset impairment,,16875000,0,15600000,16000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15600000,-15600000,-100,16000000
Finance charges,,1090954,0,1128906,1128906,96832,53837,73259,223928,67437,70840,54241,192518,61304,62877,66820,191001,58651,74822,3346,136819,744266,1128912,-384646,-34.07,1128906
Bulk purchases,,8475329,0,10153318,9300000,997871,1057089,925943,2980903,710508,673932,620425,2004865,668422,981168,623479,2273069,650965,392790,850162,1893917,9152754,10153318,-1000564,-9.85,9300000
Other Materials,,0,0,0,1294170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1294170
Contracted services,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Transfers and grants,,5386386,0,5284823,6696487,1166979,338233,689815,2195027,350061,603449,582414,1535924,376859,389103,357387,1123349,698541,611797,548560,1858898,6713198,5284824,1428374,27.03,6696487
Other expenditure,,16866359,0,15571802,15535514,1471837,918571,664658,3055066,1078537,1108498,875521,3062556,1087609,2467256,1319445,4874310,2405061,2278257,824976,5508294,16500226,15572748,927478,5.96,15535514
Loss on disposal of PPE,,88500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Total Expenditure,,72339960,0,71694483,75223474,5554081,4204043,4193906,13952030,4049103,5385052,3967513,13401668,4134418,5777499,4153753,14065670,5727110,5212709,3882263,14822082,56241450,71695426,-15453976,-21.555037555673355,75223474
,,,,,,,,,,,,,,,,,,,,,,,,,,
Surplus/(Deficit),,-28753084,0,-19249976,-20761119,8821218,-1042977,-2127517,5650724,-1853859,-3206121,4670264,-389716,-1973179,-3668221,2315847,-3325553,330359,-2369737,-1665041,-3704419,-1768964,-19251246,17482282,-90.81117139119202,-20761119
Transfers recognised - capital,,41274675,0,42539736,44797700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42539738,-42539738,-100,44797700
Contributions recognised - capital,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Contributed assets,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) after capital transfers and contributions,,12521591,0,23289760,24036581,8821218,-1042977,-2127517,5650724,-1853859,-3206121,4670264,-389716,-1973179,-3668221,2315847,-3325553,330359,-2369737,-1665041,-3704419,-1768964,23288492,-25057456,-107.59587181514372,24036581
Taxation,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) after taxation,,12521591,0,23289760,24036581,8821218,-1042977,-2127517,5650724,-1853859,-3206121,4670264,-389716,-1973179,-3668221,2315847,-3325553,330359,-2369737,-1665041,-3704419,-1768964,23288492,-25057456,-107.59587181514372,24036581
Attributable to minorities,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) attributable to municipality,,12521591,0,23289760,24036581,8821218,-1042977,-2127517,5650724,-1853859,-3206121,4670264,-389716,-1973179,-3668221,2315847,-3325553,330359,-2369737,-1665041,-3704419,-1768964,23288492,-25057456,-107.59587181514372,24036581
Share of surplus/ (deficit) of associate,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) for the year,,12521591,0,23289760,24036581,8821218,-1042977,-2127517,5650724,-1853859,-3206121,4670264,-389716,-1973179,-3668221,2315847,-3325553,330359,-2369737,-1665041,-3704419,-1768964,23288492,-25057456,-107.59587181514372,24036581
