Eastern Cape: Kouga(EC108) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,128562770,0,141165932,141286641,54716004,5553037,6516867,66785908,6929127,7143000,6850616,20922743,6467214,6971744,7055742,20494700,7030906,7025670,6184040,20240616,128443967,141165932,-12721965,-9.01,141286641
Property rates - penalties and collection charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - electricity revenue,,187559859,0,217205784,217205785,21285998,14642710,6851617,42780325,15696708,15389934,15627422,46714064,18132335,16182010,15244941,49559286,14045041,16023635,15854364,45923040,184976715,217205785,-32229070,-14.84,217205785
Service charges - water revenue,,41651899,0,57152580,57152581,6320673,3900379,1835023,12056075,4320660,4323713,4397171,13041544,4733755,5353963,4661456,14749174,4259295,4355258,4330356,12944909,52791702,57152581,-4360879,-7.63,57152581
Service charges - sanitation revenue,,30544403,0,33005815,35046644,4320689,3132991,3107459,10561139,3240791,3253399,3217642,9711832,3271268,3512997,3354684,10138949,3294977,3390644,8444082,15129703,45541623,33005816,12535807,37.98,35046644
Service charges - refuse revenue,,20452921,0,34629931,34786755,2706922,2713135,2796796,8216853,2706696,2710651,2708345,8125692,2714179,2702204,2710484,8126867,2707439,2712631,2703150,8123220,32592632,34629929,-2037297,-5.88,34786755
Service charges - other,,11009606,0,13601661,14709451,0,0,0,0,261753,0,0,261753,0,0,0,0,0,0,0,0,261753,13601664,-13339911,-98.08,14709451
Rental of facilities and equipment,,276049,0,780996,1138806,103168,32790,497519,633477,41306,25663,28932,95901,25082,28510,33668,87260,25212,97906,400254,523372,1340010,780997,559013,71.58,1138806
Interest earned - external investments,,1709388,0,886487,1590608,0,207091,162549,369640,163197,176103,86364,425664,348122,209703,184849,742674,210657,270185,410694,891536,2429514,886487,1543027,174.06,1590608
Interest earned - outstanding debtors,,3842757,0,4814542,3452651,370021,-6056,246292,610257,437690,434911,243468,1116069,293627,286585,218695,798907,210203,307161,167840,685204,3210437,4814542,-1604105,-33.32,3452651
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,357247,0,8094208,8180915,146892,201481,187014,535387,162629,31132,140651,334412,49800,195760,224862,470422,158183,121474,163533,443190,1783411,8094210,-6310799,-77.97,8180915
Licences and permits,,7847709,0,7248743,6112395,998331,380849,339989,1719169,452810,-311833,797719,938696,436066,105698,524028,1065792,-47509,576125,-414680,113936,3837593,7248741,-3411148,-47.06,6112395
Agency services,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Transfers recognised - operational,,85915625,0,87846799,87864799,0,26626877,327666,26954543,0,3220217,24334798,27555015,0,11533,18423128,18434661,251499,0,3468000,3719499,76663718,87846799,-11183081,-12.73,87864799
Other own revenue,,17548869,0,12630438,13379132,4065910,1848324,2388742,8302976,2478892,1854263,2443124,6776279,2359111,2651529,3798180,8808820,2191751,2121041,2206538,6519330,30407405,12630440,17776965,140.75,13379132
Gains on disposal of PPE,,1086999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69332,0,69332,69332,,69332,0,0
Total Revenue (excl. capital transfers and contributions),,538366101,0,619063916,621907163,95034608,59233608,25257533,179525749,36892259,38251153,60876252,136019664,38830559,38212236,56434717,133477512,34337654,37071062,43918171,115326887,564349812,619063923,-54714111,-8.838200542337209,621907163
,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure By Type,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee related costs,,208085170,0,202775420,201450229,15797528,15695652,15974276,47467456,15593476,25247012,17044079,57884567,16344763,16335630,16450348,49130741,15771696,16251939,15708854,47732489,202215253,202775420,-560167,-0.28,201450229
Remuneration of councillors,,9025077,0,10911420,10959160,751378,753850,782092,2287320,757734,757686,757902,2273322,758056,758102,756445,2272603,1182026,817011,830132,2829169,9662414,10911419,-1249005,-11.45,10959160
Debt impairment,,33194968,0,49683181,49683181,0,0,0,0,0,0,0,0,0,-4045534,0,-4045534,0,0,0,0,-4045534,49683180,-53728714,-108.14,49683181
Depreciation and asset impairment,,80214707,0,80357834,80357834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80357832,-80357832,-100,80357834
Finance charges,,11107973,0,18333271,18702212,0,238368,238538,476906,301549,334145,565818,1201512,237935,0,724746,962681,316695,310219,373061,999975,3641074,18333267,-14692193,-80.14,18702212
Bulk purchases,,168846560,0,190710580,190710580,17760410,18850076,1854622,38465108,16130813,12869414,22713312,51713539,3189348,22263103,12090078,37542529,12502632,1519648,28464285,42486565,170207741,190710579,-20502838,-10.75,190710580
Other Materials,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Contracted services,,0,0,11260391,9919346,0,617650,702303,1319953,0,683915,1467996,2151911,1221996,92789,803060,2117845,644411,435254,493168,1572833,7162542,11260391,-4097849,-36.39,9919346
Transfers and grants,,0,0,0,0,2398676,2531833,2535093,7465602,2564430,2588822,2711682,7864934,3476307,2636906,2930227,9043440,2707384,3056622,2927167,8691173,33065149,,33065149,0,0
Other expenditure,,78964079,0,132503128,135861648,2107449,4102471,6734833,12944753,7189321,5050933,8612201,20852455,6317970,3646863,8710387,18675220,5602098,8721724,15002373,29326195,81798623,132503129,-50704506,-38.27,135861648
Loss on disposal of PPE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Total Expenditure,,589438534,0,696535225,697644190,38815441,42789900,28821757,110427098,42537323,47531927,53872990,143942240,31546375,41687859,42465291,115699525,38726942,31112417,63799040,133638399,503707262,696535217,-192827955,-27.683877325042705,697644190
,,,,,,,,,,,,,,,,,,,,,,,,,,
Surplus/(Deficit),,-51072433,0,-77471309,-75737027,56219167,16443708,-3564224,69098651,-5645064,-9280774,7003262,-7922576,7284184,-3475623,13969426,17777987,-4389288,5958645,-19880869,-18311512,60642550,-77471294,138113844,-178.27744557874558,-75737027
Transfers recognised - capital,,0,0,0,0,0,0,0,0,0,0,-192701,-192701,0,-36170,0,-36170,0,0,44110496,44110496,43881625,,43881625,0,0
Contributions recognised - capital,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Contributed assets,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) after capital transfers and contributions,,-51072433,0,-77471309,-75737027,56219167,16443708,-3564224,69098651,-5645064,-9280774,6810561,-8115277,7284184,-3511793,13969426,17741817,-4389288,5958645,24229627,25798984,104524175,-77471294,181995469,-234.91987754845042,-75737027
Taxation,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) after taxation,,-51072433,0,-77471309,-75737027,56219167,16443708,-3564224,69098651,-5645064,-9280774,6810561,-8115277,7284184,-3511793,13969426,17741817,-4389288,5958645,24229627,25798984,104524175,-77471294,181995469,-234.91987754845042,-75737027
Attributable to minorities,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) attributable to municipality,,-51072433,0,-77471309,-75737027,56219167,16443708,-3564224,69098651,-5645064,-9280774,6810561,-8115277,7284184,-3511793,13969426,17741817,-4389288,5958645,24229627,25798984,104524175,-77471294,181995469,-234.91987754845042,-75737027
Share of surplus/ (deficit) of associate,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) for the year,,-51072433,0,-77471309,-75737027,56219167,16443708,-3564224,69098651,-5645064,-9280774,6810561,-8115277,7284184,-3511793,13969426,17741817,-4389288,5958645,24229627,25798984,104524175,-77471294,181995469,-234.91987754845042,-75737027
