Eastern Cape: Kou-Kamma(EC109) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,13285401,0,15259249,14850750,14850604,29,29,14850662,29,29,29,87,29,29,29,87,-18920,29,29,-18862,14831974,15259249,-427275,-2.8,14850750
Property rates - penalties and collection charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - electricity revenue,,1773333,0,1915675,1915675,173299,187251,338000,698550,9726,174425,192437,376588,182406,168533,181554,532493,169070,124520,106514,400104,2007735,1915680,92055,4.81,1915675
Service charges - water revenue,,9690900,0,8817581,0,867085,760325,762532,2389942,878717,745479,732860,2357056,855902,723222,998693,2577817,799061,946562,727399,2473022,9797837,8817577,980260,11.12,0
Service charges - sanitation revenue,,7112247,0,8231463,0,1181239,608368,590414,2380021,582667,575674,599800,1758141,585972,583392,590919,1760283,592084,601234,590617,1783935,7682380,8231461,-549081,-6.67,0
Service charges - refuse revenue,,3401238,0,3658801,0,339763,312565,268413,920741,289627,289367,291890,870884,291890,291890,291933,875713,291527,293613,293740,878880,3546218,3658800,-112582,-3.08,0
Service charges - other,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Rental of facilities and equipment,,453083,0,142785,189770,15676,18154,25682,59512,9073,14867,30138,54078,13284,15335,16906,45525,973,12506,16552,30031,189146,142788,46358,32.47,189770
Interest earned - external investments,,710367,0,681427,681428,46410,39287,75917,161614,10960,15179,18177,44316,30782,24777,3416,58975,9912,18713,2322,30947,295852,681432,-385580,-56.58,681428
Interest earned - outstanding debtors,,0,0,0,3501026,452888,448399,457375,1358662,500582,379887,647682,1528151,284864,470310,404405,1159579,575784,636163,300876,1512823,5559215,,5559215,0,3501026
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,656437,0,636000,795091,20250,43330,88007,151587,0,24750,33241,57991,67250,57998,91820,217068,81928,76480,86500,244908,671554,636000,35554,5.59,795091
Licences and permits,,1548462,0,7245,2263172,0,0,570,570,0,395,743,1138,877,702,1579,3158,1447,1097,1184,3728,8594,7248,1346,18.57,2263172
Agency services,,0,0,2125500,0,159246,164979,656308,980533,-223981,153794,124105,53918,189167,19920,146254,355341,150960,243709,-200049,194620,1584412,2125500,-541088,-25.46,0
Transfers recognised - operational,,68231115,0,59052997,63647184,13743423,5649984,3084260,22477667,6284114,17038070,2437234,25759418,1710110,2117401,13022395,16849906,5594377,850621,7213722,13658720,78745711,59053000,19692711,33.35,63647184
Other own revenue,,693075,0,8064337,29835695,41662,12897,40064,94623,0,20452,106536,126988,20474,27034,29251,76759,114480,96087,414603,625170,923540,8064336,-7140796,-88.55,29835695
Gains on disposal of PPE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,600,900,0,1200,2100,2700,,2700,0,0
Total Revenue (excl. capital transfers and contributions),,107555658,0,108593060,117679791,31891545,8245568,6387571,46524684,8341514,19432368,5214872,32988754,4233007,4500543,15779754,24513304,8363583,3901334,9555209,21820126,125846868,108593071,17253797,15.88848794965933,117679791
,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure By Type,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee related costs,,33450844,0,34146538,35103722,2867138,2880781,2926204,8674123,3212274,3278550,3015777,9506601,3175011,2944117,3004048,9123176,3256798,3003397,4076785,10336980,37640880,34146540,3494340,10.23,35103722
Remuneration of councillors,,2768281,0,2907169,2907169,230690,230690,230690,692070,230690,230690,230690,692070,230690,231874,230690,693254,243383,243383,243383,730149,2807543,2907169,-99626,-3.43,2907169
Debt impairment,,10331914,0,9313423,10154913,0,0,0,0,0,0,0,0,0,0,0,0,7545,0,0,7545,7545,9313423,-9305878,-99.92,10154913
Depreciation and asset impairment,,18907196,0,4204998,12847367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4205004,-4205004,-100,12847367
Finance charges,,346188,0,50245,0,32150,5403,27,37580,27,13849,84693,98569,1308,443,0,1751,9245,0,47930,57175,195075,50245,144830,288.25,0
Bulk purchases,,2737927,0,3076283,2986839,120913,362333,336824,820070,128800,207306,252049,588155,55520,197661,298555,551736,102627,121090,601686,825403,2785364,3076285,-290921,-9.46,2986839
Other Materials,,1158578,0,0,165575,80513,168418,121609,370540,124475,21427,360553,506455,-38691,102591,110556,174456,60334,114292,46798,221424,1272875,,1272875,0,165575
Contracted services,,2845179,0,3363885,368000,206478,283534,236395,726407,224137,503289,305966,1033392,209078,230419,283606,723103,211188,14449,599253,824890,3307792,3363889,-56097,-1.67,368000
Transfers and grants,,45060716,0,17511583,16615546,4505083,2142355,2638578,9286016,4281116,3230568,1691912,9203596,748810,1918627,2437272,5104709,2827985,947243,2561958,6337186,29931507,17511588,12419919,70.92,16615546
Other expenditure,,16712802,0,18339369,44900622,682115,780575,1468934,2931624,1886419,1049249,1770023,4705691,1369556,1270804,1463536,4103896,818290,655106,1467935,2941331,14682542,18339372,-3656830,-19.94,44900622
Loss on disposal of PPE,,59798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Total Expenditure,,134379423,0,92913493,126049753,8725080,6854089,7959261,23538430,10087938,8534928,7711663,26334529,5751282,6896536,7828263,20476081,7537395,5098960,9645728,22282083,92631123,92913515,-282392,-0.30392995034145465,126049753
,,,,,,,,,,,,,,,,,,,,,,,,,,
Surplus/(Deficit),,-26823765,0,15679567,-8369962,23166465,1391479,-1571690,22986254,-1746424,10897440,-2496791,6654225,-1518275,-2395993,7951491,4037223,826188,-1197626,-90519,-461957,33215745,15679556,17536189,111.84110698032521,-8369962
Transfers recognised - capital,,28271433,0,0,8136561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,8136561
Contributions recognised - capital,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
