Eastern Cape: Mbhashe(EC121) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,4365455,0,5843820,5843820,0,0,0,0,0,524329,0,524329,0,1699352,0,1699352,566451,566451,566441,1699343,3923024,5843820,-1920796,-32.87,5843820
Property rates - penalties and collection charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - electricity revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - water revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - sanitation revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - refuse revenue,,764933,0,770573,770573,0,0,0,0,0,84956,0,84956,0,254867,0,254867,-13308,84616,84616,155924,495747,770568,-274821,-35.66,770573
Service charges - other,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Rental of facilities and equipment,,761979,0,770425,770425,5000,113646,111701,230347,82058,166263,82058,330379,0,146669,0,146669,1221,107165,69651,178037,885432,770436,114996,14.93,770425
Interest earned - external investments,,6022423,0,4000000,4000000,0,108220,58883,167103,1991607,99960,1991607,4083174,0,2093017,0,2093017,0,121639,0,121639,6464933,3999996,2464937,61.62,4000000
Interest earned - outstanding debtors,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,626813,0,919476,919476,0,44050,4900,48950,12600,8000,12600,33200,0,61367,0,61367,97300,43047,95345,235692,379209,919476,-540267,-58.76,919476
Licences and permits,,0,0,1672704,1672704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1672704,-1672704,-100,1672704
Agency services,,0,0,2161080,2161080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,2161080
