Eastern Cape: Great Kei(EC123) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,16431138,0,19008000,20200000,0,1305167,3115891,4421058,1439038,517362,1389668,3346068,1433894,1440038,1438940,4312872,2877880,1461400,1639803,5979083,18059081,19008000,-948919,-4.99,20200000
Property rates - penalties and collection charges,,23682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - electricity revenue,,3639500,0,6364645,6149054,276765,449234,668795,1394794,588690,208719,366658,1164067,280586,0,408581,689167,164621,194618,466966,826205,4074233,6364644,-2290411,-35.99,6149054
Service charges - water revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - sanitation revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - refuse revenue,,2229118,0,4070400,5770400,0,322816,622273,945089,343574,1408652,541563,2293789,342622,341983,341772,1026377,685724,342043,343054,1370821,5636076,4070400,1565676,38.46,5770400
Service charges - other,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11639,11639,0,0,11055,11055,22694,,22694,0,0
Rental of facilities and equipment,,207426,0,211338,211338,0,9276,12393,21669,0,4967,4586,9553,0,9636,3285,12921,11749,2860,4521,19130,63273,211344,-148071,-70.06,211338
Interest earned - external investments,,1088274,0,1600000,1450000,0,0,0,0,0,0,0,0,258,0,15412,15670,0,5298,0,5298,20968,1599996,-1579028,-98.69,1450000
Interest earned - outstanding debtors,,3683918,0,2700000,2635000,0,464655,466096,930751,0,456832,467204,924036,0,938425,903004,1841429,462878,470004,475467,1408349,5104565,2700000,2404565,89.06,2635000
