Eastern Cape: Amahlathi(EC124) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,12531380,0,11790792,14300000,1355857,1437765,1355182,4148804,1361931,1409010,1573972,4344913,1444009,1467594,34293,2945896,1284425,-4032014,4603360,1855771,13295384,11790792,1504592,12.76,14300000
Property rates - penalties and collection charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - electricity revenue,,20869085,0,30452016,23285720,2788870,1898075,2812761,7499706,2574588,2410375,2216025,7200988,-160544,2134423,2557029,4530908,1637483,2682114,3823482,8143079,27374681,30452016,-3077335,-10.11,23285720
Service charges - water revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - sanitation revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - refuse revenue,,6667890,0,7171632,8171632,665432,665508,667245,1998185,667353,667669,663852,1998874,667669,667669,668000,2003338,667950,667620,667051,2002621,8003018,7174128,828890,11.55,8171632
Service charges - other,,0,0,2496,2496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,2496
Rental of facilities and equipment,,697037,0,389664,597504,282035,7639,8083,297757,30241,15452,9802,55495,10734,15179,273636,299549,44237,50546,60615,155398,808199,389664,418535,107.41,597504
Interest earned - external investments,,6603763,0,5000004,6000000,0,199579,100623,300202,730413,36494,1820239,2587146,1127904,1322044,1282304,3732252,11675,1125870,1162853,2300398,8919998,5000004,3919994,78.4,6000000
