Eastern Cape: Ngqushwa(EC126) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,9821123,0,27709708,12406659,7839383,588329,297000,8724712,297001,301550,297472,896023,323666,415926,984917,1724509,297472,297472,297472,892416,12237660,27709708,-15472048,-55.84,12406659
Property rates - penalties and collection charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - electricity revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - water revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - sanitation revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - refuse revenue,,526078,0,395612,0,43893,43926,43990,131809,44054,44054,44054,132162,44054,44228,46864,135146,45359,44292,44205,133856,532973,395617,137356,34.72,0
Service charges - other,,0,0,144000,395612,0,5863,0,5863,0,8136,11636,19772,0,0,0,0,0,0,0,0,25635,144000,-118365,-82.2,395612
Rental of facilities and equipment,,90714,0,25296,25296,7586,0,5581,13167,4998,0,-2000,2998,9462,8136,12386,29984,35078,13269,15443,63790,109939,25296,84643,334.61,25296
Interest earned - external investments,,746275,0,1500000,1500000,50279,-36,91934,142177,59365,11635,44256,115256,94381,49129,76055,219565,96295,22121,21800,140216,617214,1500000,-882786,-58.85,1500000
Interest earned - outstanding debtors,,1734848,0,0,1500000,-5,0,163003,162998,167079,208156,174190,549425,208470,298299,404850,911619,406425,407651,408785,1222861,2846903,,2846903,0,1500000
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
