Eastern Cape: Nkonkobe(EC127) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,35299594,0,30580058,34311541,429434,0,3228520,3657954,682473,2805094,295352,3782919,355434,367728,0,723162,3130,-1929147,-28133,-1954150,6209885,30580056,-24370171,-79.69,34311541
Property rates - penalties and collection charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4216812,4216812,0,0,0,0,4216812,,4216812,0,0
Service charges - electricity revenue,,28225759,0,38810700,31442064,2387698,0,1874426,4262124,1551714,2676973,1899574,6128261,1632970,3236963,2133109,7003042,2476767,2879209,2892569,8248545,25641972,38810700,-13168728,-33.93,31442064
Service charges - water revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - sanitation revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - refuse revenue,,9440372,0,7000000,4878592,226947,0,376939,603886,213871,190760,174489,579120,154846,202532,213809,571187,839063,841919,840792,2521774,4275967,7000000,-2724033,-38.91,4878592
Service charges - other,,0,0,0,0,0,0,0,0,22366,0,0,22366,0,0,0,0,0,0,0,0,22366,,22366,0,0
Rental of facilities and equipment,,287905,0,471924,295092,15916,0,22850,38766,0,20848,11999,32847,12016,11577,22772,46365,41754,22480,21172,85406,203384,471924,-268540,-56.9,295092
Interest earned - external investments,,590406,0,1500000,1000000,0,0,385400,385400,85800,0,0,85800,0,0,2712,2712,17698,21221,0,38919,512831,1500000,-987169,-65.81,1000000
Interest earned - outstanding debtors,,3402554,0,7225000,3632363,0,0,376586,376586,372470,3588,467981,844039,2785,878,1532,5195,459303,464650,561041,1484994,2710814,7225000,-4514186,-62.48,3632363
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,196955,0,300000,156050,1900,0,950,2850,850,500,0,1350,1900,9150,4760,15810,11090,2600,5100,18790,38800,300000,-261200,-87.07,156050
Licences and permits,,2765651,0,2500000,2500000,251273,0,239835,491108,248383,237253,186945,672581,290333,200432,0,490765,0,192015,0,192015,1846469,2500000,-653531,-26.14,2500000
Agency services,,0,0,1050000,1307000,0,0,0,0,0,0,0,0,0,0,297041,297041,213251,0,204737,417988,715029,1050000,-334971,-31.9,1307000
Transfers recognised - operational,,101374201,0,114368500,123107500,43950000,0,1500000,45450000,0,28497716,1286119,29783835,0,2821000,32413153,35234153,925169,0,0,925169,111393157,114368500,-2975343,-2.6,123107500
Other own revenue,,2473491,0,12830000,3915722,1873891,0,4310535,6184426,3095705,644503,0,3740208,2122196,2600096,1952669,6674961,137171,412300,1282772,1832243,18431838,12830000,5601838,43.66,3915722
Gains on disposal of PPE,,1927100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Total Revenue (excl. capital transfers and contributions),,185983988,0,216636182,206545924,49137059,0,12316041,61453100,6273632,35077235,4322459,45673326,4572480,9450356,41258369,55281205,5124396,2907247,5780050,13811693,176219324,216636180,-40416856,-18.65655865977696,206545924
,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure By Type,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee related costs,,81412668,0,68127719,89836470,8649784,7460706,7646418,23756908,7576238,7800831,8117925,23494994,8955441,8899233,7562170,25416844,7188900,7030374,6787422,21006696,93675442,68048186,25627256,37.66,89836470
Remuneration of councillors,,12298199,0,14690360,12409511,0,967639,973913,1941552,970670,975768,1024556,2970994,980398,1052921,1060717,3094036,1596159,1101055,1104761,3801975,11808557,14525304,-2716747,-18.7,12409511
Debt impairment,,23158529,0,12672000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12672000,-12672000,-100,0
Depreciation and asset impairment,,27850670,0,22412781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23731068,-23731068,-100,0
Finance charges,,394559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Bulk purchases,,27008479,0,22100230,24828848,3967807,0,3146660,7114467,0,0,2140067,2140067,0,0,7315921,7315921,3055500,74968,6278143,9408611,25979066,22100230,3878836,17.55,24828848
Other Materials,,7922770,0,6960000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Contracted services,,0,0,243936,0,0,0,0,0,0,0,46155,46155,0,46155,26433,72588,-27415,0,0,-27415,91328,243936,-152608,-62.56,0
Transfers and grants,,10513049,0,1000000,900000,0,0,0,0,0,0,0,0,0,0,229432,229432,1966000,598098,891736,3455834,3685266,1000000,2685266,268.53,900000
