Eastern Cape: Nxuba(EC128) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,3214734,0,3302733,3936837,225069,213400,199104,637573,253612,195515,169757,618884,135158,166005,211090,512253,104240,204680,160805,469725,2238435,3302734,-1064299,-32.22,3936837
Property rates - penalties and collection charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - electricity revenue,,17155056,0,16456616,23588000,1302419,909836,1375583,3587838,1748695,977476,1146132,3872303,691104,636628,1085908,2413640,336031,795868,674566,1806465,11680246,16456616,-4776370,-29.02,23588000
Service charges - water revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - sanitation revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - refuse revenue,,4333662,0,4596000,4800000,117235,136308,149115,402658,147884,78756,125661,352301,92236,110843,128137,331216,69531,113992,105946,289469,1375644,4595611,-3219967,-70.07,4800000
Service charges - other,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Rental of facilities and equipment,,152847,0,112000,140500,2874,2236,7240,12350,2004,249,1001,3254,3000,1169,1502,5671,2498,3497,1673,7668,28943,112000,-83057,-74.16,140500
Interest earned - external investments,,2512671,0,150000,105000,0,0,18391,18391,1836,1467,0,3303,0,4077,6146,10223,743,4550,1758,7051,38968,150000,-111032,-74.02,105000
Interest earned - outstanding debtors,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,223500,0,38763,39000,1800,3150,1600,6550,1600,1300,800,3700,1600,6650,6400,14650,11500,4800,7450,23750,48650,38763,9887,25.51,39000
Licences and permits,,2157880,0,5550000,2593000,213196,145932,146390,505518,156199,160953,166969,484121,152086,179591,106992,438669,133135,80346,322491,535972,1964280,5550000,-3585720,-64.61,2593000
Agency services,,250291,0,114000,334000,2994,2481,21017,26492,3279,3195,119034,125508,9936,5652,7308,22896,6624,11662,8545,26831,201727,114000,87727,76.95,334000
Transfers recognised - operational,,27235858,0,28157000,28156999,10267000,1856000,0,12123000,0,0,0,0,0,1713000,0,1713000,0,4490000,0,4490000,18326000,28157000,-9831000,-34.91,28156999
Other own revenue,,7616752,0,4145746,3431141,208224,197909,168158,574291,20877,403550,655118,1079545,303713,1313898,649321,2266932,269549,1061503,688128,2019180,5939948,4146000,1793948,43.27,3431141
Gains on disposal of PPE,,0,0,0,0,0,0,0,0,138071,0,0,138071,0,0,0,0,0,0,0,0,138071,,138071,0,0
Total Revenue (excl. capital transfers and contributions),,64853251,0,62622858,67124477,12340811,3467252,2086598,17894661,2474057,1822461,2384472,6680990,1388833,4137513,2202804,7729150,933851,6770898,1971362,9676111,41980912,62622724,-20641812,-32.96217520017174,67124477
,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure By Type,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee related costs,,21655298,0,26830255,25173496,1742309,1744405,1812506,5299220,1732916,1933387,1988781,5655084,1837042,1898353,1945776,5681171,2102401,1949957,1968299,6020657,22656132,26829606,-4173474,-15.56,25173496
Remuneration of councillors,,2105536,0,2179569,2179569,186387,181267,192767,560421,184767,184767,184767,554301,184767,184767,186567,556101,194875,194875,194875,584625,2255448,2179569,75879,3.48,2179569
Debt impairment,,3853599,0,8739825,8739825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8739825,-8739825,-100,8739825
Depreciation and asset impairment,,10179181,0,8365728,8365728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8365728,-8365728,-100,8365728
Finance charges,,420628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Bulk purchases,,23445206,0,21445166,20371656,1000000,0,1000000,2000000,438596,438596,3122592,3999784,0,0,500000,500000,0,100000,0,100000,6599784,21445166,-14845382,-69.22,20371656
Other Materials,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Contracted services,,5823054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Transfers and grants,,4227357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Other expenditure,,18007760,0,15676501,19716657,1815603,1135169,870133,3820905,1226833,1329205,1081240,3637278,2336044,1114800,1343593,4794437,1224601,3500399,1353754,6078754,18331374,15676500,2654874,16.94,19716657
Loss on disposal of PPE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
