Eastern Cape: Inxuba Yethemba(EC131) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,21407648,0,23456412,23456412,28089834,-13709,-12167,28063958,36012,137,-48,36101,-1222,-1222,-8253,-10697,0,0,0,0,28089362,23456412,4632950,19.75,23456412
Property rates - penalties and collection charges,,494911,0,898880,898880,26485,129370,0,155855,112248,0,0,112248,0,0,0,0,0,0,0,0,268103,898880,-630777,-70.17,898880
Service charges - electricity revenue,,79417394,0,84774816,84774816,8334465,8907030,8384008,25625503,6641858,4682286,11176835,22500979,6241623,5685277,12640086,24566986,6285684,0,0,6285684,78979152,84774816,-5795664,-6.84,84774816
Service charges - water revenue,,15769383,0,22003752,22003752,577836,-250330,7648,335154,898518,-68302,1710545,2540761,6758,6758,56996,70512,6138,0,0,6138,2952565,20048958,-17096393,-85.27,22003752
Service charges - sanitation revenue,,17996363,0,14797890,14797890,88916,1127,2043,92086,38517,2111,-1054,39574,1,1,1993,1995,2469,0,0,2469,136124,6527639,-6391515,-97.91,14797890
Service charges - refuse revenue,,14764919,0,6187750,6187750,1318855,1327097,1338128,3984080,1232679,1265913,1231438,3730030,0,0,0,0,0,0,0,0,7714110,14797890,-7083780,-47.87,6187750
Service charges - other,,0,0,167915,167915,0,0,0,0,9,0,0,9,1331101,1323936,1331501,3986538,1340709,0,0,1340709,5327256,167915,5159341,3072.59,167915
Rental of facilities and equipment,,2200589,0,1900429,1900429,260160,169743,125725,555628,246586,166791,242361,655738,151886,161194,146235,459315,95754,0,0,95754,1766435,1900429,-133994,-7.05,1900429
Interest earned - external investments,,6532419,0,58300,58300,15649,10312,0,25961,6002,11728,7480,25210,0,2166,10081,12247,0,0,0,0,63418,58300,5118,8.78,58300
Interest earned - outstanding debtors,,0,0,6500000,6500000,791463,846462,260334,1898259,721387,6385,-7,727765,834368,834368,877340,2546076,879730,0,0,879730,6051830,6500000,-448170,-6.89,6500000
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,295478,0,183698,183698,17760,34444,8644,60848,3097,270534,3051,276682,24460,26960,9027,60447,27574,0,0,27574,425551,183698,241853,131.66,183698
Licences and permits,,1569346,0,2495533,2495533,51557,26550,37123,115230,52290,59742,25750,137782,148706,157575,87092,393373,119392,0,0,119392,765777,2495533,-1729756,-69.31,2495533
Agency services,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16434928,-16434928,-100,0
Transfers recognised - operational,,53072345,0,47095000,47095000,17656000,1414298,0,19070298,3073469,0,1847899,4921368,-8643117,-8036311,4336867,-12342561,11162928,0,0,11162928,22812033,47095000,-24282967,-51.56,47095000
Other own revenue,,2307922,0,712782,712782,72583,-24739,67489,115333,296982,294756,85690,677428,527470,598021,265426,1390917,353469,0,0,353469,2537147,712782,1824365,255.95,712782
Gains on disposal of PPE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Total Revenue (excl. capital transfers and contributions),,215828717,0,211233157,211233157,57301563,12577655,10218975,80098193,13359654,6692081,16329940,36381675,622034,758723,19754391,21135148,20273847,0,0,20273847,157888863,226053180,-68164317,-30.154106657557307,211233157
,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure By Type,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee related costs,,67560608,0,64497000,64497000,5472832,4877761,4896702,15247295,5162423,4857893,5208817,15229133,4952738,4952738,4762184,14667660,4904477,0,0,4904477,50048565,73442752,-23394187,-31.85,64497000
Remuneration of councillors,,6293573,0,6743337,6743337,523063,522053,524073,1569189,510443,522053,495273,1527769,521043,521043,520033,1562119,740270,0,0,740270,5399347,6743337,-1343990,-19.93,6743337
Debt impairment,,43901533,0,6457359,6457359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10450824,-10450824,-100,6457359
Depreciation and asset impairment,,2238924,0,57672040,57672040,2312,12121,5947,20380,0,0,0,0,0,0,0,0,0,0,0,0,20380,57672040,-57651660,-99.96,57672040
Finance charges,,0,0,559000,559000,0,461,5,466,0,80093,0,80093,0,0,0,0,47701,0,0,47701,128260,558623,-430363,-77.04,559000
Bulk purchases,,49495162,0,54069334,54069334,13811963,46285,32441,13890689,3861750,4161030,3337609,11360389,3325928,3325928,3298397,9950253,3616191,0,0,3616191,38817522,54659237,-15841715,-28.98,54069334
Other Materials,,0,0,498008,498008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1838970,-1838970,-100,498008
Contracted services,,5290809,0,5084168,5084168,-277343,1423518,298198,1444373,1430482,26766,626097,2083345,15215,15215,27455,57885,482547,0,0,482547,4068150,6930418,-2862268,-41.3,5084168
Transfers and grants,,31170289,0,178084,178084,2400680,1327583,1295943,5024206,1784930,1494146,2388358,5667434,1285549,1285549,1016500,3587598,1358101,0,0,1358101,15637339,178084,15459255,8680.88,178084
Other expenditure,,50122879,0,36420191,36420191,3183562,2424540,2287532,7895634,5596993,2874417,2874454,11345864,2952748,2976935,2075252,8004935,2514906,0,0,2514906,29761339,45911911,-16150572,-35.18,36420191
Loss on disposal of PPE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Total Expenditure,,256073777,0,232178521,232178521,25117069,10634322,9340841,45092232,18347021,14016398,14930608,47294027,13053221,13077408,11699821,37830450,13664193,0,0,13664193,143880902,258386196,-114505294,-44.31556165639747,232178521
,,,,,,,,,,,,,,,,,,,,,,,,,,
Surplus/(Deficit),,-40245060,0,-20945364,-20945364,32184494,1943333,878134,35005961,-4987367,-7324317,1399332,-10912352,-12431187,-12318685,8054570,-16695302,6609654,0,0,6609654,14007961,-32333016,46340977,-143.3240159223006,-20945364
Transfers recognised - capital,,1862640,0,15214000,15214000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15214000,-15214000,-100,15214000
Contributions recognised - capital,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Contributed assets,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) after capital transfers and contributions,,-38382420,0,-5731364,-5731364,32184494,1943333,878134,35005961,-4987367,-7324317,1399332,-10912352,-12431187,-12318685,8054570,-16695302,6609654,0,0,6609654,14007961,-17119016,31126977,-181.82690523801136,-5731364
Taxation,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) after taxation,,-38382420,0,-5731364,-5731364,32184494,1943333,878134,35005961,-4987367,-7324317,1399332,-10912352,-12431187,-12318685,8054570,-16695302,6609654,0,0,6609654,14007961,-17119016,31126977,-181.82690523801136,-5731364
Attributable to minorities,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) attributable to municipality,,-38382420,0,-5731364,-5731364,32184494,1943333,878134,35005961,-4987367,-7324317,1399332,-10912352,-12431187,-12318685,8054570,-16695302,6609654,0,0,6609654,14007961,-17119016,31126977,-181.82690523801136,-5731364
Share of surplus/ (deficit) of associate,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) for the year,,-38382420,0,-5731364,-5731364,32184494,1943333,878134,35005961,-4987367,-7324317,1399332,-10912352,-12431187,-12318685,8054570,-16695302,6609654,0,0,6609654,14007961,-17119016,31126977,-181.82690523801136,-5731364
