Eastern Cape: Tsolwana(EC132) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,1661846,0,3137576,3137576,3848886,-1954699,99016,1993203,18226,95181,85274,198681,104671,94457,82824,281952,90223,91799,0,182022,2655858,3137576,-481718,-15.35,3137576
Property rates - penalties and collection charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - electricity revenue,,5348621,0,8981100,8981100,793918,1194441,487099,2475458,389228,340209,386939,1116376,1256346,377907,367517,2001770,296391,400432,0,696823,6290427,8981100,-2690673,-29.96,8981100
Service charges - water revenue,,7753952,0,6048000,6048000,0,0,0,0,0,0,0,0,95,0,0,95,0,0,0,0,95,6048000,-6047905,-100,6048000
Service charges - sanitation revenue,,966401,0,2592000,2592000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2592000,-2592000,-100,2592000
Service charges - refuse revenue,,974051,0,1550000,1550000,221609,221234,219708,662551,216287,217899,220825,655011,226030,221362,230292,677684,221687,224733,0,446420,2441666,1550000,891666,57.53,1550000
Service charges - other,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Rental of facilities and equipment,,122271,0,75260,75260,4926,25971,4924,35821,9570,6373,4338,20281,7341,8081,5912,21334,6687,6546,0,13233,90669,75260,15409,20.47,75260
Interest earned - external investments,,643723,0,502000,502000,78215,77720,9956,165891,8591,14194,230779,253564,11648,10503,134257,156408,75529,62690,0,138219,714082,502000,212082,42.25,502000
Interest earned - outstanding debtors,,2028899,0,1028000,1028000,84326,88323,91540,264189,90897,118881,121570,331348,122672,122335,124608,369615,126670,127895,0,254565,1219717,1028000,191717,18.65,1028000
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,4402,0,500000,500000,500,1250,300,2050,3000,500,0,3500,0,3500,0,3500,0,400,0,400,9450,500000,-490550,-98.11,500000
Licences and permits,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Agency services,,10782371,0,9686574,9686574,34989,23283,23219,81491,27500,31597,4387197,4446294,31576,46439,21981,99996,67988,20977,0,88965,4716746,9686575,-4969829,-51.31,9686574
Transfers recognised - operational,,35683862,0,62579546,62579546,12912251,240281,205199,13357731,303530,10448788,1011524,11763842,2500,0,8922002,8924502,1262493,0,0,1262493,35308568,62579550,-27270982,-43.58,62579546
Other own revenue,,90777,0,114220,114220,4198,22265,781,27244,77683,2622,513,80818,3290,26030,7556,36876,374382,-492,0,373890,518828,114220,404608,354.24,114220
Gains on disposal of PPE,,9314,0,30000,30000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30000,-30000,-100,30000
Total Revenue (excl. capital transfers and contributions),,66070490,0,96824276,96824276,17983818,-59931,1141742,19065629,1144512,11276244,6448959,18869715,1766169,910614,9896949,12573732,2522050,934980,0,3457030,53966106,96824281,-42858175,-44.26387116677892,96824276
,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure By Type,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee related costs,,23421559,0,26806688,26806688,2072176,1914578,1861136,5847890,2116126,2048745,2286626,6451497,2089448,1890303,1920683,5900434,1871765,2125403,0,3997168,22196989,26806688,-4609699,-17.2,26806688
Remuneration of councillors,,2636563,0,2890293,2890293,203239,203239,203239,609717,220364,220364,220364,661092,221782,220364,220364,662510,220364,220364,0,440728,2374047,2890293,-516246,-17.86,2890293
Debt impairment,,12226267,0,5935022,5935022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5935024,-5935024,-100,5935022
Depreciation and asset impairment,,7514495,0,6881473,6881473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6881473,-6881473,-100,6881473
Finance charges,,105912,0,120000,120000,8616,12353,8617,29586,12173,9446,8617,30236,9405,17044,8822,35271,12658,8822,0,21480,116573,120000,-3427,-2.86,120000
Bulk purchases,,8210914,0,9778090,9778090,1154053,1200884,980251,3335188,614567,599906,591465,1805938,516003,0,1097119,1613122,593348,700779,0,1294127,8048375,9778093,-1729718,-17.69,9778090
Other Materials,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Contracted services,,0,0,0,0,0,13550,11050,24600,47325,21845,11500,80670,15415,0,0,15415,0,0,0,0,120685,,120685,0,0
Transfers and grants,,1380,0,1992900,1992900,18481,518752,561842,1099075,256209,252389,249768,758366,253436,479579,495756,1228771,630431,587362,0,1217793,4304005,1992900,2311105,115.97,1992900
Other expenditure,,22147797,0,48953505,48953505,3549104,191336,1532783,5273223,1913715,1794360,1434022,5142097,996020,819059,945779,2760858,878107,1723621,0,2601728,15777906,48953505,-33175599,-67.77,48953505
Loss on disposal of PPE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Total Expenditure,,76264887,0,103357971,103357971,7005669,4054692,5158918,16219279,5180479,4947055,4802362,14929896,4101509,3426349,4688523,12216381,4206673,5366351,0,9573024,52938580,103357976,-50419396,-48.781330625127566,103357971
,,,,,,,,,,,,,,,,,,,,,,,,,,
Surplus/(Deficit),,-10194397,0,-6533695,-6533695,10978149,-4114623,-4017176,2846350,-4035967,6329189,1646597,3939819,-2335340,-2515735,5208426,357351,-1684623,-4431371,0,-6115994,1027526,-6533695,7561221,-115.72656819762783,-6533695
Transfers recognised - capital,,15439277,0,11741050,11741050,0,1097360,885061,1982421,992484,793659,1037254,2823397,73809,915163,97792,1086764,652624,717716,0,1370340,7262922,11741050,-4478128,-38.14,11741050
Contributions recognised - capital,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Contributed assets,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) after capital transfers and contributions,,5244880,0,5207355,5207355,10978149,-3017263,-3132115,4828771,-3043483,7122848,2683851,6763216,-2261531,-1600572,5306218,1444115,-1031999,-3713655,0,-4745654,8290448,5207355,3083093,59.206506950265535,5207355
Taxation,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) after taxation,,5244880,0,5207355,5207355,10978149,-3017263,-3132115,4828771,-3043483,7122848,2683851,6763216,-2261531,-1600572,5306218,1444115,-1031999,-3713655,0,-4745654,8290448,5207355,3083093,59.206506950265535,5207355
Attributable to minorities,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
