Eastern Cape: Inkwanca(EC133) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,5430954,0,5649959,5649959,61613,36412,11188,109213,0,0,0,0,0,0,3032482,3032482,0,0,0,0,3141695,5649960,-2508265,-44.39,5649959
Property rates - penalties and collection charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - electricity revenue,,3933765,0,5650000,5650000,244684,193019,135266,572969,0,0,0,0,0,0,0,0,0,0,0,0,572969,5649996,-5077027,-89.86,5650000
Service charges - water revenue,,87387,0,1205964,1205964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1205964,-1205964,-100,1205964
Service charges - sanitation revenue,,0,0,4755586,4755586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4755588,-4755588,-100,4755586
Service charges - refuse revenue,,28822436,0,3003844,3003844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3003840,-3003840,-100,3003844
Service charges - other,,0,0,0,0,16780,4773,4773,26326,0,0,0,0,0,0,0,0,0,0,0,0,26326,,26326,0,0
Rental of facilities and equipment,,171903,0,211750,211750,20666,13972,5972,40610,0,0,3288,3288,0,0,34109,34109,0,0,0,0,78007,211752,-133745,-63.16,211750
Interest earned - external investments,,178,0,31800,31800,20,23,21,64,0,0,0,0,0,0,0,0,0,0,0,0,64,31800,-31736,-99.8,31800
Interest earned - outstanding debtors,,2027682,0,2009800,2009800,230,144275,164671,309176,0,0,0,0,0,0,0,0,0,0,0,0,309176,2009796,-1700620,-84.62,2009800
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,0,0,62219,62219,1100,2895,0,3995,0,0,0,0,0,0,21217,21217,0,0,0,0,25212,62220,-37008,-59.48,62219
Licences and permits,,323048,0,318000,318000,0,0,0,0,0,0,0,0,0,0,135477,135477,0,0,0,0,135477,318000,-182523,-57.4,318000
Agency services,,0,0,7051000,7051000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7050996,-7050996,-100,7051000
Transfers recognised - operational,,23429000,0,26237650,26237650,2100744,2100744,2100744,6302232,2100744,2099854,2100744,6301342,0,0,10463421,10463421,0,0,0,0,23066995,26237650,-3170655,-12.08,26237650
Other own revenue,,1754589,0,5034686,5034686,204821,236627,119504,560952,0,0,106758,106758,0,0,77003,77003,0,0,0,0,744713,1677684,-932971,-55.61,5034686
Gains on disposal of PPE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Total Revenue (excl. capital transfers and contributions),,65980942,0,61222258,61222258,2650658,2732740,2542139,7925537,2100744,2099854,2210790,6411388,0,0,13763709,13763709,0,0,0,0,28100634,57865246,-29764612,-51.437804308306234,61222258
,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure By Type,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee related costs,,18268778,0,26288442,26288442,1474893,1450610,1431245,4356748,0,0,1613428,1613428,0,0,10656239,10656239,0,0,0,0,16626415,26288444,-9662029,-36.75,26288442
Remuneration of councillors,,2007533,0,2106318,2106318,166882,166883,31827,365592,0,0,126982,126982,0,0,927087,927087,0,0,0,0,1419661,2106324,-686663,-32.6,2106318
Debt impairment,,6077859,0,9701195,9701195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9701196,-9701196,-100,9701195
Depreciation and asset impairment,,9973212,0,11082500,11082500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11082504,-11082504,-100,11082500
Finance charges,,216542,0,130000,130000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129996,-129996,-100,130000
Bulk purchases,,5745766,0,6285000,6285000,719182,867099,745415,2331696,0,0,0,0,0,0,0,0,0,0,0,0,2331696,6285000,-3953304,-62.9,6285000
Other Materials,,0,0,0,0,5078,0,3798,8876,0,0,0,0,0,0,21446,21446,0,0,0,0,30322,,30322,0,0
Contracted services,,71027,0,167481,167481,0,0,0,0,0,0,0,0,0,0,16030,16030,0,0,0,0,16030,167484,-151454,-90.43,167481
Transfers and grants,,0,0,0,0,184940,184940,-773875,-403995,0,0,1420,1420,0,0,0,0,0,0,0,0,-402575,,-402575,0,0
Other expenditure,,19787288,0,11948123,11948123,140572,532389,2089310,2762271,0,0,563201,563201,0,0,4946996,4946996,0,0,0,0,8272468,12931512,-4659044,-36.03,11948123
Loss on disposal of PPE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Total Expenditure,,62148005,0,67709059,67709059,2691547,3201921,3527720,9421188,0,0,2305031,2305031,0,0,16567798,16567798,0,0,0,0,28294017,68692460,-40398443,-58.81059289476603,67709059
,,,,,,,,,,,,,,,,,,,,,,,,,,
Surplus/(Deficit),,3832937,0,-6486801,-6486801,-40889,-469181,-985581,-1495651,2100744,2099854,-94241,4106357,0,0,-2804089,-2804089,0,0,0,0,-193383,-10827214,10633831,-98.2139172644043,-6486801
Transfers recognised - capital,,0,0,8695000,8695000,0,0,0,0,0,0,0,0,0,0,1749065,1749065,0,0,0,0,1749065,8695356,-6946291,-79.89,8695000
Contributions recognised - capital,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Contributed assets,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) after capital transfers and contributions,,3832937,0,2208199,2208199,-40889,-469181,-985581,-1495651,2100744,2099854,-94241,4106357,0,0,-1055024,-1055024,0,0,0,0,1555682,-2131858,3687540,-172.97305918124002,2208199
Taxation,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) after taxation,,3832937,0,2208199,2208199,-40889,-469181,-985581,-1495651,2100744,2099854,-94241,4106357,0,0,-1055024,-1055024,0,0,0,0,1555682,-2131858,3687540,-172.97305918124002,2208199
Attributable to minorities,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) attributable to municipality,,3832937,0,2208199,2208199,-40889,-469181,-985581,-1495651,2100744,2099854,-94241,4106357,0,0,-1055024,-1055024,0,0,0,0,1555682,-2131858,3687540,-172.97305918124002,2208199
Share of surplus/ (deficit) of associate,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) for the year,,3832937,0,2208199,2208199,-40889,-469181,-985581,-1495651,2100744,2099854,-94241,4106357,0,0,-1055024,-1055024,0,0,0,0,1555682,-2131858,3687540,-172.97305918124002,2208199
