Eastern Cape: Lukhanji(EC134) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,74214768,0,75161501,75609917,91202342,456527,-151,91658718,-3964577,315780,4,-3648793,-1895,3062770,710,3061585,-1815723,-18668357,3753641,-16730439,74341071,75161499,-820428,-1.09,75609917
Property rates - penalties and collection charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - electricity revenue,,160460488,0,178929107,178929107,20692074,11560102,14936059,47188235,14204443,14071419,13134640,41410502,8373942,20164620,14001258,42539820,14720312,7771376,20960104,43451792,174590349,178929106,-4338757,-2.42,178929107
Service charges - water revenue,,33292714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1450,1450,1450,,1450,0,0
Service charges - sanitation revenue,,22279890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-501,-501,-501,,-501,0,0
Service charges - refuse revenue,,30936510,0,30507177,30507177,2794215,2834862,2835245,8464322,2825908,2833360,2836845,8496113,-14810,5676216,2832266,8493672,2830913,-88,5657719,8488544,33942651,30507178,3435473,11.26,30507177
Service charges - other,,26545,0,0,12560,2153,0,0,2153,0,0,0,0,0,0,0,0,0,0,0,0,2153,,2153,0,12560
Rental of facilities and equipment,,2437630,0,2476030,2476032,227580,196568,214738,638886,241792,217193,207215,666200,27773,434250,231010,693033,225799,42749,374854,643402,2641521,2476032,165489,6.68,2476032
Interest earned - external investments,,8056980,0,8200000,8200000,0,0,391521,391521,2222834,618212,566640,3407686,813269,722153,849593,2385015,904013,886781,750177,2540971,8725193,8200000,525193,6.4,8200000
Interest earned - outstanding debtors,,26566586,0,12163203,14511733,711965,-5690,1904802,2611077,1866785,1962190,1990215,5819190,1931006,1441821,1276547,4649374,1564461,2023660,1734472,5322593,18402234,12163203,6239031,51.29,14511733
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,183828,0,347690,347690,44912,4356,27674,76942,17810,21232,14026,53068,18150,13984,13131,45265,6325,5976,5232,17533,192808,347690,-154882,-44.55,347690
Licences and permits,,4116407,0,3970702,3970702,595762,104934,363269,1063965,396346,331177,215176,942699,375649,361122,420361,1157132,271219,344458,64624,680301,3844097,3970702,-126605,-3.19,3970702
Agency services,,4466663,0,3774460,3874460,651238,87488,411613,1150339,434938,292533,437294,1164765,310619,245506,373543,929668,362803,288931,347529,999263,4244035,3774460,469575,12.44,3874460
Transfers recognised - operational,,156448042,0,128899000,130763668,14423,14423,46991421,47020267,4164458,36393303,-603600,39954161,0,-1637456,36027867,34390411,-335529,370130,-1005590,-970989,120393850,128899000,-8505150,-6.6,130763668
Other own revenue,,14714827,0,11783773,31728532,459760,58713,-2514759,-1996286,3588964,6354898,140139,10084001,220333,713354,505188,1438875,1575433,317419,314778,2207630,11734220,11783923,-49703,-0.42,31728532
Gains on disposal of PPE,,10119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7480,7480,7480,,7480,0,0
Total Revenue (excl. capital transfers and contributions),,538211997,0,456212643,480931578,117396424,15312283,65561432,198270139,25999701,63411297,18938594,108349592,12054036,31198340,56531474,99783850,20310026,-6616965,32965969,46659030,453062611,456212793,-3150182,-0.6905071598901875,480931578
,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure By Type,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee related costs,,139172975,0,133285835,131202365,9476067,11554069,9816626,30846762,9551116,9203302,9601569,28355987,9970496,8930358,9838679,28739533,9583710,9914849,10183587,29682146,117624428,133285944,-15661516,-11.75,131202365
Remuneration of councillors,,19669236,0,20166735,20166735,1612729,1609424,1601229,4823382,1601229,1619699,1664262,4885190,1898558,1385454,1642506,4926518,2675930,1723331,1721227,6120488,20755578,20166735,588843,2.92,20166735
Debt impairment,,77379081,0,54564092,57869331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54563739,-54563739,-100,57869331
Depreciation and asset impairment,,23896636,0,29116545,23896636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29116545,-29116545,-100,23896636
Finance charges,,5307042,0,1286250,1604563,7193,6955,48106,62254,19051,17453,16893,53397,16055,15832,7001,38888,18362,11261,4309,33932,188471,1286250,-1097779,-85.35,1604563
Bulk purchases,,153373597,0,150240237,165080637,21547284,21360671,298634,43206589,16175146,11510928,21695383,49381457,295523,10313640,20722166,31331329,115748,11085864,11764203,22965815,146885190,150240342,-3355152,-2.23,165080637
Other Materials,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Contracted services,,3775836,0,4359139,4859139,328260,35864,729749,1093873,485741,92658,373297,951696,412857,615802,426681,1455340,939722,808731,298423,2046876,5547785,4359139,1188646,27.27,4859139
Transfers and grants,,13848250,0,4734000,6426225,298687,423611,1090496,1812794,386192,400057,332304,1118553,429749,280836,286556,997141,215821,546331,1018523,1780675,5709163,4734000,975163,20.6,6426225
Other expenditure,,115960392,0,58459410,69825946,2826045,2140062,6042160,11008267,6100449,2594235,4446238,13140922,3918405,5579692,4017331,13515428,4457602,2980539,4369191,11807332,49471949,58459635,-8987686,-15.37,69825946
Loss on disposal of PPE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Total Expenditure,,552383045,0,456212243,480931577,36096265,37130656,19627000,92853921,34318924,25438332,38129946,97887202,16941643,27121614,36940920,81004177,18006895,27070906,29359463,74437264,346182564,456212329,-110029765,-24.11810422598202,480931577
,,,,,,,,,,,,,,,,,,,,,,,,,,
Surplus/(Deficit),,-14171048,0,400,1,81300159,-21818373,45934432,105416218,-8319223,37972965,-19191352,10462390,-4887607,4076726,19590554,18779673,2303131,-33687871,3606506,-27778234,106880047,464,106879583,23034392.887931034,1
Transfers recognised - capital,,58892859,0,40589000,0,0,0,0,0,0,0,0,0,0,0,22162264,22162264,1480105,6830164,1813349,10123618,32285882,40590939,-8305057,-20.46,0
Contributions recognised - capital,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Contributed assets,,0,0,26769000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26769410,-26769410,-100,0
