Eastern Cape: Intsika Yethu(EC135) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,3181193,0,4865251,4865251,277445,277145,277445,832035,277445,277445,277445,832335,277445,277445,0,554890,0,276597,276597,553194,2772454,4865252,-2092798,-43.02,4865251
Property rates - penalties and collection charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - electricity revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - water revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - sanitation revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - refuse revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,233886,-233886,-100,0
Service charges - other,,6294371,0,0,0,49361,49361,49014,147736,49021,49021,49021,147063,49021,49021,0,98042,0,48921,107192,156113,548954,12542311,-11993357,-95.62,0
Rental of facilities and equipment,,1161793,0,237081,237081,75567,81034,72858,229459,86168,82996,45222,214386,45222,87565,0,132787,0,52098,265343,317441,894073,237083,656990,277.11,237081
Interest earned - external investments,,1856233,0,298558,298558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22647,22647,22647,298562,-275915,-92.41,298558
Interest earned - outstanding debtors,,0,0,0,0,223129,369282,149552,741963,125522,162327,151389,439238,151389,25907,0,177296,0,7575,0,7575,1366072,,1366072,0,0
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,407506,0,250000,250000,44411,22250,15837,82498,15600,12312,0,27912,0,0,0,0,0,0,13300,13300,123710,249997,-126287,-50.52,250000
Licences and permits,,1843170,0,3573226,3573226,218445,205364,166938,590747,180691,126329,82572,389592,82572,159666,0,242238,0,118434,102213,220647,1443224,1400005,43219,3.09,3573226
Agency services,,0,0,363968,363968,0,0,0,0,0,27656,44271,71927,44271,41205,0,85476,0,46777,79741,126518,283921,363968,-80047,-21.99,363968
Transfers recognised - operational,,192519971,0,120382000,120382000,45950104,413766,2036007,48399877,435093,37052724,567283,38055100,567283,1707668,0,2274951,0,0,505200,505200,89235128,120382001,-31146873,-25.87,120382000
Other own revenue,,604581,0,17601916,17601916,59461,773562,40288,873311,27403,37291,142270,206964,142270,46591,0,188861,0,150746,4334731,4485477,5754613,,5754613,0,17601916
