Eastern Cape: Emalahleni (Ec)(EC136) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,3218438,0,2034044,2809044,3000527,-10572,65975,3055930,0,-16750,724263,707513,-1901054,-672,713,-1901013,50122,-9991,-65475,-25344,1837086,2034048,-196962,-9.68,2809044
Property rates - penalties and collection charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - electricity revenue,,8035717,0,7141159,7741159,385504,514327,948890,1848721,605367,675748,1131574,2412689,-652582,2240119,635133,2222670,823136,532846,951909,2307891,8791971,7419264,1372707,18.5,7741159
Service charges - water revenue,,6898649,0,2036439,0,2160,68,368,2596,0,0,0,0,0,0,0,0,1034,22682,0,23716,26312,2042064,-2015752,-98.71,0
Service charges - sanitation revenue,,3739629,0,374565,0,9071,2369,1159,12599,5465,-2907,0,2558,396,0,2124,2520,6436,32416,-39385,-533,17144,368532,-351388,-95.35,0
Service charges - refuse revenue,,2694626,0,2819500,2819500,280484,275720,217104,773308,240148,215014,294966,750128,258073,239822,254707,752602,226820,333519,-448432,111907,2387945,2819916,-431971,-15.32,2819500
Service charges - other,,12022,0,278100,278100,0,0,0,0,0,0,0,0,0,0,0,0,4925,0,0,4925,4925,,4925,0,278100
Rental of facilities and equipment,,731449,0,603614,703614,67638,56084,17914,141636,-86490,47112,44129,4751,-1010,44119,185667,228776,43776,65831,72531,182138,557301,603612,-46311,-7.67,703614
Interest earned - external investments,,3004556,0,2085750,3085750,278749,346304,225823,850876,379095,251317,310580,940992,331310,283627,251450,866387,224254,229331,238108,691693,3349948,2085756,1264192,60.61,3085750
Interest earned - outstanding debtors,,7833978,0,5098417,2558200,313796,319221,329402,962419,326480,330031,330953,987464,1153633,343790,347133,1844556,315167,413671,315913,1044751,4839190,5098416,-259226,-5.08,2558200
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
