Eastern Cape: Engcobo(EC137) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,2772606,0,4000000,4000000,85151,351315,563032,999498,279618,263726,109126,652470,112375,309996,154888,577259,194382,97022,100538,391942,2621169,4000000,-1378831,-34.47,4000000
Property rates - penalties and collection charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - electricity revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - water revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - sanitation revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - refuse revenue,,0,0,1000000,1000000,51126,0,72195,123321,73261,58213,43647,175121,30114,77135,31746,138995,44174,37800,74805,156779,594216,1000000,-405784,-40.58,1000000
Service charges - other,,1454243,0,0,0,0,63810,0,63810,0,0,0,0,0,0,0,0,0,0,0,0,63810,,63810,0,0
Rental of facilities and equipment,,270253,0,298000,298000,4987,46865,28146,79998,29099,10773,8996,48868,17213,20332,4639,42184,11085,11477,14600,37162,208212,298000,-89788,-30.13,298000
Interest earned - external investments,,2774552,0,3500000,3500000,223170,277676,274507,775353,231906,211391,231739,675036,231870,192549,21919,446338,294347,203148,214759,712254,2608981,3500000,-891019,-25.46,3500000
Interest earned - outstanding debtors,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,12050,0,100000,100000,0,0,0,0,300,1750,2000,4050,2750,3300,3077,9127,500,2750,300,3550,16727,100000,-83273,-83.27,100000
Licences and permits,,3938247,0,5500000,5500000,352392,393060,292199,1037651,309938,287783,120449,718170,408070,408790,407670,1224530,309600,296563,371450,977613,3957964,5500000,-1542036,-28.04,5500000
Agency services,,0,0,0,0,0,1605000,0,1605000,0,0,0,0,0,0,0,0,0,0,0,0,1605000,,1605000,0,0
Transfers recognised - operational,,117473917,0,108212000,108212000,42764000,0,0,42764000,0,35171000,0,35171000,588000,506000,28166000,29260000,0,0,0,0,107195000,108212000,-1017000,-0.94,108212000
Other own revenue,,2296477,0,31289148,31289148,0,1043770,469623,1513393,782314,1515770,1301840,3599924,1183474,3535650,102157,4821281,2411040,1087260,943717,4442017,14376615,31289148,-16912533,-54.05,31289148
Gains on disposal of PPE,,-3931762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Total Revenue (excl. capital transfers and contributions),,127060583,0,153899148,153899148,43480826,3781496,1699702,48962024,1706436,37520406,1817797,41044639,2573866,5053752,28892096,36519714,3265128,1736020,1720169,6721317,133247694,153899148,-20651454,-13.418822825451898,153899148
,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure By Type,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee related costs,,37928101,0,49160667,49160667,3482247,3321047,3406030,10209324,3202137,3181649,3355056,9738842,2992611,3564674,3546231,10103516,3222043,3362676,6777030,13361749,43413431,49160670,-5747239,-11.69,49160667
Remuneration of councillors,,10896852,0,11971238,11971238,963695,935350,969272,2868317,952142,906216,953183,2811541,928411,928411,964839,2821661,1437773,1026091,2016780,4480644,12982163,11971238,1010925,8.44,11971238
Debt impairment,,303060,0,1650000,1650000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1650000,-1650000,-100,1650000
Depreciation and asset impairment,,28065434,0,38000000,38000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38000000,-38000000,-100,38000000
Finance charges,,68887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Bulk purchases,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Other Materials,,4178485,0,12435000,12435000,15777,23319,101311,140407,217549,0,0,217549,0,0,0,0,0,0,0,0,357956,12435000,-12077044,-97.12,12435000
Contracted services,,0,0,7400000,7400000,19441,13030,0,32471,0,359033,271032,630065,587309,495864,183628,1266801,224805,794777,627473,1647055,3576392,7400000,-3823608,-51.67,7400000
Transfers and grants,,23743035,0,2000000,2000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000001,-2000001,-100,2000000
Other expenditure,,66046111,0,51162990,51162990,4075947,4746722,7368220,16190889,5020642,5990851,1954718,12966211,4797177,3477871,3013560,11288608,3847935,2620630,6772035,13240600,53686308,51162990,2523318,4.93,51162990
Loss on disposal of PPE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
