Eastern Cape: Sakhisizwe(EC138) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,0,0,0,0,7073557,572452,319458,7965467,0,276642,284420,561062,465377,264819,278395,1008591,228693,224846,4793,458332,9993452,4400004,5593448,127.12,0
Property rates - penalties and collection charges,,4436175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - electricity revenue,,7931173,0,0,0,584356,606705,699041,1890102,0,1317002,438365,1755367,1548420,790565,440482,2779467,1567748,713732,652190,2933670,9358606,8649996,708610,8.19,0
Service charges - water revenue,,8808068,0,0,0,24190,0,138,24328,0,0,101130,101130,0,0,0,0,0,0,0,0,125458,5649996,-5524538,-97.78,0
Service charges - sanitation revenue,,1907525,0,0,0,503547,0,0,503547,0,0,0,0,236,0,0,236,29624,0,0,29624,533407,1400004,-866597,-61.9,0
Service charges - refuse revenue,,2643248,0,0,0,263702,275121,275298,814121,0,241681,278638,520319,292514,285041,282850,860405,0,284805,272998,557803,2752648,2085000,667648,32.02,0
Service charges - other,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Rental of facilities and equipment,,206021,0,0,0,24149,12310,9336,45795,0,33055,6391,39446,70042,14311,10589,94942,5084,9412,7825,22321,202504,1175004,-972500,-82.77,0
Interest earned - external investments,,1684361,0,0,0,2285,79391,2862,84538,0,21799,39351,61150,49672,40372,163207,253251,55161,56263,34945,146369,545308,636000,-90692,-14.26,0
Interest earned - outstanding debtors,,4088528,0,0,0,229621,229787,231805,691213,0,286098,299136,585234,297493,313909,192542,803944,310875,323157,304988,939020,3019411,4475004,-1455593,-32.53,0
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,8669,0,0,0,0,193,84,277,0,0,0,0,439,1175,4062,5676,0,0,0,0,5953,1323996,-1318043,-99.55,0
Licences and permits,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12996,-12996,-100,0
