Eastern Cape: Elundini(EC141) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,13353637,0,14428006,14428006,16429563,16425563,-150,32854976,0,0,0,0,0,0,0,0,0,0,0,0,32854976,14428008,18426968,127.72,14428006
Property rates - penalties and collection charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - electricity revenue,,15090389,0,20817429,21109429,1585642,0,1525029,3110671,1595858,1558316,1680516,4834690,0,0,1662710,1662710,1599057,1486955,1744824,4830836,14438907,20816544,-6377637,-30.64,21109429
Service charges - water revenue,,0,0,0,0,141011,0,1247421,1388432,1225630,871374,1200598,3297602,0,3342891,-3571962,-229071,-2118580,1124565,1067049,73034,4529997,,4529997,0,0
Service charges - sanitation revenue,,0,0,0,0,0,0,37816,37816,39081,-681656,40684,-601891,0,38446,529361,567807,38573,40099,270622,349294,353026,,353026,0,0
Service charges - refuse revenue,,3983780,0,4250000,4250227,351689,703098,350688,1405475,352179,352030,352062,1056271,0,352254,352558,704812,352655,352671,352591,1057917,4224475,4250232,-25757,-0.61,4250227
Service charges - other,,0,0,0,0,0,0,0,0,0,0,0,0,1505758,0,0,1505758,0,0,0,0,1505758,,1505758,0,0
Rental of facilities and equipment,,1120643,0,13380236,4971398,90831,182015,125134,397980,102045,103389,100306,305740,104774,103455,119767,327996,2103350,-1893269,100832,310913,1342629,13380372,-12037743,-89.97,4971398
Interest earned - external investments,,1591740,0,1957000,850000,17822,22889,4708,45419,5011,388530,8590,402131,7957,8991,576765,593713,4951,717136,222611,944698,1985961,1957260,28701,1.47,850000
Interest earned - outstanding debtors,,1787401,0,1791400,1791400,114782,236024,127023,477829,131185,138526,145211,414922,148838,152392,-15840,285390,22642,174669,160114,357425,1535566,1791396,-255830,-14.28,1791400
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,588667,0,56899,2350560,6229,1956,6951,15136,5544,12341,10325,28210,4525,6381,8891,19797,3151,7594,12724,23469,86612,56904,29708,52.21,2350560
Licences and permits,,2188273,0,2259061,631807,210527,14387,201845,426759,219255,181305,180010,580570,191595,179144,188627,559366,161011,165109,132634,458754,2025449,2259060,-233611,-10.34,631807
Agency services,,1448997,0,1479000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1478952,-1478952,-100,0
Transfers recognised - operational,,96147645,0,106731000,135740339,40327000,40327000,0,80654000,0,33959000,17791,33976791,0,0,28418968,28418968,0,543442,449378,992820,144042579,106731000,37311579,34.96,135740339
Other own revenue,,1023139,0,31578805,7790485,-346356,-360675,305631,-401400,112320,119968,821546,1053834,1427384,43373,1385531,2856288,-75726,404100,2449624,2777998,6286720,31578768,-25292048,-80.09,7790485
Gains on disposal of PPE,,413001,0,296363,471669,122807,122807,0,245614,0,0,0,0,10175,122807,100956,233938,0,-457701,61082,-396619,82933,296364,-213431,-72.02,471669
Total Revenue (excl. capital transfers and contributions),,138737312,0,199025199,194385320,59051547,57675064,3932096,120658707,3788108,37003123,4557639,45348870,3401006,4350134,29756332,37507472,2091084,2665370,7024085,11780539,215295588,199024860,16270728,8.175223939361143,194385320
,,,,,,,,,,,,,,,,,,,,,,,,,,
