Eastern Cape: Senqu(EC142) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,4492262,0,4520998,6201207,5743220,310993,285622,6339835,270083,263791,265567,799441,257274,-234997,266555,288832,226194,213193,-74480,364907,7793015,4520996,3272019,72.37,6201207
Property rates - penalties and collection charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - electricity revenue,,23428352,0,20892435,21692435,2566521,2736692,2579065,7882278,2317979,2326145,2165134,6809258,2004404,2158275,1976521,6139200,2013261,2236856,2415447,6665564,27496300,20892432,6603868,31.61,21692435
Service charges - water revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - sanitation revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - refuse revenue,,2623299,0,2270757,2270757,200262,201068,251863,653193,204262,198657,198763,601682,218325,207853,234743,660921,234162,219771,196199,650132,2565928,2270760,295168,13,2270757
Service charges - other,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Rental of facilities and equipment,,500938,0,294675,294675,19164,22853,66177,108194,18218,21338,28929,68485,20564,19848,76756,117168,32320,33112,100588,166020,459867,294672,165195,56.06,294675
Interest earned - external investments,,8881444,0,6000000,6000000,825218,939210,849520,2613948,532750,1100765,905341,2538856,907403,822264,856284,2585951,0,1942871,863238,2806109,10544864,6000000,4544864,75.75,6000000
Interest earned - outstanding debtors,,1544494,0,898418,1048418,145194,154697,156681,456572,155707,160743,164877,481327,170743,170557,176051,517351,173246,169608,171688,514542,1969792,898416,1071376,119.25,1048418
