Eastern Cape: Maletswai(EC143) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,11455176,0,12783120,12783120,12244072,-120690,23931,12147313,-128468,-432565,1369,-559664,-11324,538,44508,33722,-795875,62853,310235,-422787,11198584,12783120,-1584536,-12.4,12783120
Property rates - penalties and collection charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - electricity revenue,,51877405,0,63399640,61877670,5323906,4856333,5612826,15793065,5065091,4187369,4858427,14110887,4699827,4881253,1255654,10836734,4911869,4525052,5603467,15040388,55781074,63399640,-7618566,-12.02,61877670
Service charges - water revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - sanitation revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - refuse revenue,,4330508,0,9840000,7713670,541834,417199,423813,1382846,458924,437111,459096,1355131,429578,415557,407170,1252305,397657,393726,389746,1181129,5171411,9840000,-4668589,-47.45,7713670
Service charges - other,,-386505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Rental of facilities and equipment,,2071521,0,2308770,2208570,150387,159733,146803,456923,202343,156807,167466,526616,139411,175484,3565,318460,182772,193195,150898,526865,1828864,2308770,-479906,-20.79,2208570
Interest earned - external investments,,478002,0,223530,600000,11302,23089,39690,74081,11140,23169,143267,177576,12673,12947,35735,61355,59888,11311,50512,121711,434723,223530,211193,94.48,600000
Interest earned - outstanding debtors,,346949,0,384850,442000,31382,37393,39428,108203,42818,48046,50164,141028,51874,52174,51835,155883,53607,52035,51486,157128,562242,384850,177392,46.09,442000
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,246349,0,231780,231780,39,3054,65,3158,2450,74,68,2592,0,161207,80,161287,71749,42192,35692,149633,316670,231780,84890,36.63,231780
Licences and permits,,2073733,0,3090000,2152170,174407,130389,141539,446335,157880,115672,169346,442898,132036,159731,176050,467817,149708,140532,150942,441182,1798232,3090000,-1291768,-41.8,2152170
Agency services,,4705050,0,2198700,2010680,187500,122284,133272,443056,177497,95817,153364,426678,137173,137929,145414,420516,117855,139848,152881,410584,1700834,2198700,-497866,-22.64,2010680
Transfers recognised - operational,,30499359,0,30682100,30603730,10111757,96883,185493,10394133,70708,8516610,658405,9245723,53976,42417,79728,176121,579292,744307,6388718,7712317,27528294,30682100,-3153806,-10.28,30603730
Other own revenue,,7333330,0,4858130,4132740,185657,80281,91097,357035,142666,108687,565940,817293,133714,115267,80355,329336,235437,100965,224873,561275,2064939,4858130,-2793191,-57.5,4132740
Gains on disposal of PPE,,170352,0,34000,66400,2707,22250,0,24957,0,0,175,175,729,1814,384698,387241,0,0,34316,34316,446689,34000,412689,1213.79,66400
Total Revenue (excl. capital transfers and contributions),,115201229,0,130034620,124822530,28964950,5828198,6837957,41631105,6203049,13256797,7227087,26686933,5779667,6156318,2664792,14600777,5963959,6406016,13543766,25913741,108832556,130034620,-21202064,-16.30493786962272,124822530
,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure By Type,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee related costs,,41059963,0,50927100,45314610,3196265,3181120,3263611,9640996,3245779,3303025,3351948,9900752,3334120,3419208,3505669,10258997,3372123,3336045,3377376,10085544,39886289,50927100,-11040811,-21.68,45314610
Remuneration of councillors,,3269323,0,3608490,3608490,286941,263681,273088,823710,268712,269287,264042,802041,264788,270713,276755,812256,423822,328406,269397,1021625,3459632,3608490,-148858,-4.13,3608490
Debt impairment,,4121301,0,350000,350000,0,0,0,0,0,0,6757,6757,0,0,0,0,0,0,0,0,6757,350000,-343243,-98.07,350000
Depreciation and asset impairment,,12142498,0,2160690,2160690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2160690,-2160690,-100,2160690
Finance charges,,4952037,0,443620,627140,22579,23007,121811,167397,21157,21161,13084,55402,19865,19268,112643,151776,18042,16867,16806,51715,426290,443620,-17330,-3.91,627140
