Eastern Cape: Gariep(EC144) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,7637441,0,10077000,10077000,6074894,3765,429119,6507778,412596,2690,395393,810679,432213,427325,585054,1444592,459602,0,0,459602,9222651,10077000,-854349,-8.48,10077000
Property rates - penalties and collection charges,,34986,0,1143990,1143990,0,0,0,0,0,0,49266,49266,0,0,0,0,0,0,3579,3579,52845,1143990,-1091145,-95.38,1143990
Service charges - electricity revenue,,11370692,0,25142000,25142000,2288661,175983,1288315,3752959,1047123,1144110,2289982,4481215,1048125,579482,824073,2451680,7805117,1062394,1479820,10347331,21033185,25142000,-4108815,-16.34,25142000
Service charges - water revenue,,0,0,0,0,0,1983082,1916071,3899153,2022399,1768620,254377,4045396,2819852,0,1482785,4302637,449223,1665248,1512438,3626909,15874095,,15874095,0,0
Service charges - sanitation revenue,,0,0,0,0,0,233148,718862,952010,689160,234950,469356,1393466,690340,630889,622614,1943843,938681,317967,323956,1580604,5869923,,5869923,0,0
Service charges - refuse revenue,,11864062,0,11791654,11791654,1459424,1470614,693036,3623074,709847,1463332,87405,2260584,711777,648112,639028,1998917,977654,1386858,1372838,3737350,11619925,11791652,-171727,-1.46,11791654
Service charges - other,,88,0,0,0,0,0,0,0,0,0,15444,15444,0,0,0,0,0,0,0,0,15444,,15444,0,0
Rental of facilities and equipment,,184862,0,365260,365260,4672,4790,1370,10832,6883,9309,13933,30125,11087,6370,7208,24665,9984,8459,10409,28852,94474,365260,-270786,-74.14,365260
Interest earned - external investments,,181930,0,0,0,0,7873,0,7873,0,1289,1261,2550,1611,0,5781,7392,1182,150858,1600,153640,171455,,171455,0,0
Interest earned - outstanding debtors,,2619579,0,5824833,5824833,508250,542251,0,1050501,0,588138,1193124,1781262,0,1193,636890,638083,654965,656831,658385,1970181,5440027,5824831,-384804,-6.61,5824833
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,14443,0,19896,19896,238,1097,41,1376,1213,73,1629,2915,429,57,78,564,757,793,44,1594,6449,19866,-13417,-67.54,19896
Licences and permits,,0,0,689235,689235,59003,33388,49171,141562,70334,35082,36119,141535,67845,39038,39349,146232,39921,39056,35827,114804,544133,689235,-145102,-21.05,689235
Agency services,,3168619,0,4271999,4271999,140678,110613,44203,295494,126057,36504,72245,234806,157461,15975,48258,221694,41843,55631,56744,154218,906212,4271999,-3365787,-78.79,4271999
Transfers recognised - operational,,25780937,0,31289000,31289000,0,9458000,0,9458000,0,4756000,4756000,9512000,2010000,0,4272000,6282000,1567824,0,0,1567824,26819824,31289000,-4469176,-14.28,31289000
Other own revenue,,426951,0,12534868,12534868,45894,29351,24640,99885,52340,22343,67555,142238,28246,29266,16156,73668,24179,60718,209431,294328,610119,12534868,-11924749,-95.13,12534868
Gains on disposal of PPE,,42463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Total Revenue (excl. capital transfers and contributions),,63327053,0,103149735,103149735,10581714,14053955,5164828,29800497,5137952,10062440,9703089,24903481,7978986,2377707,9179274,19535967,12970932,5404813,5665071,24040816,98280761,103149701,-4868940,-4.720265742699535,103149735
,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure By Type,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee related costs,,29604990,0,35007220,35007220,2458392,2670487,2482774,7611653,2683237,2394956,3965070,9043263,2443490,2396616,2469561,7309667,2676949,2576891,2404074,7657914,31622497,35007220,-3384723,-9.67,35007220
Remuneration of councillors,,2853279,0,3105272,3105272,260923,0,11391,272314,261068,271683,238417,771168,252620,251887,261004,765511,368207,231952,251505,851664,2660657,3105271,-444614,-14.32,3105272
Debt impairment,,4267624,0,2676439,2676439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2676438,-2676438,-100,2676439
Depreciation and asset impairment,,19967130,0,8644916,8644916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8644916,-8644916,-100,8644916
Finance charges,,4595244,0,241524,241524,0,0,0,0,0,0,0,0,0,0,588592,588592,0,0,0,0,588592,241524,347068,143.7,241524
Bulk purchases,,18389777,0,22577809,22577809,0,0,0,0,0,0,938854,938854,0,0,0,0,0,0,1909453,1909453,2848307,22577808,-19729501,-87.38,22577809
Other Materials,,1104571,0,1602203,1602203,240783,21900,24625,287308,65452,16221,111693,193366,128661,25465,0,154126,172192,259870,147544,579606,1214406,1602201,-387795,-24.2,1602203
Contracted services,,11152471,0,3349902,3349902,284186,223082,772502,1279770,451948,215304,535492,1202744,40991,359548,568841,969380,494751,368753,492089,1355593,4807487,3349902,1457585,43.51,3349902
