Eastern Cape: Ngquza Hills(EC153) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,8000000,0,12000000,12000000,844746,627624,443327,1915697,1322521,486607,1153875,2963003,447117,430062,4651666,5528845,512992,677169,757901,1948062,12355607,12000000,355607,2.96,12000000
Property rates - penalties and collection charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - electricity revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - water revenue,,800000,0,0,844800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,844800
Service charges - sanitation revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - refuse revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,844800,-844800,-100,0
Service charges - other,,0,0,844800,0,35563,20619,34607,90789,1108,21955,9978,33041,17878,26121,1025,45024,6994,13886,135110,155990,324844,,324844,0,0
Rental of facilities and equipment,,120000,0,0,512416,1046,1453,782,3281,56107,1845,1454,59406,1454,1733,1174,4361,4610,2352,2183,9145,76193,,76193,0,512416
Interest earned - external investments,,3000000,0,2500000,2500000,216635,309746,267541,793922,212954,147807,226991,587752,247909,206516,177105,631530,256332,314959,263194,834485,2847689,2500000,347689,13.91,2500000
Interest earned - outstanding debtors,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,150000,0,800000,800000,37200,26950,20621,84771,23400,0,57500,80900,34200,28100,15600,77900,19600,8500,35650,63750,307321,800000,-492679,-61.58,800000
Licences and permits,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Agency services,,3000000,0,3168000,3168000,292423,227853,266951,787227,242365,241248,238877,722490,246416,303058,252864,802338,240587,262905,280378,783870,3095925,3168000,-72075,-2.28,3168000
Transfers recognised - operational,,130420000,0,157076000,157076000,62376000,1334000,0,63710000,0,50631000,0,50631000,0,0,0,0,0,0,0,0,114341000,157076000,-42735000,-27.21,157076000
Other own revenue,,77814009,0,44805468,10402524,4328085,33062,59320,4420467,146097,76947,1126976,1350020,939233,175333,7031315,8145881,139728,2927621,1507382,4574731,18491099,44805468,-26314369,-58.73,10402524
Gains on disposal of PPE,,500000,0,0,7238200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,7238200
Total Revenue (excl. capital transfers and contributions),,223804009,0,221194268,194541940,68131698,2581307,1093149,71806154,2004552,51607409,2815651,56427612,1934207,1170923,12130749,15235879,1180843,4207392,2981798,8370033,151839678,221194268,-69354590,-31.35460544574329,194541940
,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure By Type,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee related costs,,93411863,0,87049627,115328018,5731780,5567045,6272407,17571232,5031394,6336357,6397885,17765636,6004388,6086108,5967496,18057992,5894049,6067895,6027009,17988953,71383813,87050037,-15666224,-18,115328018
Remuneration of councillors,,14898253,0,15869380,16917373,1291182,1300785,1295983,3887950,1196862,1325824,1325824,3848510,1325824,1300785,1300785,3927394,2073091,1401256,1401256,4875603,16539457,15869380,670077,4.22,16917373
Debt impairment,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Depreciation and asset impairment,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Finance charges,,111619,0,0,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,100000
Bulk purchases,,423600,0,0,423600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,423600
Other Materials,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Contracted services,,893766,0,0,863766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,863766
Transfers and grants,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Other expenditure,,56264959,0,0,45551752,12705538,10725157,5944838,29375533,3084950,3999956,4070483,11155389,741270,4969024,9042307,14752601,5492629,8035078,13186078,26713785,81997308,,81997308,0,45551752
Loss on disposal of PPE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Total Expenditure,,166004060,0,102919007,179184509,19728500,17592987,13513228,50834715,9313206,11662137,11794192,32769535,8071482,12355917,16310588,36737987,13459769,15504229,20614343,49578341,169920578,102919417,67001161,65.10060293093187,179184509
,,,,,,,,,,,,,,,,,,,,,,,,,,
Surplus/(Deficit),,57799949,0,118275261,15357431,48403198,-15011680,-12420079,20971439,-7308654,39945272,-8978541,23658077,-6137275,-11184994,-4179839,-21502108,-12278926,-11296837,-17632545,-41208308,-18080900,118274851,-136355751,-115.28718898999077,15357431
Transfers recognised - capital,,0,0,55594000,0,13000000,0,0,13000000,2000000,0,0,2000000,0,0,0,0,0,0,0,0,15000000,55594000,-40594000,-73.02,0
Contributions recognised - capital,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Contributed assets,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) after capital transfers and contributions,,57799949,0,173869261,15357431,61403198,-15011680,-12420079,33971439,-5308654,39945272,-8978541,25658077,-6137275,-11184994,-4179839,-21502108,-12278926,-11296837,-17632545,-41208308,-3080900,173868851,-176949751,-101.77196776897088,15357431
Taxation,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) after taxation,,57799949,0,173869261,15357431,61403198,-15011680,-12420079,33971439,-5308654,39945272,-8978541,25658077,-6137275,-11184994,-4179839,-21502108,-12278926,-11296837,-17632545,-41208308,-3080900,173868851,-176949751,-101.77196776897088,15357431
Attributable to minorities,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
