Eastern Cape: Port St Johns(EC154) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,6628698,0,4758800,4758800,0,0,0,0,0,0,-248,-248,0,0,0,0,0,-42563,0,-42563,-42811,6478902,-6521713,-100.66,4758800
Property rates - penalties and collection charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - electricity revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - water revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - sanitation revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - refuse revenue,,709229,0,523764,523764,0,65233,63565,128798,59020,60698,58973,178691,60840,58940,0,119780,58940,58940,0,117880,545149,523764,21385,4.08,523764
Service charges - other,,0,0,0,0,993,0,0,993,0,1985,0,1985,0,0,0,0,0,0,0,0,2978,,2978,0,0
Rental of facilities and equipment,,60637,0,90616,90616,7298,21125,-8463,19960,-32529,-8192,-111448,-152169,-76325,-17635,0,-93960,-22433,-22911,0,-45344,-271513,90616,-362129,-399.63,90616
Interest earned - external investments,,862416,0,0,0,28,14,153,195,71,30,46,147,203,25,0,228,0,63,0,63,633,,633,0,0
Interest earned - outstanding debtors,,2172148,0,564344,564344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,564344,-564344,-100,564344
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,296600,0,48106,48106,900,1800,900,3600,900,0,4000,4900,14360,10400,0,24760,0,600,0,600,33860,48106,-14246,-29.61,48106
Licences and permits,,18706,0,998268,998268,0,192837,196961,389798,263749,0,243470,507219,74662,557539,0,632201,219799,222754,0,442553,1971771,998268,973503,97.52,998268
Agency services,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Transfers recognised - operational,,88267899,0,100018000,100018000,36167000,35623313,0,71790313,1050000,25787000,1300000,28137000,516407,0,0,516407,0,701510,0,701510,101145230,100018000,1127230,1.13,100018000
Other own revenue,,220787,0,1756266,1756266,2591,1379,12325,16295,5619,5347,75986,86952,8433,5916,0,14349,7026,14067,0,21093,138689,1756265,-1617576,-92.1,1756266
Gains on disposal of PPE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Total Revenue (excl. capital transfers and contributions),,99237120,0,108758164,108758164,36178810,35905701,265441,72349952,1346830,25846868,1570779,28764477,598580,615185,0,1213765,263332,932460,0,1195792,103523986,110478265,-6954279,-6.29470330657347,108758164
