Eastern Cape: Nyandeni(EC155) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,5259469,0,5005175,5005175,0,0,0,0,0,0,0,0,0,36310,0,36310,0,-6050,0,-6050,30260,5005175,-4974915,-99.4,5005175
Property rates - penalties and collection charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - electricity revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - water revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - sanitation revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - refuse revenue,,177791,0,200000,200000,15392,0,0,15392,15803,0,0,15803,15803,15803,15803,47409,15803,14587,15803,46193,124797,200000,-75203,-37.6,200000
Service charges - other,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Rental of facilities and equipment,,143818,0,165000,165000,2468,2868,3827,9163,1817,2100,3025,6942,7704,4018,3955,15677,3753,2827,2153,8733,40515,165000,-124485,-75.45,165000
Interest earned - external investments,,4743148,0,5000000,5000000,673147,417091,340497,1430735,551937,212712,251036,1015685,107664,102956,-3497,207123,229850,95136,237395,562381,3215924,5000000,-1784076,-35.68,5000000
Interest earned - outstanding debtors,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,59100,0,50000,50000,5700,1450,2300,9450,15280,4600,500,20380,1800,3950,4500,10250,550,850,3500,4900,44980,50000,-5020,-10.04,50000
Licences and permits,,3252339,0,6500000,6500000,353019,342360,250077,945456,166758,99693,213993,480444,328614,346557,349449,1024620,320691,99834,392368,812893,3263413,6500000,-3236587,-49.79,6500000
Agency services,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Transfers recognised - operational,,157576362,0,173502000,186229638,67091000,1334715,0,68425715,0,56526525,22059,56548584,490737,3450118,46108728,50049583,15652,0,0,15652,175039534,173502000,1537534,0.89,186229638
Other own revenue,,1450559,0,20125000,20437618,1714342,1715375,1056278,4485995,1949242,2455481,1434668,5839391,54184,942855,330995,1328034,88946,512911,2665609,3267466,14920886,20125000,-5204114,-25.86,20437618
Gains on disposal of PPE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Total Revenue (excl. capital transfers and contributions),,172662586,0,210547175,223587431,69855068,3813859,1652979,75321906,2700837,59301111,1925281,63927229,1006506,4902567,46809933,52719006,675245,720095,3316828,4712168,196680309,210547175,-13866866,-6.58610879010844,223587431
,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure By Type,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee related costs,,79528629,0,80928298,80928298,6711920,6621278,6224292,19557490,7322719,7194527,8000,14525246,7726051,7337525,7513230,22576806,7491898,7709291,7629085,22830274,79489816,80927964,-1438148,-1.78,80928298
Remuneration of councillors,,15983398,0,16173806,16173806,1314655,1337825,1378375,4030855,1380945,1382829,0,2763774,1288348,1307478,1294756,3890582,2067183,1434891,1463031,4965105,15650316,16173806,-523490,-3.24,16173806
Debt impairment,,0,0,3500000,3500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3500000,-3500000,-100,3500000
Depreciation and asset impairment,,30480626,0,34597542,34597542,328399,1332993,1141044,2802436,705567,1591275,327855,2624697,521830,0,5220575,5742405,5557618,3825397,5257832,14640847,25810385,34597542,-8787157,-25.4,34597542
Finance charges,,139770,0,104500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105400,-105400,-100,0
Bulk purchases,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Other Materials,,4462723,0,16846298,23346298,0,0,0,0,0,0,0,0,0,433174,0,433174,0,0,0,0,433174,16846298,-16413124,-97.43,23346298
Contracted services,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Transfers and grants,,0,0,3720000,3720000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3720000,-3720000,-100,3720000
Other expenditure,,69417121,0,149096973,160741487,3914458,4944773,5816131,14675362,4146458,4238177,4327879,12712514,3674684,4269481,4052003,11996168,4653058,2695759,6761628,14110445,53494489,149096240,-95601751,-64.12,160741487
Loss on disposal of PPE,,10324018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Total Expenditure,,210336285,0,304967417,323007431,12269432,14236869,14559842,41066143,13555689,14406808,4663734,32626231,13210913,13347658,18080564,44639135,19769757,15665338,21111576,56546671,174878180,304967250,-130089070,-42.65673445263385,323007431
,,,,,,,,,,,,,,,,,,,,,,,,,,
