Eastern Cape: Mhlontlo(EC156) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,7608225,0,7970738,7970738,7596717,-350941,2819,7248595,0,-36445,0,-36445,0,0,0,0,0,0,0,0,7212150,7970738,-758588,-9.52,7970738
Property rates - penalties and collection charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - electricity revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - water revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - sanitation revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - refuse revenue,,568072,0,571785,571785,47597,47346,47772,142715,47793,47793,47793,143379,47793,47793,47793,143379,47793,0,0,47793,477266,571785,-94519,-16.53,571785
Service charges - other,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Rental of facilities and equipment,,69764,0,44352,44352,1842,5263,6281,13386,2281,2421,3000,7702,2368,4790,2895,10053,4649,5263,0,9912,41053,44352,-3299,-7.44,44352
Interest earned - external investments,,1412762,0,1817376,1817376,75592,93102,75741,244435,45359,43768,140104,229231,95752,73005,145816,314573,192387,140775,0,333162,1121401,1817377,-695976,-38.3,1817376
Interest earned - outstanding debtors,,744952,0,791238,791238,63988,64236,49890,178114,65415,66111,66593,198119,66717,67125,67233,201075,0,0,0,0,577308,791239,-213931,-27.04,791238
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,183379,0,163680,163680,8500,9500,12700,30700,3000,4700,41900,49600,23635,13385,18085,55105,20885,22035,0,42920,178325,163679,14646,8.95,163680
Licences and permits,,1141491,0,1330560,1330560,87814,117487,129531,334832,94746,79555,40495,214796,130637,162838,142245,435720,128632,59439,0,188071,1173419,1330560,-157141,-11.81,1330560
Agency services,,12350,0,792000,792000,105567,69414,76249,251230,61825,61629,58822,182276,59615,57625,61515,178755,58505,61111,0,119616,731877,792000,-60123,-7.59,792000
Transfers recognised - operational,,126674924,0,136020000,136020000,46880186,488000,166900,47535086,615104,44372087,1405902,46393093,57568,1295486,34639001,35992055,86065,0,0,86065,130006299,136020000,-6013701,-4.42,136020000
Other own revenue,,1919978,0,12661779,12661779,48784,1291279,57583,1397646,650532,41251,45494,737277,226577,26610,400697,653884,624258,33538,0,657796,3446603,12661781,-9215178,-72.78,12661779
Gains on disposal of PPE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Total Revenue (excl. capital transfers and contributions),,140335897,0,162163508,162163508,54916587,1834686,625466,57376739,1586055,44682870,1850103,48119028,710662,1748657,35525280,37984599,1163174,322161,0,1485335,144965701,162163511,-17197810,-10.605227954148083,162163508
,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure By Type,,,,,,,,,,,,,,,,,,,,,,,,,,
