Eastern Cape: King Sabata Dalindyebo(EC157) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,151866136,0,189717364,153425076,0,0,44316254,44316254,56803870,0,0,56803870,0,-51659,51132576,51080917,0,-26611004,23306135,-3304869,148896172,189717364,-40821192,-21.52,153425076
Property rates - penalties and collection charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - electricity revenue,,231605830,0,255081154,255341296,9549057,20575649,20599076,50723782,-9347926,19741739,18390918,28784731,20814120,15737739,162012785,198564644,8294994,19934536,-26517870,1711660,279784817,255081158,24703659,9.68,255341296
Service charges - water revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - sanitation revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - refuse revenue,,22492943,0,25010614,27652000,-17102,147122,634409,764429,-41626,220905,220014,399293,122773,76920,194307,394000,-5941,1699103,225023,1918185,3475907,25010613,-21534706,-86.1,27652000
Service charges - other,,0,0,8020000,12959447,16498,9812,2854130,2880440,-2926343,8052,8073,-2910218,12188,11182,14048,37418,4191,2860669,23795,2888655,2896295,8020306,-5124011,-63.89,12959447
Rental of facilities and equipment,,14635149,0,17343000,19422483,-121752,1256596,1241544,2376388,10980,1282716,1259394,2553090,1282558,1261873,40914767,43459198,-31332,1312612,-34614704,-33333424,15055252,17343047,-2287795,-13.19,19422483
Interest earned - external investments,,25972596,0,7776195,7776195,49739,433712,379281,862732,-340606,188913,443002,291309,425073,354467,1317467,2097007,457918,384172,314396,1156486,4407534,7776195,-3368661,-43.32,7776195
Interest earned - outstanding debtors,,0,0,25074144,26789880,-37718,1808947,1851613,3622842,25646,2173193,2213625,4412464,1923702,2366228,5964346,10254276,0,2213419,4588432,6801851,25091433,25074147,17286,0.07,26789880
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,1351313,0,3954000,2453944,43200,92960,39232,175392,-96878,97570,43816,44508,227610,74242,276084,577936,75802,30406,53952,160160,957996,3953966,-2995970,-75.77,2453944
Licences and permits,,12300926,0,17714000,21575620,351256,455395,1202352,2009003,-2926275,1124104,3486253,1684082,1228098,1299642,5684270,8212010,1149687,881332,624474,2655493,14560588,17714324,-3153736,-17.8,21575620
Agency services,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Transfers recognised - operational,,208691036,0,226387000,233050578,82143346,2263338,-137967,84268717,-849746,69801014,1772194,70723462,1054798,788331,57883661,59726790,1037722,753949,5987386,7779057,222498026,226386553,-3888527,-1.72,233050578
Other own revenue,,20510660,0,38374901,38375435,556323,328654,164306,1049283,-508441,494548,204862,190969,472475,211845,1362233,2046553,46696,377699,7062,431457,3718262,38373412,-34655150,-90.31,38375435
Gains on disposal of PPE,,0,0,0,0,4386,0,0,4386,0,0,0,0,0,96491,0,96491,0,0,0,0,100877,,100877,0,0
Total Revenue (excl. capital transfers and contributions),,689426589,0,814452372,798821954,92537233,27372185,73144230,193053648,39802655,95132754,28042151,162977560,27563395,22227301,326756544,376547240,11029737,3836893,-26001919,-11135289,721443159,814451085,-93007926,-11.419706807806634,798821954
,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure By Type,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee related costs,,262588049,0,315478000,327016571,22748299,22488702,23479731,68716732,23350456,24498282,25407253,73255991,26157283,24592691,25231918,75981892,25845336,25363050,25256289,76464675,294419290,315478048,-21058758,-6.68,327016571
Remuneration of councillors,,21462638,0,21535796,21535797,1670867,1670867,1716674,5058408,1699558,1683793,1687477,5070828,1683011,1689838,1680011,5052860,2164080,1716063,1791695,5671838,20853934,21535792,-681858,-3.17,21535797
Debt impairment,,42109869,0,30000000,30000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30000000,-30000000,-100,30000000
Depreciation and asset impairment,,338351974,0,102800000,162784335,0,0,0,0,0,0,0,0,0,0,0,0,17898653,17900659,180002776,215802088,215802088,102800000,113002088,109.92,162784335
Finance charges,,5332112,0,5400000,5400000,0,0,255479,255479,0,0,2107911,2107911,0,0,580916,580916,0,0,1688625,1688625,4632931,5399995,-767064,-14.2,5400000
Bulk purchases,,170233450,0,196507430,196507430,21327843,22852985,13517180,57698008,14724894,13254882,11517886,39497662,12470861,12592485,12004366,37067712,2128562,14184503,17886978,34200043,168463425,196507433,-28044008,-14.27,196507430
Other Materials,,29912742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Contracted services,,15353011,0,13885000,8046547,145479,613936,2579136,3338551,-116194,847831,338391,1070028,464530,642406,610215,1717151,662752,392503,445227,1500482,7626212,13884957,-6258745,-45.08,8046547
Transfers and grants,,34960383,0,20000000,20000000,1664615,1606419,1424817,4695851,1227284,1514827,1795631,4537742,-138453,665950,2072114,2599611,898338,1252749,8625283,10776370,22609574,20000000,2609574,13.05,20000000
Other expenditure,,134876537,0,230672901,209342598,12700921,14847856,11912835,39461612,7167477,11248081,10503794,28919352,13883658,11522694,11696528,37102880,8995975,13158718,16934411,39089104,144572948,202830486,-58257538,-28.72,209342598
Loss on disposal of PPE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Total Expenditure,,1055180765,0,936279127,980633278,60258024,64080765,54885852,179224641,48053475,53047696,53358343,154459514,54520890,51706064,53876068,160103022,58593696,73968245,252631284,385193225,878980402,908436711,-29456309,-3.2425273707372226,980633278
,,,,,,,,,,,,,,,,,,,,,,,,,,
Surplus/(Deficit),,-365754176,0,-121826755,-181811324,32279209,-36708580,18258378,13829007,-8250820,42085058,-25316192,8518046,-26957495,-29478763,272880476,216444218,-47563959,-70131352,-278633203,-396328514,-157537243,-93985626,-63551617,67.6184430585162,-181811324
Transfers recognised - capital,,178365193,0,121826755,181811324,2654634,5629637,5925658,14209929,-10139812,16913207,19207427,25980822,8564770,15155175,14226008,37945953,12798434,14083256,59445560,86327250,164463954,121826841,42637113,35,181811324
Contributions recognised - capital,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Contributed assets,,0,0,27842000,0,3435526,3467727,14330,6917583,-3447763,467126,677636,-2303001,139784,-3014021,998578,-1875659,-340947,-176400,-1641719,-2159066,579857,27841599,-27261742,-97.92,0
Surplus/(Deficit) after capital transfers and contributions,,-187388983,0,27842000,0,38369369,-27611216,24198366,34956519,-21838395,59465391,-5431129,32195867,-18252941,-17337609,288105062,252514512,-35106472,-56224496,-220829362,-312160330,7506568,55682814,-48176246,-86.51905774733297,0
Taxation,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) after taxation,,-187388983,0,27842000,0,38369369,-27611216,24198366,34956519,-21838395,59465391,-5431129,32195867,-18252941,-17337609,288105062,252514512,-35106472,-56224496,-220829362,-312160330,7506568,55682814,-48176246,-86.51905774733297,0
Attributable to minorities,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) attributable to municipality,,-187388983,0,27842000,0,38369369,-27611216,24198366,34956519,-21838395,59465391,-5431129,32195867,-18252941,-17337609,288105062,252514512,-35106472,-56224496,-220829362,-312160330,7506568,55682814,-48176246,-86.51905774733297,0
Share of surplus/ (deficit) of associate,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) for the year,,-187388983,0,27842000,0,38369369,-27611216,24198366,34956519,-21838395,59465391,-5431129,32195867,-18252941,-17337609,288105062,252514512,-35106472,-56224496,-220829362,-312160330,7506568,55682814,-48176246,-86.51905774733297,0
