Eastern Cape: Matatiele(EC441) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,22600235,0,30729031,32729031,1954507,10803654,1540219,14298380,1423475,1538591,1540292,4502358,1516130,1557429,1541501,4615060,1196228,51337,-5551715,-4304150,19111648,30729036,-11617388,-37.81,32729031
Property rates - penalties and collection charges,,0,0,0,0,254645,0,0,254645,0,0,0,0,0,0,0,0,0,0,0,0,254645,,254645,0,0
Service charges - electricity revenue,,35752556,0,41500000,41500000,2475829,3069364,3217142,8762335,2893009,3178753,3464709,9536471,2822282,4007834,2979163,9809279,3323621,3076393,2991904,9391918,37500003,41499996,-3999993,-9.64,41500000
Service charges - water revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - sanitation revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - refuse revenue,,6609416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - other,,0,0,7190405,7190405,628015,534203,637014,1799232,471028,595738,628843,1695609,597698,609237,621533,1828468,634042,597832,641070,1872944,7196253,7190400,5853,0.08,7190405
Rental of facilities and equipment,,565912,0,599165,560945,39125,39749,45320,124194,50902,35398,91372,177672,43435,138900,45754,228089,49335,67607,50101,167043,696998,599160,97838,16.33,560945
Interest earned - external investments,,5414485,0,4200000,4200000,145034,284812,361238,791084,324702,105129,388754,818585,407814,301240,259300,968354,225413,288933,417191,931537,3509560,4200000,-690440,-16.44,4200000
Interest earned - outstanding debtors,,2463681,0,1943340,3943340,7571,252310,277645,537526,306943,364733,382461,1054137,366502,384274,385332,1136108,381471,378188,347238,1106897,3834668,1943004,1891664,97.36,3943340
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,3672275,0,451050,2201050,97906,101639,193320,392865,212600,243602,149750,605952,201277,149835,175430,526542,-169861,53866,-36781,-152776,1372583,451056,921527,204.3,2201050
Licences and permits,,2188705,0,2704000,1871999,339093,287179,272945,899217,314895,185202,159450,659547,222169,224849,172505,619523,172623,186243,203360,562226,2740513,2703996,36517,1.35,1871999
