Eastern Cape: Umzimvubu(EC442) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,8468165,0,10000000,10000000,4342015,-413592,419692,4348115,418943,418943,418943,1256829,418943,418943,418943,1256829,418943,418943,-10147967,-9310081,-2448308,10000000,-12448308,-124.48,10000000
Property rates - penalties and collection charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - electricity revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - water revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - sanitation revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - refuse revenue,,1325645,0,2500000,2500000,123791,-123791,117972,117972,117894,117894,117894,353682,117894,117894,117894,353682,117894,117894,-2774633,-2538845,-1713509,2500000,-4213509,-168.54,2500000
Service charges - other,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Rental of facilities and equipment,,1804263,0,1529000,1378673,5584,-8708,8728,5604,8417,11289,8726,28432,59729,59729,19528,138986,16852,16852,-1635,32069,205091,1528673,-1323582,-86.58,1378673
Interest earned - external investments,,3173126,0,1900000,2150000,98915,-189133,10266,-79952,505581,36744,141170,683495,711144,711144,188980,1611268,286435,286435,266369,839239,3054050,1900000,1154050,60.74,2150000
Interest earned - outstanding debtors,,1139373,0,1300000,1400000,89567,-140974,126129,74722,125353,125481,128009,378843,130416,130416,126078,386910,128724,128724,133026,390474,1230949,1300000,-69051,-5.31,1400000
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,7011338,0,800000,400000,43175,-23250,21900,41825,40521,34300,53950,128771,59355,59355,49100,167810,24902,24902,29720,79524,417930,800000,-382070,-47.76,400000
Licences and permits,,2680885,0,2494000,2400000,257875,-216190,189290,230975,125401,114295,189920,429616,246624,246624,257796,751044,192456,192456,125754,510666,1922301,2493829,-571528,-22.92,2400000
Agency services,,1392701,0,1166000,1310000,129514,-107734,102799,124579,140850,88858,125147,354855,106441,106441,152376,365258,136952,136952,121427,395331,1240023,1166000,74023,6.35,1310000
Transfers recognised - operational,,156655138,0,166306000,143056000,26600000,26600000,0,53200000,0,3000,0,3000,0,0,3201564,3201564,0,0,42956618,42956618,99361182,166306000,-66944818,-40.25,143056000
Other own revenue,,2066953,0,17400400,43058352,85580,-47923,83833,121490,63379,69316,43706,176401,69413,69413,212040,350866,352939,352939,159858,865736,1514493,17400637,-15886144,-91.3,43058352
Gains on disposal of PPE,,397250,0,0,2747626,636833,-1309123,279701,-392589,-37198,0,0,-37198,0,0,0,0,0,0,32908,32908,-396879,,-396879,0,2747626
Total Revenue (excl. capital transfers and contributions),,186114837,0,205395400,210400651,32412849,24019582,1360310,57792741,1509141,1020120,1227465,3756726,1919959,1919959,4744299,8584217,1676097,1676097,30901445,34253639,104387323,205395139,-101007816,-49.17731572995016,210400651
,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure By Type,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee related costs,,45599362,0,52740000,50780022,3792170,12143,3719224,7523537,7247370,5909818,3774928,16932116,3805155,3805155,3850093,11460403,4450124,4450124,5023058,13923306,49839362,52740431,-2901069,-5.5,50780022
Remuneration of councillors,,13847864,0,14658000,16623409,1141819,1149442,0,2291261,2299840,1149915,1149915,4599670,1149915,1149915,1149915,3449745,1225135,1225135,1836554,4286824,14627500,14657860,-30360,-0.21,16623409
Debt impairment,,2249770,0,3398400,15000000,4727995,-4727995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3398400,-3398400,-100,15000000
Depreciation and asset impairment,,30206134,0,40356000,43496000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16443562,-16443562,-16443562,40356000,-56799562,-140.75,43496000
Finance charges,,1914921,0,21000,0,0,0,354,354,2248,191,0,2439,758,758,3276,4792,0,0,-6609,-6609,976,21240,-20264,-95.4,0
Bulk purchases,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Other Materials,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Contracted services,,5646406,0,6632000,1530000,0,407870,407870,815740,670937,438172,804355,1913464,426554,426554,1168246,2021354,478683,478683,765335,1722701,6473259,6631722,-158463,-2.39,1530000
Transfers and grants,,17340167,0,0,4559000,0,126929,272439,399368,147893,949470,55365,1152728,118289,118289,744752,981330,375927,375927,211357,963211,3496637,,3496637,0,4559000
Other expenditure,,49653958,0,68014000,98210220,2327681,3512422,5641761,11481864,6268710,4592121,5618155,16478986,3656175,3656175,4232029,11544379,4633515,4633515,11969361,21236391,60741620,68012876,-7271256,-10.69,98210220
Loss on disposal of PPE,,324974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Total Expenditure,,166783556,0,185819400,230198651,11989665,480811,10041648,22512124,16636998,13039687,11402718,41079403,9156846,9156846,11148311,29462003,11163384,11163384,3355494,25682262,118735792,185818529,-67082737,-36.101209799158404,230198651
,,,,,,,,,,,,,,,,,,,,,,,,,,
Surplus/(Deficit),,19331281,0,19576000,-19798000,20423184,23538771,-8681338,35280617,-15127857,-12019567,-10175253,-37322677,-7236887,-7236887,-6404012,-20877786,-9487287,-9487287,27545951,8571377,-14348469,19576610,-33925079,-173.2939410858162,-19798000
Transfers recognised - capital,,60373000,0,43298000,78294000,53900000,0,0,53900000,0,45389000,0,45389000,435000,435000,36919368,37789368,0,0,-1016230,-1016230,136062138,43298000,92764138,214.25,78294000
Contributions recognised - capital,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
