Eastern Cape: Mbizana(EC443) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,9974852,0,15000000,15000000,2485238,766028,766028,4017294,690295,684249,1208320,2582864,1193900,1473208,1179500,3846608,3687812,544386,1453207,5685405,16132171,15000000,1132171,7.55,15000000
Property rates - penalties and collection charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - electricity revenue,,17575697,0,33327582,20711939,1936179,1072191,1475704,4484074,1188936,2479545,980700,4649181,1594195,1104874,953244,3652313,2180582,1419462,1388333,4988377,17773945,33327588,-15553643,-46.67,20711939
Service charges - water revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - sanitation revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - refuse revenue,,1035005,0,1200000,1200000,89727,85107,90199,265033,85910,85692,85910,257512,85037,84818,83696,253551,84278,84059,88423,256760,1032856,1200000,-167144,-13.93,1200000
Service charges - other,,76107,0,11194,11194,474,949,0,1423,474,1898,474,2846,0,712,1897,2609,2846,0,474,3320,10198,11196,-998,-8.91,11194
Rental of facilities and equipment,,809069,0,729107,779107,53951,25681,56945,136577,53559,108556,51960,214075,87348,12953,52106,152407,13962,57536,73856,145354,648413,729108,-80695,-11.07,779107
Interest earned - external investments,,5718084,0,5026268,7026268,481931,568306,611799,1662036,405113,329837,1184789,1919739,676673,530818,381809,1589300,511981,1337270,589004,2438255,7609330,5026272,2583058,51.39,7026268
Interest earned - outstanding debtors,,495264,0,97342,117342,85747,98546,0,184293,99543,102674,108189,310406,101130,0,0,101130,99370,142056,130958,372384,968213,97344,870869,894.63,117342
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,356259,0,527401,1327401,77828,104877,72783,255488,89061,59606,101018,249685,144452,46965,64751,256168,26526,44971,40421,111918,873259,527400,345859,65.58,1327401
Licences and permits,,1203029,0,2333303,2333303,123374,102324,97959,323657,110977,105903,71379,288259,101432,164830,96271,362533,116503,110355,96869,323727,1298176,2333304,-1035128,-44.36,2333303
Agency services,,618040,0,848631,878631,80739,33348,50878,164965,52458,49894,75228,177580,35571,33011,53562,122144,40587,69940,49624,160151,624840,848628,-223788,-26.37,878631
Transfers recognised - operational,,131849307,0,151396600,154686800,57768872,371963,470259,58611094,816713,48057877,320633,49195223,477925,1206831,39709095,41393851,258356,537707,1495943,2292006,151492174,151396600,95574,0.06,154686800
Other own revenue,,1914357,0,96999750,133643523,-894474,1614106,22618,742250,37729,138225,25422,201376,55804,75104,100770,231678,62410,61539,42890,166839,1342143,96999757,-95657614,-98.62,133643523
Gains on disposal of PPE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
