Eastern Cape: Ntabankulu(EC444) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,2891359,0,1000000,2688431,240947,240947,224035,705929,224035,224035,224035,672105,224035,224035,224035,672105,224035,224035,224035,672105,2722244,999996,1722248,172.23,2688431
Property rates - penalties and collection charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - electricity revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - water revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - sanitation revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - refuse revenue,,0,0,0,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50004,-50004,-100,100000
Service charges - other,,169893,0,50000,0,15180,15180,22050,52410,22050,22050,22050,66150,22050,22050,22050,66150,22050,22050,22050,66150,250860,,250860,0,0
Rental of facilities and equipment,,813025,0,1024139,1024139,78949,78949,71728,229626,71728,71728,71728,215184,71728,71728,71728,215184,71728,71728,71728,215184,875178,1024140,-148962,-14.55,1024139
Interest earned - external investments,,1754380,0,1300000,3165000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1299996,-1299996,-100,3165000
Interest earned - outstanding debtors,,0,0,10000,15000,34156,34156,34156,102468,34156,34156,34156,102468,34156,34156,34156,102468,34156,34156,34156,102468,409872,9996,399876,4000.36,15000
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,605789,0,1000000,1011632,111050,111050,0,222100,0,0,0,0,0,0,0,0,0,0,0,0,222100,999996,-777896,-77.79,1011632
Licences and permits,,172276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Agency services,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Transfers recognised - operational,,74367030,0,85992000,87531883,288960,1490800,0,1779760,0,26643000,390000,27033000,390000,389000,22250181,23029181,22250181,22250181,0,44500362,96342303,85992004,10350299,12.04,87531883
Other own revenue,,1822164,0,238000,9854677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218000,-218000,-100,9854677
Gains on disposal of PPE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Total Revenue (excl. capital transfers and contributions),,82595916,0,90614139,105390762,769242,1971082,351969,3092293,351969,26994969,741969,28088907,741969,740969,22602150,24085088,22602150,22602150,351969,45556269,100822557,90594132,10228425,11.290383575836898,105390762
,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure By Type,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee related costs,,33435607,0,47699126,39150729,3472645,3698979,3294392,10466016,3559100,3663385,4037511,11259996,3609196,3788088,3538937,10936221,3879264,3879264,4185667,11944195,44606428,34840251,9766177,28.03,39150729
Remuneration of councillors,,9026935,0,0,9747910,384909,400409,711991,1497309,426216,400153,400166,1226535,401749,393798,398569,1194116,701100,701100,423201,1825401,5743361,9303516,-3560155,-38.27,9747910
Debt impairment,,1906457,0,0,500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500004,-500004,-100,500000
Depreciation and asset impairment,,9127790,0,5450000,3567520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3500000,-3500000,-100,3567520
Finance charges,,11689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50004,-50004,-100,0
Bulk purchases,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Other Materials,,0,0,500000,2132283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3450000,-3450000,-100,2132283
Contracted services,,791503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Transfers and grants,,0,0,58287207,109642604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5200004,-5200004,-100,109642604
Other expenditure,,57754713,0,37149389,44658423,1643405,3019123,4683798,9346326,4433477,2895429,4920908,12249814,3195180,3030903,2480759,8706842,3692487,3692487,4229971,11614945,41917927,36562980,5354947,14.65,44658423
Loss on disposal of PPE,,412629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Total Expenditure,,112467323,0,149085722,209399469,5500959,7118511,8690181,21309651,8418793,6958967,9358585,24736345,7206125,7212789,6418265,20837179,8272851,8272851,8838839,25384541,92267716,93406759,-1139043,-1.2194438734353261,209399469
,,,,,,,,,,,,,,,,,,,,,,,,,,
Surplus/(Deficit),,-29871407,0,-58471583,-104008707,-4731717,-5147429,-8338212,-18217358,-8066824,20036002,-8616616,3352562,-6464156,-6471820,16183885,3247909,14329299,14329299,-8486870,20171728,8554841,-2812627,11367468,-404.158390003367,-104008707
Transfers recognised - capital,,44271000,0,55577000,100177000,1949876,0,0,1949876,10000000,20700000,10000000,40700000,10000000,4500000,36735999,51235999,36735999,36735999,0,73471998,167357873,55577002,111780871,201.13,100177000
Contributions recognised - capital,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-55659668,55659668,-100,0
Contributed assets,,0,0,0,2200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,2200000
Surplus/(Deficit) after capital transfers and contributions,,14399593,0,-2894583,-1631707,-2781841,-5147429,-8338212,-16267482,1933176,40736002,1383384,44052562,3535844,-1971820,52919884,54483908,51065298,51065298,-8486870,93643726,175912714,-2895293,178808007,-6175.817335240336,-1631707
Taxation,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) after taxation,,14399593,0,-2894583,-1631707,-2781841,-5147429,-8338212,-16267482,1933176,40736002,1383384,44052562,3535844,-1971820,52919884,54483908,51065298,51065298,-8486870,93643726,175912714,-2895293,178808007,-6175.817335240336,-1631707
