Kwazulu-Natal: eThekwini(ETH) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,5298905000,0,5352283252,5392883252,486163283,491709780,441453017,1419326080,486654020,505645958,520236734,1512536712,491535295,476079114,849194684,1816809093,491999028,425297971,485370079,1402667078,6151338963,5352283254,799055709,14.93,5392883252
Property rates - penalties and collection charges,,144179631,0,129085000,129085000,12701554,12750679,7870731,33322964,7596959,12522624,12723716,32843299,13101423,12803712,9668154,35573289,14042927,13424851,10142611,37610389,139349941,129084999,10264942,7.95,129085000
Service charges - electricity revenue,,9444492804,0,10477611860,10477611860,883230341,959808970,876219574,2719258885,879323784,803862463,850459858,2533646105,894600023,759034276,810284786,2463919085,958475073,931070250,734527138,2624072461,10340896536,10477611860,-136715324,-1.3,10477611860
Service charges - water revenue,,2295910760,0,2879423089,2879423089,225804736,250157538,258329816,734292090,257891512,258815537,219541317,736248366,242251675,260284578,231213018,733749271,243752375,241594975,259304918,744652268,2948941995,2879423089,69518906,2.41,2879423089
Service charges - sanitation revenue,,726860385,0,776192900,776192900,59839441,64860464,70652838,195352743,68192720,70954515,63241673,202388908,66245451,71988005,63617991,201851447,66019062,65214797,69012553,200246412,799839510,776192900,23646610,3.05,776192900
Service charges - refuse revenue,,472656125,0,513927385,513927385,42937099,41877117,43249395,128063611,42604959,44159065,43367565,130131589,42632353,41228401,45070592,128931346,44132319,47157372,43864182,135153873,522280419,513927385,8353034,1.63,513927385
Service charges - other,,136814499,0,143495120,143495120,5859803,13905227,28858965,48623995,10506975,12175890,23386390,46069255,8199467,15875156,21731278,45805901,12715326,14923447,12146701,39785474,180284625,143495121,36789504,25.64,143495120
Rental of facilities and equipment,,532027744,0,451237226,451237226,30347969,39371914,33701058,103420941,52032027,38092626,33305662,123430315,27188252,36010254,31063158,94261664,37176979,39263382,35594479,112034840,433147760,451237226,-18089466,-4.01,451237226
Interest earned - external investments,,334874540,0,491385020,497231563,34000734,31836723,38499072,104336529,27495783,23676979,36952902,88125664,24184175,21132852,39417619,84734646,31644110,31798840,40134630,103577580,380774419,491385021,-110610602,-22.51,497231563
Interest earned - outstanding debtors,,143037000,0,114629410,114629410,12323373,15692692,13076816,41092881,15083820,14738358,14232045,44054223,12813566,16564961,17377110,46755637,16079942,16848261,16200832,49129035,181031776,114629409,66402367,57.93,114629410
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,248510818,0,113756074,113756074,5106318,11530645,-182522,16454441,5300278,6864098,3819578,15983954,6042291,6816911,7566522,20425724,2583370,8249453,4433570,15266393,68130512,113756075,-45625563,-40.11,113756074
Licences and permits,,30541756,0,25093709,25093709,2653311,3300601,1377115,7331027,2397906,2080171,121433,4599510,2591122,2916406,5379141,10886669,216046,4776528,2481065,7473639,30290845,25093709,5197136,20.71,25093709
Agency services,,10794941,0,12744450,12744450,966961,0,1561905,2528866,777005,702716,0,1479721,1078611,985791,1786811,3851213,0,1553496,816189,2369685,10229485,12744450,-2514965,-19.73,12744450
Transfers recognised - operational,,2191385000,0,2584009904,2640963721,788977000,1512735,-25808744,764680991,38326259,318800231,365080201,722206691,-21055313,148151264,674293765,801389716,12078467,7715867,-16393027,3401307,2291678705,2584009904,-292331199,-11.31,2640963721
Other own revenue,,2394784177,0,2626212075,2592392875,62753382,702462835,52497219,817713436,52792462,51540991,700070816,804404269,34748316,55969026,709712712,800430054,35730445,40157945,56016484,131904874,2554452633,2626212075,-71759442,-2.73,2592392875
Gains on disposal of PPE,,17739000,0,34288745,34288745,0,993790,60871,1054661,1619796,1900296,1337379,4857471,0,27941,59526,87467,23743,0,212961,236704,6236303,34288744,-28052441,-81.81,34288745
Total Revenue (excl. capital transfers and contributions),,24423514180,0,26725375219,26794956379,2653665305,2641771710,1841417126,7136854141,1948596265,2166532518,2887877269,7003006052,1846156707,1925868648,3517436867,7289462222,1966669212,1889047435,1753865365,5609582012,27038904427,26725375221,313529206,1.1731517458869507,26794956379
,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure By Type,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee related costs,,6893729293,0,7353431371,7412240274,532724064,539981574,581239199,1653944837,559269330,880273698,639227142,2078770170,553619667,578441881,539002445,1671063993,534242107,556056195,561292504,1651590806,7055369806,7353431369,-298061563,-4.05,7412240274
