Free State: Letsemeng(FS161) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,9320648,0,7156818,7156818,1059088,1073246,1050337,3182671,1029512,1034649,1625178,3689339,1019703,1021942,1010120,3051765,1014994,1005976,993894,3014864,12938639,7156818,5781821,80.79,7156818
Property rates - penalties and collection charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - electricity revenue,,14670986,0,23503000,23501588,601479,551353,504918,1657750,465242,525691,454426,1445359,331730,562449,535593,1429772,551196,496282,648709,1696187,6229068,23502631,-17273563,-73.5,23501588
Service charges - water revenue,,7395630,0,8172621,8172621,640087,603085,707876,1951048,682945,534838,643446,1861229,560375,675276,346740,1582391,849909,497962,751198,2099069,7493737,8172621,-678884,-8.31,8172621
Service charges - sanitation revenue,,7722008,0,7369228,7369228,736687,738392,737241,2212320,738788,738402,738133,2215323,739367,738668,739501,2217536,739501,738829,738595,2216925,8862104,7369228,1492876,20.26,7369228
Service charges - refuse revenue,,7755852,0,7376451,7376451,690801,692057,691274,2074132,692617,692357,692066,2077040,692877,692689,693009,2078575,693009,692757,693043,2078809,8308556,7376451,932105,12.64,7376451
Service charges - other,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Rental of facilities and equipment,,268473,0,426500,432000,20675,20675,20675,62025,20228,20453,20453,61134,20453,20675,20453,61581,40905,8800,20453,70158,254898,426500,-171602,-40.23,432000
Interest earned - external investments,,3717802,0,3500000,3500000,290120,318609,330172,938901,0,363447,0,363447,398183,0,0,398183,0,0,503485,503485,2204016,3500000,-1295984,-37.03,3500000
Interest earned - outstanding debtors,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Dividends received,,3059,0,26550,26550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26550,-26550,-100,26550
Fines,,48520,0,95286,95286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95286,-95286,-100,95286
Licences and permits,,923,0,5897,5897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5897,-5897,-100,5897
Agency services,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Transfers recognised - operational,,55796381,0,53929000,53929000,0,0,0,0,0,0,15992000,15992000,0,0,0,0,0,0,0,0,15992000,53929000,-37937000,-70.35,53929000
Other own revenue,,726918,0,964000,959500,0,51860,0,51860,0,0,0,0,0,0,0,0,0,0,0,0,51860,964367,-912507,-94.62,959500
Gains on disposal of PPE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Total Revenue (excl. capital transfers and contributions),,107427200,0,112525351,112524939,4038937,4049277,4042493,12130707,3629332,3909837,20165702,27704871,3762688,3711699,3345416,10819803,3889514,3440606,4349377,11679497,62334878,112525349,-50190471,-44.60370169569525,112524939
,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure By Type,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee related costs,,26989224,0,37975000,36478000,2969227,2887522,3293625,9150374,2916976,2969181,2984936,8871093,3128048,3381585,3197112,9706745,3116785,3190600,3240219,9547604,37275816,37975440,-699624,-1.84,36478000
Remuneration of councillors,,3096157,0,3700000,3519402,258407,258407,258441,775255,258441,236118,256471,751030,234370,234370,234370,703110,384331,266235,270443,921009,3150404,3700161,-549757,-14.86,3519402
Debt impairment,,5433125,0,2915000,2469000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2915000,-2915000,-100,2469000
Depreciation and asset impairment,,19166678,0,11700000,19167000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11700293,-11700293,-100,19167000
Finance charges,,575250,0,125000,0,0,0,90,90,0,0,0,0,0,0,0,0,0,0,0,0,90,125474,-125384,-99.93,0
Bulk purchases,,22791967,0,24109000,24108929,112353,3923499,2576636,6612488,1662004,1228993,352267,3243264,2015767,1545894,1739153,5300814,1355033,314947,3917076,5587056,20743622,24108929,-3365307,-13.96,24108929
Other Materials,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1420261,0,1420261,1420261,,1420261,0,0
