Free State: Mohokare(FS163) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,6055112,0,13970531,13970531,740412,779517,906721,2426650,802989,554380,530046,1887415,34439,519184,517600,1071223,12657,0,0,12657,5397945,13970531,-8572586,-61.36,13970531
Property rates - penalties and collection charges,,0,0,615771,615777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,615771,-615771,-100,615777
Service charges - electricity revenue,,20039105,0,23500000,28378938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23500000,-23500000,-100,28378938
Service charges - water revenue,,9877811,0,9899703,9899703,596626,577452,428722,1602800,130380,36009,394260,560649,446853,341260,521956,1310069,406711,255859,290772,953342,4426860,9899703,-5472843,-55.28,9899703
Service charges - sanitation revenue,,6719499,0,8701274,8701274,722977,723025,723417,2169419,724477,725064,725080,2174621,725466,730971,731075,2187512,733283,732319,734180,2199782,8731334,8701274,30060,0.35,8701274
Service charges - refuse revenue,,4329181,0,5839350,5839350,466983,467059,467338,1401380,467912,468326,468359,1404597,468546,469493,469488,1407527,470319,470507,470859,1411685,5625189,5839350,-214161,-3.67,5839350
Service charges - other,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Rental of facilities and equipment,,574999,0,602314,603998,32602,34243,35614,102459,55976,37714,34556,128246,172138,367547,64476,604161,69726,155876,69161,294763,1129629,602314,527315,87.55,603998
Interest earned - external investments,,175822,0,6631,6631,2734,26358,18202,47294,9121,271,205,9597,12434,4241,333,17008,1684,3789,1384,6857,80756,6631,74125,1117.86,6631
Interest earned - outstanding debtors,,8084890,0,0,0,12901,50949,53860,117710,53264,61410,58852,173526,66921,68123,70115,205159,71001,70071,68479,209551,705946,,705946,0,0
Dividends received,,8925,0,9947,19378,0,7067,0,7067,2364,0,0,2364,0,0,0,0,0,0,0,0,9431,9947,-516,-5.19,19378
Fines,,874540,0,3000000,3000000,1400,49650,31350,82400,55900,2500,1100,59500,40150,28550,51500,120200,2350,4300,-3550,3100,265200,3000000,-2734800,-91.16,3000000
Licences and permits,,132,0,100,2759,0,599,439,1038,537,614,0,1151,570,757,0,1327,0,29,0,29,3545,100,3445,3445,2759
Agency services,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Transfers recognised - operational,,76395381,0,59507999,54508002,17420000,1347000,0,18767000,0,0,16966000,16966000,0,0,14064000,14064000,0,0,0,0,49797000,59508000,-9711000,-16.32,54508002
Other own revenue,,2191172,0,6678367,7181284,10945,25510,51584,88039,124651,63676,16448,204775,26794,10145,7692,44631,58207,56387,82084,196678,534123,6678367,-6144244,-92,7181284
Gains on disposal of PPE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Total Revenue (excl. capital transfers and contributions),,135326569,0,132331987,132727625,20007580,4088429,2717247,26813256,2427571,1949964,19194906,23572441,1994311,2540271,16498235,21032817,1825938,1749137,1713369,5288444,76706958,132331988,-55625030,-42.03445504045477,132727625
,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure By Type,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee related costs,,52766459,0,52490957,54676047,4922469,4543696,4696035,14162200,4594079,4373933,4449582,13417594,4613069,4495585,4452977,13561631,4519903,4415355,4337206,13272464,54413889,52490956,1922933,3.66,54676047
Remuneration of councillors,,3065339,0,3183481,3066736,255639,255576,255584,766799,255512,255700,255357,766569,255357,255612,255474,766443,397161,269600,269742,936503,3236314,3183481,52833,1.66,3066736
Debt impairment,,22554982,0,9563266,13952549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9563266,-9563266,-100,13952549
Depreciation and asset impairment,,25782147,0,28427184,28607969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28427184,-28427184,-100,28607969
Finance charges,,2191427,0,2504000,2728708,92014,23176,23251,138441,23251,23251,23251,69753,23251,162272,23251,208774,23251,23251,23251,69753,486721,2504000,-2017279,-80.56,2728708
Bulk purchases,,19755688,0,18000000,19569918,314450,136475,48560,499485,73596,77209,206394,357199,263,209867,81688,291818,87760,877,778853,867490,2015992,18000000,-15984008,-88.8,19569918
Other Materials,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Contracted services,,5393622,0,89000,583604,14115,151327,2428,167870,2068,2312,2068,6448,0,2556,2068,4624,0,3717,40541,44258,223200,89000,134200,150.79,583604
Transfers and grants,,3014720,0,5763131,4963462,313209,399913,399344,1112466,414840,383899,0,798739,373774,322059,386200,1082033,440417,350494,777823,1568734,4561972,5763131,-1201159,-20.84,4963462
Other expenditure,,31565341,0,38376133,32724217,4285537,2126841,1693298,8105676,2007432,1988714,3111134,7107280,1188893,1364214,1017647,3570754,2398583,1321581,2322272,6042436,24826146,38376132,-13549986,-35.31,32724217
Loss on disposal of PPE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Total Expenditure,,166089725,0,158397152,160873210,10197433,7637004,7118500,24952937,7370778,7105018,8047786,22523582,6454607,6812165,6219305,19486077,7867075,6384875,8549688,22801638,89764234,158397150,-68632916,-43.32964071638915,160873210
,,,,,,,,,,,,,,,,,,,,,,,,,,
Surplus/(Deficit),,-30763156,0,-26065165,-28145585,9810147,-3548575,-4401253,1860319,-4943207,-5155054,11147120,1048859,-4460296,-4271894,10278930,1546740,-6041137,-4635738,-6836319,-17513194,-13057276,-26065162,13007886,-49.90525667939451,-28145585
Transfers recognised - capital,,18211061,0,65192000,60192000,0,1367649,3216412,4584061,1618330,11838799,5235265,18692394,491461,310000,21835030,22636491,0,0,488080,488080,46401026,65192000,-18790974,-28.82,60192000
