Free State: Naledi (Fs)(FS164) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,3495164,0,4537361,3495164,4111799,258406,263487,4633692,272300,205086,216822,694208,222474,222474,186323,631271,183645,180476,181462,545583,6504754,4537357,1967397,43.36,3495164
Property rates - penalties and collection charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,6200,2000,8450,8450,,8450,0,0
Service charges - electricity revenue,,15458225,0,24569739,15458225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24256827,-24256827,-100,15458225
Service charges - water revenue,,5098200,0,4337431,5098200,363536,447030,431076,1241642,410207,409878,288262,1108347,419833,329134,307976,1056943,320141,304120,517110,1141371,4548303,4337435,210868,4.86,5098200
Service charges - sanitation revenue,,3454459,0,4025105,5726875,306325,293230,294516,894071,294556,295137,294921,884614,294711,294812,294139,883662,293929,288777,294341,877047,3539394,4025109,-485715,-12.07,5726875
Service charges - refuse revenue,,2272416,0,2748854,0,204456,194436,195771,594663,195810,196053,196302,588165,196193,196150,195848,588191,196178,187221,196619,580018,2351037,2748850,-397813,-14.47,0
Service charges - other,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Rental of facilities and equipment,,361655,0,356344,361655,17808,18245,18377,54430,17412,18445,18070,53927,17675,17324,18814,53813,19047,19003,19792,57842,220012,356348,-136336,-38.26,361655
Interest earned - external investments,,121612,0,73254,121612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,121612
Interest earned - outstanding debtors,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73254,-73254,-100,0
Dividends received,,3263,0,5000,3263,0,0,594,594,0,0,600,600,0,0,0,0,0,0,0,0,1194,5000,-3806,-76.12,3263
Fines,,921,0,1956,921,5000,0,4600,9600,1800,0,1800,3600,3700,28036,1000,32736,0,0,0,0,45936,1960,43976,2243.67,921
Licences and permits,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Agency services,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Transfers recognised - operational,,41459523,0,43045001,41459523,3590470,3595878,3659360,10845708,3617700,2966137,2953948,9537785,2933815,2930303,2467958,8332076,2460397,2456796,2456795,7373988,36089557,43045001,-6955444,-16.16,41459523
Other own revenue,,9639621,0,5847853,9639621,55208,68309,41427,164944,42598,111107,31327,185032,46148,57723,887444,991315,44363,46695,43402,134460,1475751,5793000,-4317249,-74.53,9639621
Gains on disposal of PPE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Total Revenue (excl. capital transfers and contributions),,81365059,0,89547898,81365059,8654602,4875534,4909208,18439344,4852383,4201843,4002052,13056278,4134549,4075956,4359502,12570007,3517950,3489288,3711521,10718759,54784388,89180141,-34395753,-38.568847968069484,81365059
,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure By Type,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee related costs,,26775316,0,31544000,26775316,2197833,2291553,2219858,6709244,2322554,2329162,2388481,7040197,2341223,2358481,2460414,7160118,2729009,2329468,2302419,7360896,28270455,37301964,-9031509,-24.21,26775316
Remuneration of councillors,,1965546,0,2396489,1965546,168369,170403,168362,507134,168417,168360,168341,505118,168357,126839,124863,420059,142639,130345,130279,403263,1835574,1983276,-147702,-7.45,1965546
Debt impairment,,23905816,0,2000000,23905816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000000,-5000000,-100,23905816
Depreciation and asset impairment,,16960904,0,1500000,16960904,724699,559092,-482268,801523,268528,289770,198144,756442,342539,297357,276649,916545,191787,193799,277045,662631,3137141,1500000,1637141,109.14,16960904
Finance charges,,1550605,0,0,1550605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51807,-51807,-100,1550605
Bulk purchases,,20881290,0,30396693,20881290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31381406,-31381406,-100,20881290
Other Materials,,0,0,0,0,0,0,0,0,0,0,16816,16816,731766,0,0,731766,0,0,0,0,748582,,748582,0,0
Contracted services,,0,0,1942053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1957049,-1957049,-100,0
Transfers and grants,,3347993,0,5557922,3347993,21684,22478,45047,89209,30938,37636,25001,93575,19136,22697,19735,61568,44452,20535,78721,143708,388060,,388060,0,3347993
Other expenditure,,20091973,0,13992221,20091973,3892906,1504303,1915417,7312626,2331353,1498957,3973335,7803645,2498471,952611,1774231,5225313,2319787,1677129,1666236,5663152,26004736,9385217,16619519,177.08,20091973
Loss on disposal of PPE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Total Expenditure,,115479443,0,89329378,115479443,7005491,4547829,3866416,15419736,5121790,4323885,6770118,16215793,6101492,3757985,4655892,14515369,5427674,4351276,4454700,14233650,60384548,88560719,-28176171,-31.815652942022748,115479443
,,,,,,,,,,,,,,,,,,,,,,,,,,
Surplus/(Deficit),,-34114384,0,218520,-34114384,1649111,327705,1042792,3019608,-269407,-122042,-2768066,-3159515,-1966943,317971,-296390,-1945362,-1909724,-861988,-743179,-3514891,-5600160,619422,-6219582,-1004.094462256749,-34114384
Transfers recognised - capital,,24282159,0,21316700,24282159,0,0,0,0,0,0,1780,1780,0,0,0,0,0,0,0,0,1780,21266700,-21264920,-99.99,24282159
Contributions recognised - capital,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-21266698,21266698,-100,0
Contributed assets,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) after capital transfers and contributions,,-9832225,0,21535220,-9832225,1649111,327705,1042792,3019608,-269407,-122042,-2766286,-3157735,-1966943,317971,-296390,-1945362,-1909724,-861988,-743179,-3514891,-5598380,619424,-6217804,-1003.8041793666373,-9832225
Taxation,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) after taxation,,-9832225,0,21535220,-9832225,1649111,327705,1042792,3019608,-269407,-122042,-2766286,-3157735,-1966943,317971,-296390,-1945362,-1909724,-861988,-743179,-3514891,-5598380,619424,-6217804,-1003.8041793666373,-9832225
Attributable to minorities,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) attributable to municipality,,-9832225,0,21535220,-9832225,1649111,327705,1042792,3019608,-269407,-122042,-2766286,-3157735,-1966943,317971,-296390,-1945362,-1909724,-861988,-743179,-3514891,-5598380,619424,-6217804,-1003.8041793666373,-9832225
Share of surplus/ (deficit) of associate,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) for the year,,-9832225,0,21535220,-9832225,1649111,327705,1042792,3019608,-269407,-122042,-2766286,-3157735,-1966943,317971,-296390,-1945362,-1909724,-861988,-743179,-3514891,-5598380,619424,-6217804,-1003.8041793666373,-9832225
