Free State: Masilonyana(FS181) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,7741113,0,17908495,17908000,634404,1423179,1423483,3481066,1608655,2015871,1328223,4952749,1327501,1327537,1326031,3981069,1046889,1045946,1613692,3706527,16121411,17908495,-1787084,-9.98,17908000
Property rates - penalties and collection charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1371,1371,1371,,1371,0,0
Service charges - electricity revenue,,20416065,0,24414858,24459000,2296996,2740566,2159963,7197525,175,2030779,1834116,3865070,2213978,1913540,1932173,6059691,1875725,1872163,1356902,5104790,22227076,24459493,-2232417,-9.13,24459000
Service charges - water revenue,,22430759,0,22518648,22164000,2144873,2092093,2027435,6264401,2268402,2222386,2053176,6543964,1956049,1929515,1901259,5786823,1650694,1481584,2008530,5140808,23735996,15989092,7746904,48.45,22164000
Service charges - sanitation revenue,,20041906,0,18412899,18413000,1698437,1697774,1697829,5094040,1767584,1692374,1692264,5152222,1687057,1687719,1686341,5061117,1406116,1407385,1689731,4503232,19810611,18412899,1397712,7.59,18413000
Service charges - refuse revenue,,9803998,0,8836486,11337000,988221,801239,801124,2590584,0,798124,798124,1596248,796147,797055,796861,2390063,631784,632031,697793,1961608,8538503,8836486,-297983,-3.37,11337000
Service charges - other,,3247,0,129000,211000,32052,40566,34789,107407,20440,19488,24182,64110,24503,23851,45213,93567,51332,3550,13734,68616,333700,129000,204700,158.68,211000
Rental of facilities and equipment,,244250,0,48723,100000,1156,1144,4985,7285,4351,3139,4389,11879,3976,3445,2392,9813,1650,531,12487,14668,43645,48723,-5078,-10.42,100000
Interest earned - external investments,,314702,0,1317,98000,50,0,0,50,0,0,0,0,0,0,0,0,0,0,4114,4114,4164,22232,-18068,-81.27,98000
Interest earned - outstanding debtors,,7187180,0,6510000,8511000,-45,0,-58440,-58485,-7,3973298,426064,4399355,2350140,505609,532199,3387948,551117,663780,-2712071,-1497174,6231644,6510000,-278356,-4.28,8511000
Dividends received,,5026,0,0,10000,0,0,2335,2335,0,0,2357,2357,0,0,0,0,0,0,0,0,4692,11884,-7192,-60.52,10000
Fines,,16005,0,247500,27000,1491,3289,2105,6885,3860,439,0,4299,13640,2719,7105,23464,2851,877,1491,5219,39867,247500,-207633,-83.89,27000
Licences and permits,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Agency services,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Transfers recognised - operational,,84321233,0,93392000,85160000,46279522,0,1836675,48116197,2513783,8767730,0,11281513,0,0,0,0,0,0,22980000,22980000,82377710,88607000,-6229290,-7.03,85160000
Other own revenue,,438619,0,263000,3710000,2222404,2571175,1121211,5914790,1563150,-242532,-268930,1051688,85,1415630,1474624,2890339,-941499,28473,-956749,-1869775,7987042,263405,7723637,2932.23,3710000
Gains on disposal of PPE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
