Free State: Tokologo(FS182) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,3217869,0,3624028,3624028,41,56597,9704197,9760835,1000,-15628,0,-14628,14554,-5646585,0,-5632031,0,21831,48418,70249,4184425,3624028,560397,15.46,3624028
Property rates - penalties and collection charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - electricity revenue,,11760212,0,10480260,10480260,1178050,1190515,1102892,3471457,1022349,988369,947545,2958263,997509,1104634,808562,2910705,998084,859103,898162,2755349,12095774,10480260,1615514,15.41,10480260
Service charges - water revenue,,1209407,0,3476070,3476070,103562,126216,127700,357478,131079,158107,84362,373548,132116,136248,443030,711394,-200210,104955,114743,19488,1461908,3476070,-2014162,-57.94,3476070
Service charges - sanitation revenue,,3599202,0,3178317,3178317,320671,320044,317277,957992,318570,319759,315513,953842,319307,320003,314835,954145,321531,321465,322953,965949,3831928,3178317,653611,20.56,3178317
Service charges - refuse revenue,,2313046,0,2037861,2037861,209121,209219,208266,626606,208583,209369,206858,624810,211284,210154,207556,628994,210869,211372,211849,634090,2514500,2037861,476639,23.39,2037861
Service charges - other,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Rental of facilities and equipment,,792324,0,377803,377803,58584,25155,30381,114120,24388,25421,26230,76039,25142,26508,25254,76904,25965,24056,58398,108419,375482,377803,-2321,-0.61,377803
Interest earned - external investments,,501984,0,448592,448592,47374,10801,72552,130727,44159,22414,35743,102316,0,12026,3278,15304,154790,10795,65277,230862,479209,448592,30617,6.83,448592
Interest earned - outstanding debtors,,1140844,0,1007408,1007408,419658,424692,415083,1259433,492402,495605,496797,1484804,504341,505394,140771,1150506,473745,473529,471369,1418643,5313386,1007408,4305978,427.43,1007408
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,54600,0,93298,93298,3000,6250,450,9700,4650,6820,2750,14220,8200,8750,4550,21500,2550,5550,0,8100,53520,93298,-39778,-42.64,93298
Licences and permits,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Agency services,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Transfers recognised - operational,,43554396,0,47470899,47470899,17374000,1363000,0,18737000,0,9773,14632000,14641773,0,0,12139929,12139929,418,8731,0,9149,45527851,47470899,-1943048,-4.09,47470899
Other own revenue,,109741,0,388505,388504,10360,13505,33190,57055,9119,13632,11314,34065,22242,11760,15349,49351,10067,10813,51221,72101,212572,388505,-175933,-45.28,388504
Gains on disposal of PPE,,698179,0,0,0,1053,1140,7018,9211,789,0,0,789,33794,0,132,33926,0,0,34979,34979,78905,,78905,0,0
Total Revenue (excl. capital transfers and contributions),,68951804,0,72583041,72583040,19725474,3747134,12019006,35491614,2257088,2233641,16759112,21249841,2268489,-3311108,14103246,13060627,1997809,2052200,2277369,6327378,76129460,72583041,3546419,4.8860160047579155,72583040
,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure By Type,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee related costs,,22713620,0,28705772,29329073,2017926,1998829,2202121,6218876,2188735,2367865,3208183,7764783,2404036,2489759,2378441,7272236,2525353,2571072,2643119,7739544,28995439,28705772,289667,1.01,29329073
Remuneration of councillors,,2179765,0,2081853,2081853,138389,138389,131982,408760,124982,124982,124982,374946,124982,124982,124982,374946,124982,131646,133346,389974,1548626,2081853,-533227,-25.61,2081853
Debt impairment,,1769080,0,505528,505529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,505528,-505528,-100,505529
Depreciation and asset impairment,,29841572,0,2609797,3109798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2609797,-2609797,-100,3109798
Finance charges,,0,0,260542,260542,0,43864,43633,87497,903,54223,0,55126,3377,172199,60337,235913,209350,100041,-23957,285434,663970,260542,403428,154.84,260542
Bulk purchases,,20153684,0,17242449,16319220,0,2265034,1746790,4011824,16103,1323023,0,1339126,162561,0,1117082,1279643,3477106,1771631,345963,5594700,12225293,17242449,-5017156,-29.1,16319220
Other Materials,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Contracted services,,7734618,0,6101061,4193635,215000,1012456,1448219,2675675,313988,340192,4194666,4848846,307149,455922,56000,819071,791009,136105,503177,1430291,9773883,6101061,3672822,60.2,4193635
Transfers and grants,,1597456,0,1337232,1420076,129575,133933,162756,426264,161195,163406,169034,493635,172286,178700,169841,520827,180644,177271,174458,532373,1973099,1337232,635867,47.55,1420076
Other expenditure,,17017480,0,13737353,15361648,992842,846680,812829,2652351,1202875,949029,825250,2977154,1596279,597845,630831,2824955,625208,971034,692389,2288631,10743091,13737353,-2994262,-21.8,15361648
Loss on disposal of PPE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Total Expenditure,,103007275,0,72581587,72581374,3493732,6439185,6548330,16481247,4008781,5322720,8522115,17853616,4770670,4019407,4537514,13327591,7933652,5858800,4468495,18260947,65923401,72581587,-6658186,-9.173381673233461,72581374
,,,,,,,,,,,,,,,,,,,,,,,,,,
Surplus/(Deficit),,-34055471,0,1454,1666,16231742,-2692051,5470676,19010367,-1751693,-3089079,8236997,3396225,-2502181,-7330515,9565732,-266964,-5935843,-3806600,-2191126,-11933569,10206059,1454,10204605,701829.779917469,1666
Transfers recognised - capital,,33693200,0,29155100,29155100,0,0,0,0,0,0,4898000,4898000,0,0,0,0,42,0,0,42,4898042,29155100,-24257058,-83.2,29155100
Contributions recognised - capital,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
