Free State: Tswelopele(FS183) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,11260117,0,4357752,10035252,89276,23260067,383470,23732813,411356,407590,431269,1250215,607259,188785,388430,1184474,392060,396765,417605,1206430,27373932,4357753,23016179,528.17,10035252
Property rates - penalties and collection charges,,0,0,600000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600000,-600000,-100,0
Service charges - electricity revenue,,20148203,0,23977000,26477000,2389836,2684768,2178965,7253569,1787907,2087250,1971844,5847001,1929798,1741015,1236889,4907702,1776207,1611101,1735529,5122837,23131109,23977000,-845891,-3.53,26477000
Service charges - water revenue,,4538711,0,5619142,6619142,-12644920,169556,442523,-12032841,948496,229983,424803,1603282,-138901,-38179,588092,411012,359596,400615,337716,1097927,-8920620,5619142,-14539762,-258.75,6619142
Service charges - sanitation revenue,,5231017,0,5480272,5480272,480059,480230,480333,1440622,480387,481601,484176,1446164,482080,481978,482452,1446510,486140,485110,485123,1456373,5789669,5480272,309397,5.65,5480272
Service charges - refuse revenue,,3506081,0,3095008,3095008,321732,322021,322118,965871,322118,322375,322375,966868,322697,322857,323018,968572,324562,323588,321041,969191,3870502,3095008,775494,25.06,3095008
Service charges - other,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Rental of facilities and equipment,,290488,0,687720,327370,15454,16187,14926,46567,86034,31996,25027,143057,16842,15991,29521,62354,96091,24721,16934,137746,389724,687720,-297996,-43.33,327370
Interest earned - external investments,,1465076,0,760000,750000,11717,40064,13697,65478,5912,5577,12761,24250,23668,18507,7460,49635,26858,247182,188848,462888,602251,760000,-157749,-20.76,750000
Interest earned - outstanding debtors,,690834,0,0,750000,-38202,0,133334,95132,127869,122607,115942,366418,124381,92710,106661,323752,107326,108204,101457,316987,1102289,,1102289,0,750000
Dividends received,,51104,0,100000,70000,0,0,20178,20178,0,0,20374,20374,0,0,0,0,0,0,0,0,40552,100000,-59448,-59.45,70000
Fines,,299000,0,375000,410000,11800,8650,20550,41000,8700,6700,2100,17500,19700,18610,19250,57560,10260,12200,27750,50210,166270,375000,-208730,-55.66,410000
Licences and permits,,5505,0,0,5850,200,600,1000,1800,300,700,100,1100,900,400,100,1400,400,4100,1400,5900,10200,1,10199,1019900,5850
Agency services,,91442,0,0,120000,8212,8181,7890,24283,7766,7893,8164,23823,8052,7971,7636,23659,7597,7354,14725,29676,101441,,101441,0,120000
Transfers recognised - operational,,61802255,0,66028000,66178001,24266727,-302959,-303846,23659922,-303241,-304469,0,-607710,0,23183872,16812000,39995872,0,0,50000,50000,63098084,66027999,-2929915,-4.44,66178001
Other own revenue,,36544317,0,1062525,806800,103339,40504,90846,234689,67007,79341,43349,189697,75435,43519,201448,320402,69712,65193,80962,215867,960655,1063000,-102345,-9.63,806800
Gains on disposal of PPE,,0,0,0,1250000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1250000
Total Revenue (excl. capital transfers and contributions),,145924150,0,112142419,122374695,15015230,26727869,3805984,45549083,3950611,3479144,3862284,11292039,3471911,26078036,20202957,49752904,3656809,3686133,3779090,11122032,117716058,112142895,5573163,4.969697812777171,122374695
,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure By Type,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee related costs,,43372389,0,45880892,50727120,3869512,3971204,3999468,11840184,4000924,4029337,4461490,12491751,4799468,4240794,4603500,13643762,4199574,4157710,4132340,12489624,50465321,45880893,4584428,9.99,50727120
Remuneration of councillors,,4466762,0,4793736,3863143,414508,408831,430775,1254114,430204,438384,433390,1301978,306711,280731,0,587442,625029,378240,420154,1423423,4566957,4793736,-226779,-4.73,3863143
Debt impairment,,16532694,0,2500500,2500500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6671024,6671024,6671024,2500500,4170524,166.79,2500500
Depreciation and asset impairment,,20156927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Finance charges,,55386,0,2081688,2000000,34,0,0,34,436,0,713504,713940,1608,72537,15668,89813,138,0,0,138,803925,2081688,-1277763,-61.38,2000000
Bulk purchases,,25919147,0,22100000,26031888,3190642,3778881,3277380,10246903,1915397,2121488,-966054,3070831,1949686,1763298,2187646,5900630,1962002,2260806,4345090,8567898,27786262,22100000,5686262,25.73,26031888
Other Materials,,0,0,5870000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5869900,-5869900,-100,0
Contracted services,,727331,0,0,1101733,5500,0,17710,23210,0,568413,66316,634729,40709,31315,71288,143312,0,6498,17362,23860,825111,,825111,0,1101733
Transfers and grants,,5262279,0,0,5390000,181825,405788,425265,1012878,522863,77108,156336,756307,686035,300833,71574,1058442,230310,42390,44842,317542,3145169,,3145169,0,5390000
Other expenditure,,28096585,0,30294856,33017616,2861476,1809909,3750797,8422182,3275959,2382332,4830120,10488411,3150645,5084755,2008096,10243496,2531988,1712377,2773782,7018147,36172236,30294955,5877281,19.4,33017616
Loss on disposal of PPE,,11878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Total Expenditure,,144601378,0,113521672,124632000,10523497,10374613,11901395,32799505,10145783,9617062,9695102,29457947,10934862,11774263,8957772,31666897,9549041,8558021,18404594,36511656,130436005,113521672,16914333,14.899651055174735,124632000
,,,,,,,,,,,,,,,,,,,,,,,,,,
Surplus/(Deficit),,1322772,0,-1379253,-2257305,4491733,16353256,-8095411,12749578,-6195172,-6137918,-5832818,-18165908,-7462951,14303773,11245185,18086007,-5892232,-4871888,-14625504,-25389624,-12719947,-1378777,-11341170,822.5528856370538,-2257305
Transfers recognised - capital,,72867,0,23703000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23702999,-23702999,-100,0
Contributions recognised - capital,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Contributed assets,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) after capital transfers and contributions,,1395639,0,22323747,-2257305,4491733,16353256,-8095411,12749578,-6195172,-6137918,-5832818,-18165908,-7462951,14303773,11245185,18086007,-5892232,-4871888,-14625504,-25389624,-12719947,22324222,-35044169,-156.9782319849713,-2257305
Taxation,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) after taxation,,1395639,0,22323747,-2257305,4491733,16353256,-8095411,12749578,-6195172,-6137918,-5832818,-18165908,-7462951,14303773,11245185,18086007,-5892232,-4871888,-14625504,-25389624,-12719947,22324222,-35044169,-156.9782319849713,-2257305
Attributable to minorities,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) attributable to municipality,,1395639,0,22323747,-2257305,4491733,16353256,-8095411,12749578,-6195172,-6137918,-5832818,-18165908,-7462951,14303773,11245185,18086007,-5892232,-4871888,-14625504,-25389624,-12719947,22324222,-35044169,-156.9782319849713,-2257305
Share of surplus/ (deficit) of associate,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) for the year,,1395639,0,22323747,-2257305,4491733,16353256,-8095411,12749578,-6195172,-6137918,-5832818,-18165908,-7462951,14303773,11245185,18086007,-5892232,-4871888,-14625504,-25389624,-12719947,22324222,-35044169,-156.9782319849713,-2257305
