Free State: Matjhabeng(FS184) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,192976982,0,180514208,180514208,25183506,1181997,17883500,44249003,17923227,17958706,17775414,53657347,17811994,17816550,17821980,53450524,17840862,17862188,17890436,53593486,204950360,180514209,24436151,13.54,180514208
Property rates - penalties and collection charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - electricity revenue,,436447921,0,664906014,664906014,29779269,40610732,44988748,115378749,38594874,37269908,32415821,108280603,33886177,35741303,34230124,103857604,37294891,38601317,30936802,106833010,434349966,664906014,-230556048,-34.67,664906014
Service charges - water revenue,,232102505,0,196047370,196047370,26699793,22277744,29435483,78413020,37829055,29274920,31958310,99062285,31342364,20308446,29105467,80756277,27784136,32008358,28141064,87933558,346165140,196047370,150117770,76.57,196047370
Service charges - sanitation revenue,,115035234,0,115345783,115345783,12122206,12280209,11416202,35818617,11451328,11487083,11526491,34464902,11552832,11578893,11607778,34739503,11637346,11667730,11678908,34983984,140007006,115345783,24661223,21.38,115345783
Service charges - refuse revenue,,71103711,0,64911556,64911556,7599141,7676139,7041962,22317242,7065686,7088803,7115391,21269880,7138084,7160386,7180677,21479147,7202014,7223020,7246109,21671143,86737412,64911556,21825856,33.62,64911556
Service charges - other,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Rental of facilities and equipment,,10303659,0,8068000,8068249,941758,932122,976842,2850722,1016683,980996,982579,2980258,1017588,10174001,1008337,12199926,962130,953583,956733,2872446,20903352,8068249,12835103,159.08,8068249
Interest earned - external investments,,6302888,0,22000000,0,0,12485,11440181,11452666,112143,37138,40281,189562,93061,0,133938,226999,51861,93152,98889,243902,12113129,,12113129,0,0
Interest earned - outstanding debtors,,122738450,0,86118515,86118515,11730381,12197251,7273350,31200982,7480549,7772818,7840923,23094290,8248544,5634936,8349080,22232560,8640503,8728522,8877023,26246048,102773880,86118515,16655365,19.34,86118515
Dividends received,,15648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,3915269,0,6892000,6891925,502226,401947,394789,1298962,168599,135146,217759,521504,105743,267817,887719,1261279,136080,158925,206807,501812,3583557,6891925,-3308368,-48,6891925
Licences and permits,,37730,0,0,0,4518,4474,1623,10615,6536,5790,132,12458,2807,7456,5526,15789,3202,2193,4649,10044,48906,,48906,0,0
Agency services,,0,0,0,0,0,0,0,0,0,0,0,0,2474664,6887,0,2481551,0,0,0,0,2481551,,2481551,0,0
Transfers recognised - operational,,428512177,0,417931000,417931000,166273000,1389000,0,167662000,0,98173000,342000,98515000,0,0,342000,342000,0,40500000,112672000,153172000,419691000,417931000,1760000,0.42,417931000
Other own revenue,,25532083,0,35091191,47091329,10295194,5873283,16254210,32422687,13562757,16244181,14237322,44044260,14755251,15240617,21986582,51982450,15398145,18528413,17028457,50955015,179404412,57090737,122313675,214.24,47091329
Gains on disposal of PPE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
