Free State: Nala(FS185) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,12061322,0,17500000,17311000,1315152,1317065,1571984,4204201,-6870,1517078,1472432,2982640,1707588,1534430,304474,3546492,2231682,1229498,1319885,4781065,15514398,17499996,-1985598,-11.35,17311000
Property rates - penalties and collection charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - electricity revenue,,67535872,0,74418303,73754000,6201136,6829075,6152042,19182253,789499,4919979,5529096,11238574,5603440,5322209,7929251,18854900,7010162,7270176,7699648,21979986,71255713,74418305,-3162592,-4.25,73754000
Service charges - water revenue,,57938975,0,70346000,48013000,4804531,5181231,4848161,14833923,20,4572647,4026440,8599107,4497187,3666479,3599484,11763150,4536835,3388925,1478878,9404638,44600818,70346000,-25745182,-36.6,48013000
Service charges - sanitation revenue,,18003098,0,32529000,24697000,2602070,2596947,2583381,7782398,1635,2058273,2051506,4111414,2055040,2061245,2050825,6167110,2050001,2051279,2105860,6207140,24268062,32529000,-8260938,-25.4,24697000
Service charges - refuse revenue,,25512665,0,27820000,26922000,2257529,2247501,2236385,6741415,1447,2240347,2240637,4482431,2238747,2242417,2212341,6693505,2233139,2236130,2229916,6699185,24616536,27819997,-3203461,-11.51,26922000
Service charges - other,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Rental of facilities and equipment,,51056,0,50000,39000,4312,1950,4271,10533,2135,2179,2831,7145,1600,732,25849,28181,1937,61449,194347,257733,303592,50000,253592,507.18,39000
Interest earned - external investments,,6460,0,0,2082000,87970,227243,2081,317294,0,165083,156147,321230,7363,3065,314613,325041,123431,101270,57588,282289,1245854,,1245854,0,2082000
Interest earned - outstanding debtors,,1312120,0,4500000,10000000,0,0,0,0,0,1517120,2940,1520060,-495,-1481,1193592,1191616,1174469,1243693,1224087,3642249,6353925,4500000,1853925,41.2,10000000
Dividends received,,6460,0,0,12000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,12000
Fines,,70130,0,0,71000,13500,2600,6900,23000,1450,3400,6300,11150,10430,6950,24520,41900,16500,0,37120,53620,129670,,129670,0,71000
Licences and permits,,0,0,0,1000,0,0,50,50,100,0,100,200,100,150,0,250,0,0,0,0,500,,500,0,1000
Agency services,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Transfers recognised - operational,,133210000,0,132329400,133629000,51558263,1348000,0,52906263,0,306000,37896000,38202000,2166400,0,310000,2476400,0,12690000,21490000,34180000,127764663,132329400,-4564737,-3.45,133629000
Other own revenue,,11996539,0,1267172,1610000,133420,191212,124772,449404,60993,95801,84327,241121,102267,83410,219640,405317,160135,267610,371948,799693,1895535,1267176,628359,49.59,1610000
Gains on disposal of PPE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Total Revenue (excl. capital transfers and contributions),,327704697,0,360759875,338141000,68977883,19942824,17530027,106450734,850409,17397907,53468756,71717072,18389667,14919606,18184589,51493862,19538291,30540030,38209277,88287598,317949266,360759874,-42810608,-11.86678760177192,338141000
,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure By Type,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee related costs,,111951678,0,112082000,119213000,9742808,9189919,9261469,28194196,-294174,9374358,10500577,19580761,9511398,9733773,9206255,28451426,9505658,9543171,9777754,28826583,105052966,112081812,-7028846,-6.27,119213000
Remuneration of councillors,,6976999,0,7698964,7027000,565232,567366,551362,1683960,0,576487,534680,1111167,534913,541489,571678,1648080,855864,616333,606574,2078771,6521978,7698960,-1176982,-15.29,7027000
Debt impairment,,32216556,0,66644000,50609000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66644004,-66644004,-100,50609000
Depreciation and asset impairment,,82248410,0,90000000,80000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89999997,-89999997,-100,80000000
Finance charges,,20616501,0,8000000,15776000,881609,1061607,2407705,4350921,125,298144,2672300,2970569,1434809,3187,4468337,5906333,2149718,1700277,2030931,5880926,19108749,8000004,11108745,138.86,15776000
Bulk purchases,,92628321,0,98755056,95496000,6731208,10747053,13105112,30583373,26005,-2500176,11608421,9134250,5753358,0,18104015,23857373,7264722,7308595,15618039,30191356,93766352,98755056,-4988704,-5.05,95496000
Other Materials,,4198714,0,7338420,2000,50533,170213,150376,371122,416173,464128,382906,1263207,551393,222217,1642042,2415652,0,272836,1692015,1964851,6014832,7338420,-1323588,-18.04,2000
Contracted services,,18930864,0,15938494,12557000,541895,914125,1046347,2502367,271561,1371112,920670,2563343,609336,1204362,1964387,3778085,1480725,1268891,2943038,5692654,14536449,15938496,-1402047,-8.8,12557000
Transfers and grants,,0,0,22590000,25615800,523227,539796,524905,1587928,264,577782,550892,1128938,594395,560752,14104023,15259170,565752,3869015,2204197,6638964,24615000,22590000,2025000,8.96,25615800
Other expenditure,,66845726,0,27668000,41536000,2062180,1428191,1713377,5203748,454949,2108977,3620896,6184822,4486212,748901,4129643,9364756,4033004,1319647,6761149,12113800,32867126,27667776,5199350,18.79,41536000
Loss on disposal of PPE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Total Expenditure,,436613769,0,456714934,447831800,21098692,24618270,28760653,74477615,874903,12270812,30791342,43937057,23475814,13014681,54190380,90680875,25855443,25898765,41633697,93387905,302483452,456714525,-154231073,-33.76968862551503,447831800
,,,,,,,,,,,,,,,,,,,,,,,,,,
Surplus/(Deficit),,-108909072,0,-95955059,-109690800,47879191,-4675446,-11230626,31973119,-24494,5127095,22677414,27780015,-5086147,1904925,-36005791,-39187013,-6317152,4641265,-3424420,-5100307,15465814,-95954651,111420465,-116.1178367476945,-109690800
Transfers recognised - capital,,61895780,0,43086000,53224000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43086000,-43086000,-100,53224000
Contributions recognised - capital,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Contributed assets,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) after capital transfers and contributions,,-47013292,0,-52869059,-56466800,47879191,-4675446,-11230626,31973119,-24494,5127095,22677414,27780015,-5086147,1904925,-36005791,-39187013,-6317152,4641265,-3424420,-5100307,15465814,-52868651,68334465,-129.25327903675847,-56466800
Taxation,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) after taxation,,-47013292,0,-52869059,-56466800,47879191,-4675446,-11230626,31973119,-24494,5127095,22677414,27780015,-5086147,1904925,-36005791,-39187013,-6317152,4641265,-3424420,-5100307,15465814,-52868651,68334465,-129.25327903675847,-56466800
Attributable to minorities,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) attributable to municipality,,-47013292,0,-52869059,-56466800,47879191,-4675446,-11230626,31973119,-24494,5127095,22677414,27780015,-5086147,1904925,-36005791,-39187013,-6317152,4641265,-3424420,-5100307,15465814,-52868651,68334465,-129.25327903675847,-56466800
Share of surplus/ (deficit) of associate,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) for the year,,-47013292,0,-52869059,-56466800,47879191,-4675446,-11230626,31973119,-24494,5127095,22677414,27780015,-5086147,1904925,-36005791,-39187013,-6317152,4641265,-3424420,-5100307,15465814,-52868651,68334465,-129.25327903675847,-56466800
