Free State: Setsoto(FS191) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,33441460,0,39956768,35000000,0,3369355,3484351,6853706,3612756,3612756,3676672,10902184,3684618,3678890,3125095,10488603,3771206,3769299,3169286,10709791,38954284,39956768,-1002484,-2.51,35000000
Property rates - penalties and collection charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - electricity revenue,,53965354,0,64045840,74972992,6393846,7398606,6340150,20132602,5194153,5194153,5016748,15405054,5184918,3469989,4595130,13250037,5331327,5441539,5132226,15905092,64692785,64045840,646945,1.01,74972992
Service charges - water revenue,,24678522,0,30171900,37520435,2341206,2383290,5136574,9861070,2701229,2701229,2930901,8333359,2466987,1677607,2211326,6355920,2635943,2895385,2354360,7885688,32436037,30171900,2264137,7.5,37520435
Service charges - sanitation revenue,,14496880,0,16769500,18600096,1544794,1477220,1483951,4505965,1468546,1468546,1508014,4445106,1493465,1480662,1255677,4229804,1509201,1495120,1653144,4657465,17838340,16769496,1068844,6.37,18600096
Service charges - refuse revenue,,17050976,0,19750500,21896515,1810943,1818814,1811558,5441315,1812971,1812971,1815096,5441038,1813710,1817303,1480179,5111192,1820035,1816774,1849564,5486373,21479918,19750500,1729418,8.76,21896515
Service charges - other,,154102,0,0,0,0,-35417,-36328,-71745,-41990,-42949,-11523,-96462,5404,-8181,3356,579,1711,0,0,1711,-165917,,-165917,0,0
Rental of facilities and equipment,,701364,0,822312,1421046,108618,50987,150323,309928,130917,130917,173519,435353,134777,109831,101756,346364,11600,130668,78529,220797,1312442,822312,490130,59.6,1421046
Interest earned - external investments,,2902981,0,1951200,1182000,30175,0,470287,500462,115321,115321,178364,409006,175531,150136,106900,432567,187814,207191,214067,609072,1951107,1951200,-93,0,1182000
Interest earned - outstanding debtors,,19388904,0,32440000,22000000,1906184,929449,1731803,4567436,1752330,1752330,1851226,5355886,1895120,1897906,1898092,5691118,1972893,1978577,2030295,5981765,21596205,32439996,-10843791,-33.43,22000000
Dividends received,,29974,0,35000,35000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32189,32189,32189,35000,-2811,-8.03,35000
Fines,,2165550,0,291600,155086,19050,10909,17880,47839,6240,6240,4300,16780,19900,12900,15300,48100,16300,0,14550,30850,143569,291600,-148031,-50.77,155086
Licences and permits,,21064,0,40000,22232,0,175,0,175,0,0,307,307,0,0,175,175,0,482,0,482,1139,40000,-38861,-97.15,22232
Agency services,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Transfers recognised - operational,,168448192,0,180030000,176542001,67063000,2014047,1619742,70696789,710773,710773,55237000,56658546,0,790000,44681000,45471000,45678863,0,180226,45859089,218685424,180030000,38655424,21.47,176542001
Other own revenue,,17425135,0,6414160,1654694,74249,141282,74974,290505,907942,907942,34121,1850005,212583,126338,146918,485839,521053,782894,645290,1949237,4575586,6414155,-1838569,-28.66,1654694
Gains on disposal of PPE,,281573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Total Revenue (excl. capital transfers and contributions),,355152031,0,392718780,391002097,81292065,19558717,22285265,123136047,18371188,18370229,72414745,109156162,17087013,15203381,59620904,91911298,63457946,18517929,17353726,99329601,423533108,392718767,30814341,7.8464141745484755,391002097
,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure By Type,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee related costs,,133615112,0,146795816,148137200,11443916,12740536,11984843,36169295,12375781,12438193,13622634,38436608,12526572,12402852,12148692,37078116,12196762,12345288,12671832,37213882,148897901,146795812,2102089,1.43,148137200
Remuneration of councillors,,9405022,0,9535948,9523330,785558,15082,774945,1575585,809424,809424,799576,2418424,776115,780338,785228,2341681,1218924,818016,2043403,4080343,10416033,9535946,880087,9.23,9523330
Debt impairment,,58220523,0,69000000,44000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69000000,-69000000,-100,44000000
Depreciation and asset impairment,,202689495,0,34782014,24782471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34782014,-34782014,-100,24782471
Finance charges,,1041054,0,997000,892000,729,2863,62403,65995,-56155,-56155,462589,350279,2068,773,496,3337,58,662,440061,440781,860392,996996,-136604,-13.7,892000
Bulk purchases,,52561888,0,58242000,58242000,0,15533413,6207379,21740792,3603205,3603205,3518325,10724735,3330859,3406312,3123277,9860448,3419430,3784939,4811064,12015433,54341408,58242000,-3900592,-6.7,58242000
Other Materials,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Contracted services,,28829407,0,17161525,30534881,1971608,332244,1176102,3479954,648756,648756,1565754,2863266,124481,922560,833640,1880681,410864,599626,622349,1632839,9856740,17161525,-7304785,-42.56,30534881
Transfers and grants,,3876829,0,8728000,11480000,95043,1528182,1502406,3125631,1743890,1743890,1944201,5431981,1845591,1928465,1675799,5449855,2153868,1770840,2114012,6038720,20046187,8728000,11318187,129.68,11480000
Other expenditure,,59056142,0,42356339,54681169,1108720,3340676,5400737,9850133,3933537,4076053,8578487,16588077,4890766,5552894,8592292,19035952,4884803,4258714,10601583,19745100,65219262,42356335,22862927,53.98,54681169
Loss on disposal of PPE,,5670141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Total Expenditure,,554965613,0,387598642,382273051,15405574,33492996,27108815,76007385,23058438,23263366,30491566,76813370,23496452,24994194,27159424,75650070,24284709,23578085,33304304,81167098,309637923,387598628,-77960705,-20.113772177748782,382273051
,,,,,,,,,,,,,,,,,,,,,,,,,,
Surplus/(Deficit),,-199813582,0,5120138,8729046,65886491,-13934279,-4823550,47128662,-4687250,-4893137,41923179,32342792,-6409439,-9790813,32461480,16261228,39173237,-5060156,-15950578,18162503,113895185,5120139,108775046,2124.454941555298,8729046
Transfers recognised - capital,,102500235,0,56677000,56677000,0,0,0,0,0,0,0,0,0,0,22051000,22051000,0,0,0,0,22051000,56677000,-34626000,-61.09,56677000
Contributions recognised - capital,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Contributed assets,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) after capital transfers and contributions,,-97313347,0,61797138,65406046,65886491,-13934279,-4823550,47128662,-4687250,-4893137,41923179,32342792,-6409439,-9790813,54512480,38312228,39173237,-5060156,-15950578,18162503,135946185,61797139,74149046,119.98782985730132,65406046
Taxation,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) after taxation,,-97313347,0,61797138,65406046,65886491,-13934279,-4823550,47128662,-4687250,-4893137,41923179,32342792,-6409439,-9790813,54512480,38312228,39173237,-5060156,-15950578,18162503,135946185,61797139,74149046,119.98782985730132,65406046
Attributable to minorities,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) attributable to municipality,,-97313347,0,61797138,65406046,65886491,-13934279,-4823550,47128662,-4687250,-4893137,41923179,32342792,-6409439,-9790813,54512480,38312228,39173237,-5060156,-15950578,18162503,135946185,61797139,74149046,119.98782985730132,65406046
Share of surplus/ (deficit) of associate,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) for the year,,-97313347,0,61797138,65406046,65886491,-13934279,-4823550,47128662,-4687250,-4893137,41923179,32342792,-6409439,-9790813,54512480,38312228,39173237,-5060156,-15950578,18162503,135946185,61797139,74149046,119.98782985730132,65406046
