Free State: Dihlabeng(FS192) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,76950000,0,83150545,83150545,13643500,6237716,6185336,26066552,5728568,6237094,5811569,17777231,6172865,6247908,6325315,18746088,6186083,6242837,4921754,17350674,79940545,83150545,-3210000,-3.86,83150545
Property rates - penalties and collection charges,,0,0,0,0,0,0,0,0,0,0,500,500,0,0,0,0,0,0,0,0,500,,500,0,0
Service charges - electricity revenue,,165400000,0,164982952,164982952,17500144,17564446,13932633,48997223,25987198,11418430,13342050,50747678,15015733,12198828,11982760,39197321,13796737,11097840,13508913,38403490,177345712,164982952,12362760,7.49,164982952
Service charges - water revenue,,60652000,0,64291418,64291418,5376241,6075015,5971014,17422270,11826949,6628154,5477041,23932144,5788221,6467681,5703478,17959380,5546814,5413676,4805118,15765608,75079402,64291418,10787984,16.78,64291418
Service charges - sanitation revenue,,41895000,0,44904541,44904541,3740088,3747273,3752145,11239506,7508807,3665847,3720477,14895131,3681970,3715592,3732133,11129695,3724986,3730566,3717689,11173241,48437573,44904541,3533032,7.87,44904541
Service charges - refuse revenue,,39757000,0,42141966,42141966,3524301,3300044,3480175,10304520,7016418,3608885,3545771,14171074,3571433,3530084,3528106,10629623,3526201,3596853,3555145,10678199,45783416,42141966,3641450,8.64,42141966
Service charges - other,,0,0,0,0,110362,84126,97934,292422,94255,93883,102567,290705,72930,113283,116954,303167,87114,105398,102099,294611,1180905,,1180905,0,0
Rental of facilities and equipment,,4055233,0,5355473,5355473,397863,219337,37361,654561,772905,285268,330101,1388274,247934,267045,291719,806698,304936,605269,325819,1236024,4085557,5355473,-1269916,-23.71,5355473
Interest earned - external investments,,10706,0,9850,9850,1204,493,29,1726,10035,4432,6721,21188,4022,4660,1239,9921,41532,1250,0,42782,75617,9850,65767,667.69,9850
Interest earned - outstanding debtors,,27014225,0,26660693,26660693,2367389,2290675,0,4658064,5285753,2764014,5429719,13479486,3143459,3066455,4007604,10217518,3074073,3163325,2999635,9237033,37592101,26660693,10931408,41,26660693
Dividends received,,5860,0,0,0,0,427000,0,427000,0,320000,0,320000,0,326311,0,326311,0,0,0,0,1073311,,1073311,0,0
Fines,,5059929,0,11890398,11890398,1955555,158927,1417205,3531687,316843,360205,494027,1171075,560930,468414,874262,1903606,493748,597547,11537,1102832,7709200,11890398,-4181198,-35.16,11890398
Licences and permits,,200544,0,289133,289133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289133,-289133,-100,289133
Agency services,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Transfers recognised - operational,,133995714,0,134970000,134970000,53600000,934576,833500,55368076,0,0,37874000,37874000,416750,416750,0,833500,0,0,35579000,35579000,129654576,134970000,-5315424,-3.94,134970000
Other own revenue,,11447546,0,21169394,21169394,1478124,-753882,363303,1087545,1390332,396574,302354,2089260,324225,320231,462142,1106598,407659,161241,441112,1010012,5293415,21169394,-15875979,-74.99,21169394
