Free State: Nketoana(FS193) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,16766245,0,23320000,36557000,2029897,1300871,1296331,4627099,1293187,1297083,1297173,3887443,1353224,1290994,1291839,3936057,1332214,1292986,949374,3574574,16025173,23320000,-7294827,-31.28,36557000
Property rates - penalties and collection charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - electricity revenue,,35997676,0,40500000,40500000,1764031,4044000,3738240,9546271,3596676,1995272,200949,5792897,1780943,1153299,1910221,4844463,1346499,2125948,3122109,6594556,26778187,40500000,-13721813,-33.88,40500000
Service charges - water revenue,,36192132,0,39220000,46588000,3751438,3828055,3909557,11489050,4200819,4384078,3652880,12237777,4186691,4172507,3750747,12109945,3504117,3758974,3609491,10872582,46709354,39220000,7489354,19.1,46588000
Service charges - sanitation revenue,,12364199,0,18020000,22020000,1652070,1806958,1915707,5374735,1694150,1916993,2006371,5617514,2052736,1957067,1841185,5850988,1792585,1861591,1558563,5212739,22055976,18020000,4035976,22.4,22020000
Service charges - refuse revenue,,13247892,0,18958000,22958000,1699708,1697404,1884681,5281793,1891097,1891585,1898518,5681200,1896958,1897806,1899020,5693784,1895642,1896898,1600592,5393132,22049909,18958000,3091909,16.31,22958000
Service charges - other,,0,0,0,0,0,0,761,761,0,0,0,0,0,0,0,0,0,0,0,0,761,,761,0,0
Rental of facilities and equipment,,433839,0,403000,0,34138,33645,9984,77767,40505,63004,29612,133121,29730,26048,30883,86661,41113,30115,380220,451448,748997,403000,345997,85.86,0
Interest earned - external investments,,411307,0,425000,500000,0,33908,130325,164233,0,304596,0,304596,82070,97295,23240,202605,38147,23470,54158,115775,787209,425000,362209,85.23,500000
Interest earned - outstanding debtors,,19071015,0,18762000,20600000,1637738,1663711,1702595,5004044,1730222,1774294,1815730,5320246,1592167,1612221,1588685,4793073,1656329,1655778,1425315,4737422,19854785,18762000,1092785,5.82,20600000
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,94074,0,180000,0,14350,20850,10450,45650,7850,24650,9700,42200,0,0,14250,14250,8400,11250,0,19650,121750,180000,-58250,-32.36,0
Licences and permits,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Agency services,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Transfers recognised - operational,,80423038,0,82649000,82649000,31274000,2976000,0,34250000,0,331000,0,331000,1020147,331000,61772,1412919,9553000,11847000,5346266,26746266,62740185,82649000,-19908815,-24.09,82649000
Other own revenue,,1405572,0,904218,13211000,1847533,276599,162576,2286708,80372,1319888,2433371,3833631,1729335,1829664,1476162,5035161,2154567,1296321,37452038,40902926,52058426,904363,51154063,5656.36,13211000
Gains on disposal of PPE,,0,0,0,0,13158,5724,0,18882,0,0,0,0,91609,0,0,91609,0,0,0,0,110491,,110491,0,0
Total Revenue (excl. capital transfers and contributions),,216406989,0,243341218,285583000,45718061,17687725,14761207,78166993,14534878,15302443,13344304,43181625,15815610,14367901,13888004,44071515,23322613,25800331,55498126,104621070,270041203,243341363,26699840,10.9721749195594,285583000
,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure By Type,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee related costs,,0,0,60352003,59099120,5602328,5518799,5706747,16827874,5995690,5900342,6082489,17978521,5935190,5913373,5973084,17821647,5855875,5805496,7222912,18884283,71512325,60352003,11160322,18.49,59099120
Remuneration of councillors,,5379214,0,6243389,6161000,623535,618171,604472,1846178,400672,825720,603765,1830157,596195,603128,605392,1804715,794518,633422,560365,1988305,7469355,6243389,1225966,19.64,6161000
Debt impairment,,95804024,0,33020000,43234190,8828706,93287,94296,9016289,4030,125131,14436,143597,40822757,24832,-55831,40791758,-5870,3357603,-13628212,-10276479,39675165,33020000,6655165,20.15,43234190
Depreciation and asset impairment,,64210794,0,70995364,70995000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63821031,63821031,63821031,70995364,-7174333,-10.11,70995000
Finance charges,,2917794,0,2800000,2800000,0,209389,0,209389,0,0,0,0,0,70192,0,70192,280344,0,219469,499813,779394,2800000,-2020606,-72.16,2800000
Bulk purchases,,34430699,0,36723647,39723000,1199988,11879814,28475,13108277,2958977,3085664,3064662,9109303,1874384,6342030,12140967,20357381,4469158,3323111,2184051,9976320,52551281,36722647,15828634,43.1,39723000
Other Materials,,10510488,0,10831700,11327000,1085008,1002753,360738,2448499,936485,1328725,1461200,3726410,728182,890694,660329,2279205,3188015,244161,2816735,6248911,14703025,10831700,3871325,35.74,11327000
Contracted services,,12770134,0,10090823,10091000,277484,224430,39855,541769,447374,0,61054,508428,165513,447700,279811,893024,302430,157584,159789,619803,2563024,10090823,-7527799,-74.6,10091000
Transfers and grants,,0,0,17902544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,941345,941345,941345,,941345,0,0
Other expenditure,,113939684,0,31876000,79621000,8338551,10629886,6498010,25466447,5948453,7490035,10714133,24152621,6297395,5688628,13677004,25663027,7076229,11754302,71132410,89962941,165245036,49778504,115466532,231.96,79621000
Loss on disposal of PPE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Total Expenditure,,339962831,0,280835470,323051310,25955600,30176529,13332593,69464722,16691681,18755617,22001739,57449037,56419616,19980577,33280756,109680949,21960699,25275679,135429895,182666273,419260981,280834430,138426551,49.291160987632466,323051310
,,,,,,,,,,,,,,,,,,,,,,,,,,
Surplus/(Deficit),,-123555842,0,-37494252,-37468310,19762461,-12488804,1428614,8702271,-2156803,-3453174,-8657435,-14267412,-40604006,-5612676,-19392752,-65609434,1361914,524652,-79931769,-78045203,-149219778,-37493067,-111726711,297.9929889437959,-37468310
Transfers recognised - capital,,48354627,0,61022000,56022000,6161000,0,0,6161000,1300000,2000000,0,3300000,0,0,7165000,7165000,0,0,14227628,14227628,30853628,61022000,-30168372,-49.44,56022000
Contributions recognised - capital,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Contributed assets,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) after capital transfers and contributions,,-75201215,0,23527748,18553690,25923461,-12488804,1428614,14863271,-856803,-1453174,-8657435,-10967412,-40604006,-5612676,-12227752,-58444434,1361914,524652,-65704141,-63817575,-118366150,23528933,-141895083,-603.0663736430377,18553690
Taxation,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) after taxation,,-75201215,0,23527748,18553690,25923461,-12488804,1428614,14863271,-856803,-1453174,-8657435,-10967412,-40604006,-5612676,-12227752,-58444434,1361914,524652,-65704141,-63817575,-118366150,23528933,-141895083,-603.0663736430377,18553690
Attributable to minorities,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) attributable to municipality,,-75201215,0,23527748,18553690,25923461,-12488804,1428614,14863271,-856803,-1453174,-8657435,-10967412,-40604006,-5612676,-12227752,-58444434,1361914,524652,-65704141,-63817575,-118366150,23528933,-141895083,-603.0663736430377,18553690
Share of surplus/ (deficit) of associate,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) for the year,,-75201215,0,23527748,18553690,25923461,-12488804,1428614,14863271,-856803,-1453174,-8657435,-10967412,-40604006,-5612676,-12227752,-58444434,1361914,524652,-65704141,-63817575,-118366150,23528933,-141895083,-603.0663736430377,18553690
