Free State: Maluti-a-Phofung(FS194) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,160019099,0,204500000,141689751,13964861,-115476236,9750326,-91761049,10038384,10085051,9941159,30064594,9939811,7298808,8789583,26028202,10819881,10881456,9840293,31541630,-4126623,204500000,-208626623,-102.02,141689751
Property rates - penalties and collection charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - electricity revenue,,253150169,0,400000000,450000000,31331686,129014711,27524374,187870771,7234289,43931241,20901795,72067325,14182171,11923648,15692548,41798367,18083270,24719265,23298062,66100597,367837060,400000000,-32162940,-8.04,450000000
Service charges - water revenue,,51774829,0,70500000,86600000,5635973,-11937871,6168105,-133793,6941899,5979848,5749761,18671508,4336814,6974024,6374513,17685351,6064958,8372053,7898734,22335745,58558811,70500000,-11941189,-16.94,86600000
Service charges - sanitation revenue,,41540447,0,33000000,38000000,2736832,-3822307,2897274,1811799,3119003,2844893,2987711,8951607,2945310,2858687,3060222,8864219,2923137,2817172,2856509,8596818,28224443,33000000,-4775557,-14.47,38000000
Service charges - refuse revenue,,21687521,0,25000000,29000000,2035494,-2353283,2045911,1728122,2062717,2060078,2066601,6189396,2333756,2343980,2484911,7162647,2362426,2358659,2358284,7079369,22159534,25000000,-2840466,-11.36,29000000
Service charges - other,,0,0,56621250,56621250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,56621250
Rental of facilities and equipment,,967908,0,1621000,942000,37589,-41089,46181,42681,45453,80218,319666,445337,78696,37892,51490,168078,39630,38318,36307,114255,770351,1621000,-850649,-52.48,942000
Interest earned - external investments,,2805297,0,2000000,2500000,168127,-152537,102430,118020,44886,53615,160218,258719,47740,105844,76547,230131,70010,18327,116316,204653,811523,2000000,-1188477,-59.42,2500000
