Free State: Phumelela(FS195) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,7799030,0,7885564,7801733,4062,4531155,3774578,8309795,369375,676725,424317,1470417,2033283,5822998,354947,8211228,441651,435440,0,877091,18868531,7885560,10982971,139.28,7801733
Property rates - penalties and collection charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - electricity revenue,,7062392,0,13785040,7724037,711823,642629,-714847,639605,618251,567576,594012,1779839,630210,521461,588795,1740466,661038,638655,0,1299693,5459603,13785036,-8325433,-60.39,7724037
Service charges - water revenue,,5692286,0,6532894,8790175,1012002,381661,-688989,704674,639869,1106466,566813,2313148,647114,209078,622612,1478804,596888,571022,0,1167910,5664536,6532896,-868360,-13.29,8790175
Service charges - sanitation revenue,,7032048,0,7145361,7145361,648175,635625,-635230,648570,636519,1025232,631223,2292974,635846,205139,641173,1482158,635825,639748,0,1275573,5699275,7145364,-1446089,-20.24,7145361
Service charges - refuse revenue,,6869139,0,5814069,5818954,629022,640121,-626424,642719,626910,974230,618433,2219573,629546,263395,632034,1524975,631679,633090,0,1264769,5652036,5814072,-162036,-2.79,5818954
Service charges - other,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Rental of facilities and equipment,,989631,0,1393000,1307574,26863,27710,-249559,-194986,341203,62163,33529,436895,26912,33016,31294,91222,342450,31634,0,374084,707215,1392996,-685781,-49.23,1307574
Interest earned - external investments,,545846,0,543000,231651,11089,2351,-25839,-12399,3714,25649,11531,40894,3973,18649,96320,118942,153822,54570,0,208392,355829,543000,-187171,-34.47,231651
Interest earned - outstanding debtors,,6506525,0,574000,9855735,686395,863625,-705007,845013,724881,1207510,740449,2672840,777748,362357,778801,1918906,795484,820409,0,1615893,7052652,573996,6478656,1128.69,9855735
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,64404,0,67000,66064,10352,1060,-6400,5012,7033,3500,500,11033,9900,4250,7943,22093,4836,3580,0,8416,46554,66996,-20442,-30.51,66064
Licences and permits,,16995,0,23000,23000,1321,1913,-1435,1799,0,903,1275,2178,1936,1586,1055,4577,903,1434,0,2337,10891,23004,-12113,-52.66,23000
Agency services,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Transfers recognised - operational,,59289984,0,63098800,62265800,24892700,1334000,13122,26239822,0,0,18909000,18909000,0,1058132,15797000,16855132,0,0,0,0,62003954,63098800,-1094846,-1.74,62265800
Other own revenue,,721311,0,3024000,649294,382240,211700,-69830,524110,38897,80759,46981,166637,524882,62708,197605,785195,159002,46320,0,205322,1681264,3023996,-1342732,-44.4,649294
Gains on disposal of PPE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Total Revenue (excl. capital transfers and contributions),,102589591,0,109885728,111679378,29016044,9273550,64140,38353734,4006652,5730713,22578063,32315428,5921350,8562769,19749579,34233698,4423578,3875902,0,8299480,113202340,109885716,3316624,3.0182485228562372,111679378
,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure By Type,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee related costs,,47036796,0,51529115,48813653,4173532,3967780,3399635,11540947,3690052,4071045,4172436,11933533,3899124,3890560,3917138,11706822,3910117,3922948,0,7833065,43014367,51529121,-8514754,-16.52,48813653
Remuneration of councillors,,4548686,0,5189878,5111338,377141,377213,377074,1131428,377093,377130,377144,1131367,377068,377077,377121,1131266,359755,359738,0,719493,4113554,5189880,-1076326,-20.74,5111338
Debt impairment,,21783711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Depreciation and asset impairment,,20396203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Finance charges,,2861584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207996,-207996,-100,0
Bulk purchases,,18164469,0,15619162,17706478,3129727,-762799,153996,2520924,2522039,1227665,2640023,6389727,433984,2729040,772770,3935794,1048472,2396323,0,3444795,16291240,15619164,672076,4.3,17706478
Other Materials,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Contracted services,,9148108,0,4200000,1771725,2560,442032,675428,1120020,258720,221745,205851,686316,665617,0,539393,1205010,764336,22232,0,786568,3797914,4200000,-402086,-9.57,1771725
Transfers and grants,,0,0,0,0,242800,750252,398178,1391230,3434202,152013,210309,3796524,0,0,0,0,0,0,0,0,5187754,,5187754,0,0
Other expenditure,,25633402,0,30375000,38267314,1631012,1554833,1329927,4515772,2208842,6608274,2096383,10913499,1732433,2891893,6592503,11216829,6432489,3187114,0,9619603,36265703,30375000,5890703,19.39,38267314
Loss on disposal of PPE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
