Free State: Mantsopa(FS196) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,12668157,0,16086267,16086267,13164208,-50950,-46207,13067051,6510,0,-10129,-3619,-646896,-6847,-1616,-655359,-5290,0,0,-5290,12402783,16086267,-3683484,-22.9,16086267
Property rates - penalties and collection charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - electricity revenue,,38956413,0,34977326,34977326,2428014,3098311,2778230,8304555,-2615930,2428070,1602839,1414979,2583285,2570290,1722850,6876425,2142180,588591,5701160,8431931,25027890,34977326,-9949436,-28.45,34977326
Service charges - water revenue,,22755250,0,36319964,36319964,2500109,2783854,19183166,24467129,10456351,2204198,4857535,17518084,2275746,3149581,4722568,10147895,3536918,2029818,-1719870,3846866,55979974,34924888,21055086,60.29,36319964
Service charges - sanitation revenue,,17848969,0,22689004,22689004,1637481,1639305,1636933,4913719,-1636067,1635259,1476819,1476011,1476311,1474215,1477770,4428296,1476059,1357453,1248836,4082348,14900374,22689004,-7788630,-34.33,22689004
Service charges - refuse revenue,,10153027,0,12703748,12703748,927489,927552,927488,2782529,-926276,939307,842616,855647,841956,839735,837863,2519554,841486,776916,723051,2341453,8499183,12703748,-4204565,-33.1,12703748
Service charges - other,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6232,-102989,-109221,-109221,,-109221,0,0
Rental of facilities and equipment,,1028035,0,1112500,1112500,164136,85961,84570,334667,-73327,2397,159993,89063,82512,85984,81165,249661,118534,79228,105115,302877,976268,1112500,-136232,-12.25,1112500
Interest earned - external investments,,531083,0,200000,200000,953,4386,108834,114173,-2668,115531,24090,136953,891,59130,2711,62732,88256,65048,50297,203601,517459,200000,317459,158.73,200000
Interest earned - outstanding debtors,,18869495,0,20000000,20000000,1653861,1689652,1735199,5078712,-1984505,1886854,1763640,1665989,1848344,1880144,1940237,5668725,1974847,2002537,1864768,5842152,18255578,20000000,-1744422,-8.72,20000000
Dividends received,,25031,0,20000,20000,0,0,0,0,0,0,811,811,0,0,0,0,0,0,26236,26236,27047,20000,7047,35.24,20000
Fines,,491350,0,150000,150000,16400,0,0,16400,0,0,0,0,2310,250,0,2560,0,0,0,0,18960,150000,-131040,-87.36,150000
Licences and permits,,690,0,0,0,0,0,0,0,0,0,0,0,80,592,0,672,0,0,0,0,672,,672,0,0
Agency services,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Transfers recognised - operational,,70722349,0,73420353,73420353,0,0,0,0,0,0,29288662,29288662,0,0,0,0,366967,9654502,4542637,14564106,43852768,71600900,-27748132,-38.75,73420353
Other own revenue,,1354566,0,429098,429098,30687,42270,63598,136555,-47060,147410,25989,126339,97753,150600,29624,277977,52864,113140,144588,310592,851463,487098,364365,74.8,429098
Gains on disposal of PPE,,759223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Total Revenue (excl. capital transfers and contributions),,196163638,0,218108260,218108260,22523338,10220341,26471811,59215490,3177028,9359026,40032865,52568919,8562292,10203674,10813172,29579138,10592821,16661001,12583829,39837651,181201198,214951731,-33750533,-15.701447410069939,218108260
,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure By Type,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee related costs,,60994457,0,71968275,71968275,5628765,5436335,5465380,16530480,5130052,5691514,5358733,16180299,5746390,5058182,5739073,16543645,4821148,5562236,5374295,15757679,65012103,71968275,-6956172,-9.67,71968275
Remuneration of councillors,,4909057,0,5714645,5714645,349955,387441,341291,1078687,341291,341291,341291,1023873,337327,381923,400537,1119787,1075372,634560,508191,2218123,5440470,5714645,-274175,-4.8,5714645
Debt impairment,,48773392,0,20090000,20090000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18690000,-18690000,-100,20090000
Depreciation and asset impairment,,23794813,0,11991000,11991000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11991000,-11991000,-100,11991000
Finance charges,,888298,0,512000,512000,0,0,0,0,57014,0,0,57014,0,0,0,0,0,539619,-277516,262103,319117,512000,-192883,-37.67,512000
Bulk purchases,,30795916,0,33646500,33646500,4823662,57932,6669698,11551292,116614,73467,4377744,4567825,2125712,79943,6511818,8717473,80677,2315054,6991137,9386868,34223458,33646500,576958,1.71,33646500
Other Materials,,11096054,0,8400458,8400458,156684,430933,794904,1382521,244202,188658,246110,678970,142217,103626,147578,393421,124228,716355,455010,1295593,3750505,8400458,-4649953,-55.35,8400458
Contracted services,,8332095,0,0,0,104060,307310,1374361,1785731,1004704,1733993,1993149,4731846,238139,681410,293831,1213380,160956,2260898,1803351,4225205,11956162,,11956162,0,0
Transfers and grants,,23447771,0,0,0,112721,170427,184654,467802,0,33575,10063991,10097566,309978,138181,311774,759933,137320,402276,299672,839268,12164569,,12164569,0,0
Other expenditure,,-4164357,0,60513464,60513464,701816,2427515,2860404,5989735,1192809,1211392,2371809,4776010,2136587,611076,3047258,5794921,1205447,3965750,7374034,12545231,29105897,60513464,-31407567,-51.9,60513464
Loss on disposal of PPE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Total Expenditure,,208867496,0,212836342,212836342,11877663,9217893,17690692,38786248,8086686,9273890,24752827,42113403,11036350,7054341,16451869,34542560,7605148,16396748,22528174,46530070,161972281,211436342,-49464061,-23.39430418257993,212836342
,,,,,,,,,,,,,,,,,,,,,,,,,,
