Free State: Moqhaka(FS201) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,0,0,51192830,51192830,8721678,2538617,3589416,14849711,3574967,3624729,3628582,10828278,3632952,3649342,3643955,10926249,3642001,3624944,3644503,10911448,47515686,51193000,-3677314,-7.18,51192830
Property rates - penalties and collection charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - electricity revenue,,0,0,250253258,250253258,18486542,23475519,21236565,63198626,19220180,18353663,19463895,57037738,19932098,17639224,19663891,57235213,18495183,19969360,18286724,56751267,234222844,250253000,-16030156,-6.41,250253258
Service charges - water revenue,,0,0,87317231,87317231,5900365,6012036,7104722,19017123,6834162,7218879,9011025,23064066,6305702,7031331,8038198,21375231,5887274,6958917,5917842,18764033,82220453,87317000,-5096547,-5.84,87317231
Service charges - sanitation revenue,,0,0,24480850,24480850,2130497,2131489,2126438,6388424,2161037,2139951,2144314,6445302,2177064,2146794,2169464,6493322,2161407,2165868,2179096,6506371,25833419,24481000,1352419,5.52,24480850
Service charges - refuse revenue,,0,0,16878080,16878080,1421878,1423187,1417627,4262692,1424961,1428972,1431787,4285720,1431493,1413429,1430895,4275817,1437257,1439978,1440158,4317393,17141622,16878000,263622,1.56,16878080
Service charges - other,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Rental of facilities and equipment,,0,0,3301274,3301274,115799,218082,217296,551177,1397945,191006,227017,1815968,87656,298104,381518,767278,135670,229546,249173,614389,3748812,3300000,448812,13.6,3301274
Interest earned - external investments,,0,0,530000,530000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,530000,-530000,-100,530000
Interest earned - outstanding debtors,,0,0,4000000,4000000,496962,512182,516976,1526120,540326,494335,507925,1542586,509407,517460,502373,1529240,1817068,1749768,91526,3658362,8256308,4000000,4256308,106.41,4000000
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,0,0,906948,906948,74102,53490,75096,202688,57389,68425,60968,186782,96301,81210,140483,317994,101579,191001,45111,337691,1045155,907000,138155,15.23,906948
Licences and permits,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Agency services,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Transfers recognised - operational,,0,0,705000,705000,66220000,0,0,66220000,0,0,0,0,0,0,0,0,0,16294768,0,16294768,82514768,171728000,-89213232,-51.95,705000
Other own revenue,,0,0,8004711,8004711,1165040,521589,584192,2270821,562095,538762,1644696,2745553,214499,1739560,688459,2642518,791574,536272,1148475,2476321,10135213,8004964,2130249,26.61,8004711
Gains on disposal of PPE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Total Revenue (excl. capital transfers and contributions),,0,0,447570182,447570182,104732863,36886191,36868328,178487382,35773062,34058722,38120209,107951993,34387172,34516454,36659236,105562862,34469013,53160422,33002608,120632043,512634280,618591964,-105957684,-17.12884909057758,447570182
,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure By Type,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee related costs,,0,0,187362817,187362817,13576501,13478698,13465085,40520284,13898973,13608743,14384261,41891977,14160544,13678618,12540704,40379866,13441741,13697862,14348840,41488443,164280570,191721004,-27440434,-14.31,187362817
Remuneration of councillors,,0,0,17412000,17412000,1355620,1356812,1376518,4088950,1362378,1362378,1342744,4067500,1342744,1342744,1457211,4142699,1589788,1412839,1449640,4452267,16751416,17412000,-660584,-3.79,17412000
Debt impairment,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13000000,-13000000,-100,0
Depreciation and asset impairment,,0,0,24000000,24000000,0,0,0,0,0,0,0,0,0,0,0,0,0,4182582,0,4182582,4182582,24000000,-19817418,-82.57,24000000
Finance charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3400000,-3400000,-100,0
Bulk purchases,,0,0,191136528,191136528,100703,23861866,22374919,46337488,12764507,12902758,12328619,37995884,14224242,12889646,11393409,38507297,12571642,11855349,35425598,59852589,182693258,191137000,-8443742,-4.42,191136528
Other Materials,,0,0,47688388,47688388,325714,3935810,1606506,5868030,4532368,1481016,1951551,7964935,2183916,1094418,1837826,5116160,3521773,3039353,4575340,11136466,30085591,,30085591,0,47688388
Contracted services,,0,0,11540091,11540091,132142,1050855,1060590,2243587,1011256,704351,1883463,3599070,2637074,1588040,1374265,5599379,1951388,1917664,1823589,5692641,17134677,12188000,4946677,40.59,11540091
Transfers and grants,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Other expenditure,,0,0,94316643,94316643,5043771,-124142,6145670,11065299,4716243,5973879,5338898,16029020,12011526,4436728,9773732,26221986,6348920,5340265,8674956,20364141,73680446,144535115,-70854669,-49.02,94316643
Loss on disposal of PPE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Total Expenditure,,0,0,573456467,573456467,20534451,43559899,46029288,110123638,38285725,36033125,37229536,111548386,46560046,35030194,38377147,119967387,39425252,41445914,66297963,147169129,488808540,597393119,-108584579,-18.176402698069914,573456467
,,,,,,,,,,,,,,,,,,,,,,,,,,
Surplus/(Deficit),,0,0,-125886285,-125886285,84198412,-6673708,-9160960,68363744,-2512663,-1974403,890673,-3596393,-12172874,-513740,-1717911,-14404525,-4956239,11714508,-33295355,-26537086,23825740,21198845,2626895,12.391689264202837,-125886285
Transfers recognised - capital,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Contributions recognised - capital,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Contributed assets,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) after capital transfers and contributions,,0,0,-125886285,-125886285,84198412,-6673708,-9160960,68363744,-2512663,-1974403,890673,-3596393,-12172874,-513740,-1717911,-14404525,-4956239,11714508,-33295355,-26537086,23825740,21198845,2626895,12.391689264202837,-125886285
Taxation,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) after taxation,,0,0,-125886285,-125886285,84198412,-6673708,-9160960,68363744,-2512663,-1974403,890673,-3596393,-12172874,-513740,-1717911,-14404525,-4956239,11714508,-33295355,-26537086,23825740,21198845,2626895,12.391689264202837,-125886285
Attributable to minorities,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) attributable to municipality,,0,0,-125886285,-125886285,84198412,-6673708,-9160960,68363744,-2512663,-1974403,890673,-3596393,-12172874,-513740,-1717911,-14404525,-4956239,11714508,-33295355,-26537086,23825740,21198845,2626895,12.391689264202837,-125886285
Share of surplus/ (deficit) of associate,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) for the year,,0,0,-125886285,-125886285,84198412,-6673708,-9160960,68363744,-2512663,-1974403,890673,-3596393,-12172874,-513740,-1717911,-14404525,-4956239,11714508,-33295355,-26537086,23825740,21198845,2626895,12.391689264202837,-125886285
