Free State: Ngwathe(FS203) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,42923019,0,51296513,51296513,5217379,5221145,5433782,15872306,-11140001,5142153,5186185,-811663,4879757,5039089,4954917,14873763,5027137,5066909,5098059,15192105,45126511,51296513,-6170002,-12.03,51296513
Property rates - penalties and collection charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - electricity revenue,,126135803,0,145556988,145556988,12156720,11041047,15250374,38448141,-6931298,31946558,-11528287,13486973,18197646,4950387,32228311,55376344,2234116,2656836,11402246,16293198,123604656,145556989,-21952333,-15.08,145556988
Service charges - water revenue,,134473678,0,40110508,40210508,-13898345,3693237,4604391,-5600717,35723263,3875019,3372569,42970851,10904792,-3854982,4620106,11669916,12592552,3925019,-3489993,13027578,62067628,40110508,21957120,54.74,40210508
Service charges - sanitation revenue,,25997562,0,37057316,37057384,2811705,2894932,2874196,8580833,-2865778,2860494,2887316,2882032,2665063,2544382,3101549,8310994,2822484,2812376,2812071,8446931,28220790,37057317,-8836527,-23.85,37057384
Service charges - refuse revenue,,29083911,0,35147507,35147507,2653506,2730524,2700080,8084110,-2699988,2695135,2700847,2695994,2698382,2646488,2695898,8040768,2595395,2709042,2704755,8009192,26830064,35147507,-8317443,-23.66,35147507
Service charges - other,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Rental of facilities and equipment,,311275,0,1420000,1951000,1636855,19088,114124,1770067,-219256,97531,26162,-95563,141226,19716,30490,191432,26092,389636,134562,550290,2416226,1420000,996226,70.16,1951000
Interest earned - external investments,,2057449,0,2756600,1756600,63557,111336,55583,230476,-30426,31653,11035,12262,5536,128809,38470,172815,94998,110362,273676,479036,894589,2756600,-1862011,-67.55,1756600
Interest earned - outstanding debtors,,28301387,0,2500000,2500000,3058261,3171333,3381908,9611502,-1298525,3332435,3395641,5429551,3455519,3412680,3408646,10276845,3418687,3427857,3552850,10399394,35717292,2500000,33217292,1328.69,2500000
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,826390,0,1000000,1400000,96232,52245,79174,227651,-125019,59310,46119,-19590,67066,72396,84885,224347,108937,69232,44914,223083,655491,1000001,-344510,-34.45,1400000
Licences and permits,,0,0,500,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,-500,-100,500
Agency services,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Transfers recognised - operational,,147282325,0,163765000,163765000,65023000,1334000,0,66357000,0,300000,0,300000,51623207,-300000,297202,51620409,132155,227194,1387250,1746599,120024008,163765000,-43740992,-26.71,163765000
Other own revenue,,1628684,0,3074000,3905000,126702,198216,216095,541013,-211633,220108,199867,208342,165830,226082,21222,413134,126014,233751,238023,597788,1760277,3074001,-1313724,-42.74,3905000
Gains on disposal of PPE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Total Revenue (excl. capital transfers and contributions),,539021483,0,483684932,484547000,78945572,30467103,34709707,144122382,10201339,50560396,6297454,67059189,94804024,14885047,51481696,161170767,29178567,21628214,24158413,74965194,447317532,483684936,-36367404,-7.518820887983992,484547000
,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure By Type,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee related costs,,175490908,0,138927907,145144000,14863395,14686859,15302831,44853085,14818220,14651576,14877459,44347255,15077715,14589277,14350877,44017869,15006288,14261895,14288365,43556548,176774757,138927872,37846885,27.24,145144000
Remuneration of councillors,,10084329,0,10441707,10441708,842175,843675,843075,2528925,843075,843075,843075,2529225,843075,843075,843075,2529225,1337426,892317,892317,3122060,10709435,10441711,267724,2.56,10441708
Debt impairment,,43330759,0,40000000,40000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39999996,-39999996,-100,40000000
Depreciation and asset impairment,,101495200,0,95000000,95000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95000004,-95000004,-100,95000000
Finance charges,,1826968,0,3000000,3000000,100000,100000,1500000,1700000,-1362446,100000,439052,-823394,100000,-452102,564927,212825,-428117,65426,33034,-329657,759774,3000000,-2240226,-74.67,3000000
Bulk purchases,,149690322,0,163401194,163401194,37442647,1338596,500000,39281243,14760281,1474135,-8695395,7539021,16950194,1394901,301864,18646959,871420,2212181,1579239,4662840,70130063,163401201,-93271138,-57.08,163401194
Other Materials,,0,0,10100000,10099432,1638754,516132,3018117,5173003,832586,333745,692125,1858456,423379,1330198,311387,2064964,325854,644899,987197,1957950,11054373,10100000,954373,9.45,10099432
Contracted services,,4676521,0,15300000,15780768,310118,51409,130105,491632,242992,54806,149739,447537,211670,186574,207460,605704,54991,54991,67721,177703,1722576,15299999,-13577423,-88.74,15780768
