Free State: Metsimaholo(FS204) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,105296312,0,102113860,111013860,17499202,8988756,8755009,35242967,8831732,8831582,8831582,26494896,9779989,8805478,8825373,27410840,8896021,8893951,8560451,26350423,115499126,102113860,13385266,13.11,111013860
Property rates - penalties and collection charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - electricity revenue,,179302903,0,219951400,219951400,18080970,12192463,19154380,49427813,16224299,16035492,11821408,44081199,15112591,12432176,11226098,38770865,15766136,18960125,21071978,55798239,188078116,219951400,-31873284,-14.49,219951400
Service charges - water revenue,,179906875,0,276185200,273185200,15840740,18399416,23688275,57928431,21075855,20060314,19426009,60562178,17506672,21273867,18090850,56871389,22361018,22057285,27911187,72329490,247691488,276185200,-28493712,-10.32,273185200
Service charges - sanitation revenue,,21736775,0,22837330,22837330,1662392,2123903,1640515,5426810,1642894,1641499,1642398,4926791,2539574,1853775,1934445,6327794,1827686,1802302,1740719,5370707,22052102,22837330,-785228,-3.44,22837330
Service charges - refuse revenue,,29606480,0,39977820,39977820,1847782,2797064,2671586,7316432,2671628,2669562,2670981,8012171,2670886,2675370,2674550,8020806,2681082,2681451,2681451,8043984,31393393,39977820,-8584427,-21.47,39977820
Service charges - other,,8508000,0,9136000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9136400,-9136400,-100,0
Rental of facilities and equipment,,4857962,0,5001910,5001910,321921,359964,459470,1141355,595098,380625,340749,1316472,325728,336498,313441,975667,324317,392275,398464,1115056,4548550,5001910,-453360,-9.06,5001910
Interest earned - external investments,,2377821,0,2400000,1300000,7759,68711,382791,459261,128088,134074,69003,331165,99854,127293,130946,358093,179973,105038,0,285011,1433530,2400000,-966470,-40.27,1300000
