Free State: Mafube(FS205) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,19474278,0,16040108,16449348,1780741,1779197,1778702,5338640,1778702,1778702,1778702,5336106,1778702,1778270,1750732,5307704,1740908,1740908,1740807,5222623,21205073,16040108,5164965,32.2,16449348
Property rates - penalties and collection charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - electricity revenue,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - water revenue,,0,0,16031653,13904866,2870352,0,1953234,4823586,3142563,2995102,2397365,8535030,2772461,2649259,2611608,8033328,2331937,2220582,2000729,6553248,27945192,16031653,11913539,74.31,13904866
Service charges - sanitation revenue,,0,0,13328042,11559903,1384905,0,1385524,2770429,1385834,1385920,1386692,4158446,1396445,1397496,1397925,4191866,1398611,1398783,1398783,4196177,15316918,13328042,1988876,14.92,11559903
Service charges - refuse revenue,,0,0,15867816,13762742,1005180,0,1005689,2010869,1005933,1005996,1006569,3018498,1013891,1014688,1016280,3044859,1016853,1016980,1016980,3050813,11125039,15867816,-4742777,-29.89,13762742
Service charges - other,,47117457,0,0,0,753321,6568787,0,7322108,912743,0,0,912743,0,0,0,0,0,0,758011,758011,8992862,1017923,7974939,783.45,0
Rental of facilities and equipment,,543056,0,0,211901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274186,-274186,-100,211901
Interest earned - external investments,,12998767,0,450000,545830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,545832,-545832,-100,545830
Interest earned - outstanding debtors,,0,0,2851294,17624974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2851295,-2851295,-100,17624974
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,73870,0,3180000,3180000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3180000,-3180000,-100,3180000
Licences and permits,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Agency services,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Transfers recognised - operational,,77001187,0,79412000,80239290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79571000,-79571000,-100,80239290
Other own revenue,,2929426,0,7092193,5142113,121070,121261,746369,988700,0,892748,809253,1702001,864157,847604,842708,2554469,804338,738789,0,1543127,6788297,5704259,1084038,19,5142113
Gains on disposal of PPE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Total Revenue (excl. capital transfers and contributions),,160138041,0,154253106,162620967,7915569,8469245,6869518,23254332,8225775,8058468,7378581,23662824,7825656,7687317,7619253,23132226,7292647,7116042,6915310,21323999,91373381,154412114,-63038733,-40.8249918785517,162620967
,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure By Type,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee related costs,,69615960,0,72819584,74134560,2341766,2428862,2510482,7281110,1911625,2536742,2696145,7144512,2720327,2208917,2772976,7702220,2759739,2768342,2051067,7579148,29706990,72819582,-43112592,-59.2,74134560
Remuneration of councillors,,5235182,0,4926142,4926142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4926143,-4926143,-100,4926142
Debt impairment,,37976426,0,3307500,3307500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3307498,-3307498,-100,3307500
Depreciation and asset impairment,,122993232,0,1201200,1201200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1201200,-1201200,-100,1201200
Finance charges,,6566642,0,254597,5989516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254597,-254597,-100,5989516
Bulk purchases,,27714956,0,12443300,5000000,1052001,1052001,1040805,3144807,1391317,1479768,1479768,4350853,1477320,1456034,1322074,4255428,1440219,1451913,2718525,5610657,17361745,12443300,4918445,39.53,5000000
Other Materials,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,-100,0
Contracted services,,0,0,2716575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2716575,-2716575,-100,0
Transfers and grants,,6746501,0,15000000,8500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14999996,-14999996,-100,8500000
Other expenditure,,35647617,0,50062411,94676670,2870475,1433180,4311390,8615045,2045793,2893667,2450056,7389516,4786225,5083604,3299345,13169174,4229465,1880030,4296527,10406022,39579757,50062410,-10482653,-20.94,94676670
Loss on disposal of PPE,,0,0,0,10169475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,10169475
Total Expenditure,,312496516,0,162731309,207905063,6264242,4914043,7862677,19040962,5348735,6910177,6625969,18884881,8983872,8748555,7394395,25126822,8429423,6100285,9066119,23595827,86648492,162731302,-76082810,-46.753641779379365,207905063
,,,,,,,,,,,,,,,,,,,,,,,,,,
Surplus/(Deficit),,-152358475,0,-8478203,-45284096,1651327,3555202,-993159,4213370,2877040,1148291,752612,4777943,-1158216,-1061238,224858,-1994596,-1136776,1015757,-2150809,-2271828,4724889,-8319188,13044077,-156.79507423080233,-45284096
Transfers recognised - capital,,19173495,0,51718000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51559000,-51559000,-100,0
Contributions recognised - capital,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Contributed assets,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) after capital transfers and contributions,,-133184980,0,43239797,-45284096,1651327,3555202,-993159,4213370,2877040,1148291,752612,4777943,-1158216,-1061238,224858,-1994596,-1136776,1015757,-2150809,-2271828,4724889,43239812,-38514923,-89.07282714365178,-45284096
Taxation,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) after taxation,,-133184980,0,43239797,-45284096,1651327,3555202,-993159,4213370,2877040,1148291,752612,4777943,-1158216,-1061238,224858,-1994596,-1136776,1015757,-2150809,-2271828,4724889,43239812,-38514923,-89.07282714365178,-45284096
Attributable to minorities,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) attributable to municipality,,-133184980,0,43239797,-45284096,1651327,3555202,-993159,4213370,2877040,1148291,752612,4777943,-1158216,-1061238,224858,-1994596,-1136776,1015757,-2150809,-2271828,4724889,43239812,-38514923,-89.07282714365178,-45284096
Share of surplus/ (deficit) of associate,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) for the year,,-133184980,0,43239797,-45284096,1651327,3555202,-993159,4213370,2877040,1148291,752612,4777943,-1158216,-1061238,224858,-1994596,-1136776,1015757,-2150809,-2271828,4724889,43239812,-38514923,-89.07282714365178,-45284096
