Gauteng: Emfuleni(GT421) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,469446918,0,539000000,539000000,45551189,44580547,45252277,135384013,45180535,44538520,45257953,134977008,45036733,45196070,45886938,136119741,133088775,41792264,45458588,220339627,626820389,539000001,87820388,16.29,539000000
Property rates - penalties and collection charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - electricity revenue,,1676333384,0,1977314037,1977314037,185972348,166233335,188618699,540824382,141119818,143025572,140771926,424917316,125256997,132457999,139462456,397177452,231432403,-34463988,156235237,353203652,1716122802,1977314035,-261191233,-13.21,1977314037
Service charges - water revenue,,897125332,0,946898475,946898476,63074569,88649923,77350477,229074969,83946074,83945410,74045746,241937230,89860278,78405516,79601182,247866976,251814635,80562315,86545721,418922671,1137801846,946898476,190903370,20.16,946898476
Service charges - sanitation revenue,,255648004,0,259157794,259157794,22376177,24872879,20670563,67919619,48366957,31988474,22255649,102611080,43009536,33829831,33599546,110438913,76089723,8193616,-72828314,11455025,292424637,259157794,33266843,12.84,259157794
Service charges - refuse revenue,,157902990,0,171227091,171227091,14262443,16236590,15135020,45634053,15206871,15140718,14974417,45322006,14760833,14826179,15090997,44678009,40965974,11100806,15167684,67234464,202868532,171227091,31641441,18.48,171227091
Service charges - other,,0,0,27563621,27564045,536998,789902,406789,1733689,598041,302517,401200,1301758,1757112,264762,408304,2430178,64243,-250487,1161049,974805,6440430,27564045,-21123615,-76.63,27564045
Rental of facilities and equipment,,11633519,0,14771889,14771890,943502,965661,1032758,2941921,-3127027,1027835,1123350,-975842,1208494,979822,864064,3052380,1639566,45313,-105446,1579433,6597892,14771892,-8174000,-55.33,14771890
Interest earned - external investments,,8376427,0,11151929,11151929,0,855443,465803,1321246,261853,305071,131172,698096,3848780,218585,845036,4912401,568963,-685472,776476,659967,7591710,11151929,-3560219,-31.92,11151929
Interest earned - outstanding debtors,,31034555,0,22795629,22795631,2399850,2555629,2419103,7374582,2773432,2733219,2966048,8472699,3067337,2792091,2705125,8564553,2841577,-2933393,2838324,2746508,27158342,22795629,4362713,19.14,22795631
Dividends received,,6050,0,5000,5000,0,0,3025,3025,0,0,0,0,0,0,0,0,0,0,0,0,3025,5000,-1975,-39.5,5000
Fines,,153353108,0,35008300,35008300,1919188,1520563,1068864,4508615,867132,887461,525381,2279974,73047827,1109627,1785012,75942466,39791820,-1754108,1560890,39598602,122329657,35008302,87321355,249.43,35008300
Licences and permits,,6770,0,12887,12887,747,582,654,1983,779,779,1422,2980,264,587,860,1711,1808,-1672,925,1061,7735,12887,-5152,-39.98,12887
Agency services,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Transfers recognised - operational,,677257965,0,669140122,669100285,238348000,4782715,4451347,247582062,5354056,206706206,5827019,217887281,4410868,4107250,168328688,176846806,225050,-65334,10911579,11071295,653387444,669139699,-15752255,-2.35,669100285
Other own revenue,,397728227,0,33075061,134488913,187145,2041991,1635311,3864447,1492020,3857777,1382786,6732583,2429587,-56208,2596801,4970180,1771483,-3237164,2971001,1505320,17072530,33075062,-16002532,-48.38,134488913
Gains on disposal of PPE,,0,0,1413853,0,28289,0,0,28289,0,0,0,0,0,0,553603,553603,0,0,0,0,581892,1413853,-831961,-58.84,0
Total Revenue (excl. capital transfers and contributions),,4735853249,0,4708535688,4808496278,575600445,354085760,358510690,1288196895,342040541,534459559,309664069,1186164169,407694646,314132111,491728612,1213555369,780296020,98302696,250693714,1129292430,4817208863,4708535695,108673168,2.308003486421483,4808496278
,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure By Type,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee related costs,,822788232,0,918944935,917758082,72990074,71386469,73088070,217464613,72190137,70329986,71230296,213750419,70867722,71287895,69322672,211478289,71012332,75819293,69271222,216102847,858796168,918944935,-60148767,-6.55,917758082
Remuneration of councillors,,42735848,0,47185053,47185054,3636441,3584314,3584314,10805069,3584314,3584314,3584314,10752942,3584314,3584314,3550532,10719160,5570345,3754987,3728466,13053798,45330969,47185052,-1854083,-3.93,47185054
Debt impairment,,781535835,0,438178617,510110321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,438178618,-438178618,-100,510110321
Depreciation and asset impairment,,476075878,0,248527020,173523164,0,0,0,0,0,0,20325839,20325839,226265384,0,10229373,236494757,109218143,0,0,109218143,366038739,248527021,117511718,47.28,173523164
Finance charges,,27575854,0,11896707,2840067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11896708,-11896708,-100,2840067
Bulk purchases,,1874698247,0,1950242691,1950242691,39685368,205294827,188080608,433060803,157178745,158350018,150151084,465679847,134248780,146690520,143542486,424481786,153487986,133561197,149939593,436988776,1760211212,1950242690,-190031478,-9.74,1950242691
Other Materials,,5301994,0,8281056,6606119,386017,3099679,1692029,5177725,2082021,2567634,6218273,10867928,1444223,4016497,4487302,9948022,3080002,3233417,4869606,11183025,37176700,8281056,28895644,348.94,6606119
Contracted services,,105054296,0,134238663,164078374,170476,14454973,998538,15623987,15191912,11425011,27914968,54531891,-11850350,8772483,41318612,38240745,23969335,25201525,63983953,113154813,221551436,134238662,87312774,65.04,164078374
Transfers and grants,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Other expenditure,,873873199,0,808626389,889301286,57102800,60520507,30975976,148599283,57487121,63516803,100450674,221454598,110091560,60358882,54090688,224541130,135497595,-4469594,92669060,223697061,818292072,808626387,9665685,1.2,889301286
Loss on disposal of PPE,,88196640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Total Expenditure,,5097836023,0,4566121131,4661645158,173971176,358340769,298419535,830731480,307714250,309773766,379875448,997363464,534651633,294710591,326541665,1155903889,501835738,237100825,384461900,1123398463,4107397296,4566121129,-458723833,-10.046247570757338,4661645158
,,,,,,,,,,,,,,,,,,,,,,,,,,
Surplus/(Deficit),,-361982774,0,142414557,146851120,401629269,-4255009,60091155,457465415,34326291,224685793,-70211379,188800705,-126956987,19421520,165186947,57651480,278460282,-138798129,-133768186,5893967,709811567,142414566,567397001,398.4121968254287,146851120
Transfers recognised - capital,,169094399,0,266010788,371268991,0,188364,586115,774479,15584565,37280587,35242872,88108024,93186,3631209,35950073,39674468,2675200,-123543,28992440,31544097,160101068,266010788,-105909720,-39.81,371268991
Contributions recognised - capital,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Contributed assets,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) after capital transfers and contributions,,-192888375,0,408425345,518120111,401629269,-4066645,60677270,458239894,49910856,261966380,-34968507,276908729,-126863801,23052729,201137020,97325948,281135482,-138921672,-104775746,37438064,869912635,408425354,461487281,112.99182983630345,518120111
Taxation,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) after taxation,,-192888375,0,408425345,518120111,401629269,-4066645,60677270,458239894,49910856,261966380,-34968507,276908729,-126863801,23052729,201137020,97325948,281135482,-138921672,-104775746,37438064,869912635,408425354,461487281,112.99182983630345,518120111
Attributable to minorities,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
