Gauteng: Midvaal(GT422) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,106157366,0,130588389,132629639,11101491,11036476,11083254,33221221,11113360,11498084,11229000,33840444,11279014,11279142,11336535,33894691,11374690,11382621,0,22757311,123713667,130588392,-6874725,-5.26,132629639
Property rates - penalties and collection charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - electricity revenue,,235073921,0,273688000,266882463,22355063,22297263,23957364,68609690,21336135,19031028,20844943,61212106,19075011,18736516,19297518,57109045,17022471,20520080,0,37542551,224473392,273688384,-49214992,-17.98,266882463
Service charges - water revenue,,133849287,0,146112000,145159282,11247848,11149240,12296988,34694076,12652005,12638213,11405703,36695921,11183142,12950643,11250311,35384096,11682237,12113037,0,23795274,130569367,146112465,-15543098,-10.64,145159282
Service charges - sanitation revenue,,27251888,0,30355000,30765647,2277775,2819553,2511651,7608979,2651727,2563661,2585205,7800593,2573959,2582169,2622226,7778354,2532565,2675365,0,5207930,28395856,30354528,-1958672,-6.45,30765647
Service charges - refuse revenue,,25362757,0,29508000,29160110,2284734,2275312,2283550,6843596,2424402,2344433,2278915,7047750,2276456,2304136,2314846,6895438,2282253,2442039,0,4724292,25511076,29508384,-3997308,-13.55,29160110
Service charges - other,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Rental of facilities and equipment,,1142264,0,1300000,1300000,65410,102854,73649,241913,93003,105040,99399,297442,111384,116948,108152,336484,96121,96257,0,192378,1068217,1299996,-231779,-17.83,1300000
Interest earned - external investments,,4850916,0,2000000,3300000,286843,293540,445193,1025576,684464,393840,551580,1629884,383839,731556,292471,1407866,578109,603101,0,1181210,5244536,2000004,3244532,162.23,3300000
Interest earned - outstanding debtors,,6048615,0,4000000,7000000,967115,780997,710420,2458532,752332,997346,886404,2636082,832435,860853,895555,2588843,821773,893787,0,1715560,9399017,3999996,5399021,134.98,7000000
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,48726013,0,14523000,49523000,243930,572423,1019039,1835392,605165,637345,973632,2216142,1083318,1330061,1072152,3485531,976158,798107,0,1774265,9311330,14523000,-5211670,-35.89,49523000
Licences and permits,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Agency services,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
