Gauteng: Lesedi(GT423) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,62277506,0,73200000,73200000,6707240,6580809,6568715,19856764,6913590,8505050,6916018,22334658,7228799,7165576,7174927,21569302,7180401,6377911,7140170,20698482,84459206,73200000,11259206,15.38,73200000
Property rates - penalties and collection charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - electricity revenue,,205643651,0,240833754,240833754,21760210,20662776,18730707,61153693,18090391,18913140,10797544,47801075,17987342,17454300,17669913,53111555,16099350,20091704,17876039,54067093,216133416,240833755,-24700339,-10.26,240833754
Service charges - water revenue,,64377754,0,73093161,73093161,5959730,5482003,5758915,17200648,7337989,5567693,4125669,17031351,4844732,5962522,6670139,17477393,5372608,5484212,7641892,18498712,70208104,73093160,-2885056,-3.95,73093161
Service charges - sanitation revenue,,18627891,0,21553420,21553420,1713057,1657337,1655623,5026017,1844061,1674705,1676235,5195001,1826950,1713269,1695012,5235231,1690644,1698865,1865660,5255169,20711418,21553420,-842002,-3.91,21553420
Service charges - refuse revenue,,23069549,0,25564524,25564524,2124922,2021426,2130607,6276955,2151883,2153571,2155172,6460626,2142327,2171508,2141581,6455416,2123370,2147524,2170254,6441148,25634145,25564525,69620,0.27,25564524
Service charges - other,,4312278,0,254133,254133,10536,12432,12192,35160,19625,7159,185733,212517,170936,0,0,170936,0,0,5947,5947,424560,254134,170426,67.06,254133
Rental of facilities and equipment,,3266831,0,7723601,7723601,155310,162139,146108,463557,613257,163737,279327,1056321,171067,586200,303901,1061168,313067,316900,301485,931452,3512498,7723599,-4211101,-54.52,7723601
Interest earned - external investments,,1471573,0,1272318,1272318,55305,38022,38917,132244,28765,10597,15748,55110,16545,200385,211262,428192,86568,83501,89844,259913,875459,1272318,-396859,-31.19,1272318
Interest earned - outstanding debtors,,7474335,0,2488031,2488031,753476,733412,756911,2243799,794034,788032,626021,2208087,898923,994191,1018960,2912074,1023952,1045307,1048936,3118195,10482155,2488031,7994124,321.3,2488031
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,4662647,0,2500000,2500000,5464,11740,7267,24471,248339,1811,1605455,1855605,-3271,54610,13405,64744,18077,18534,3001423,3038034,4982854,2499999,2482855,99.31,2500000
Licences and permits,,57936,0,90659,90659,0,246,0,246,0,1860,13088,14948,13447,632,7368,21447,0,2807,1930,4737,41378,90660,-49282,-54.36,90659
Agency services,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
