Gauteng: Mogale City(GT481) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,308722620,0,316405570,347652265,27653272,28001031,30324724,85979027,30705922,37724769,30940490,99371181,33607621,33016326,31754564,98378511,31541231,31614187,30910538,94065956,377794675,316405572,61389103,19.4,347652265
Property rates - penalties and collection charges,,32025759,0,32485834,25309655,1366554,100389,3741482,5208425,3057813,2206685,2181904,7446402,2292364,2132836,1200588,5625788,1157093,2432360,3141932,6731385,25012000,32485836,-7473836,-23.01,25309655
Service charges - electricity revenue,,723267891,0,833172048,825404078,64836507,73459172,75676092,213971771,69228314,57882613,66619341,193730268,54254309,73612557,59868891,187735757,59246798,59541437,59827654,178615889,774053685,833172048,-59118363,-7.1,825404078
Service charges - water revenue,,193741064,0,229868373,222557799,16280229,16466939,19623805,52370973,17499053,19559735,19353614,56412402,14462469,18313718,15903384,48679571,18180198,18106363,21612223,57898784,215361730,229868376,-14506646,-6.31,222557799
Service charges - sanitation revenue,,105154920,0,111476181,117890258,8464735,9203323,38633472,56301530,-16516862,9645277,9265183,2393598,10207828,10159289,11038938,31406055,10363342,10409470,11134065,31906877,122008060,111476184,10531876,9.45,117890258
Service charges - refuse revenue,,100636260,0,105544184,104130314,8811304,8603200,8284969,25699473,8523962,8448243,8457016,25429221,8589218,8364829,8349312,25303359,8507758,8117976,8676628,25302362,101734415,105544188,-3809773,-3.61,104130314
Service charges - other,,8794,0,0,8952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,8952
Rental of facilities and equipment,,2969096,0,3507570,3252138,217510,251001,463610,932121,275700,191429,283764,750893,321074,451350,248072,1020496,222871,301147,260080,784098,3487608,3507576,-19968,-0.57,3252138
Interest earned - external investments,,12658564,0,1468352,5838868,0,0,0,0,0,248588,1300048,1548636,-125307,1521610,6869796,8266099,82688,243802,449878,776368,10591103,1468356,9122747,621.29,5838868
Interest earned - outstanding debtors,,14517937,0,13732197,32299459,1824748,2796056,2976820,7597624,2861102,2827238,2863766,8552106,1775420,4261358,-5704691,332087,1706566,2093168,2076388,5876122,22357939,13732200,8625739,62.81,32299459
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,170003359,0,23522182,23522182,884320,809018,2443755,4137093,737005,181295,0,918300,6089612,2781778,1651967,10523357,712724,615130,2568874,3896728,19475478,23522184,-4046706,-17.2,23522182
Licences and permits,,28140,0,23588,21660,1140,2205,881,4226,2981,616,3007,6604,1238,2070,2097,5405,1149,1939,126,3214,19449,23592,-4143,-17.56,21660
Agency services,,21407917,0,24950345,21407917,1992619,6674373,7499125,16166117,-3030976,1716087,831954,-482935,8112948,-7189521,-359670,563757,-256724,-2964960,17852493,14630809,30877748,24950340,5927408,23.76,21407917
Transfers recognised - operational,,236922750,0,250984100,253629800,94465999,796598,1095084,96357681,3078222,630647,2535221,6244090,1322195,-98326,143990029,145213898,1383367,1571696,-11593,2943470,250759139,250984104,-224965,-0.09,253629800
Other own revenue,,78167891,0,52167425,53322224,3768469,366783,2008682,6143934,2749097,2401371,851162,6001630,2844115,6336096,3073704,12253915,917172,1391780,3167814,5476766,29876245,52167420,-22291175,-42.73,53322224
Gains on disposal of PPE,,6310712,0,2000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2548246,2548246,2548246,2000004,548242,27.41,0
Total Revenue (excl. capital transfers and contributions),,2006543674,0,2001307949,2036247569,230567406,147530088,192772501,570869995,119171333,143664593,145486470,408322396,143755104,153665970,277886981,575308055,133766233,133475495,164215346,431457074,1985957520,2001307980,-15350460,-0.7670213756905121,2036247569
,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure By Type,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee related costs,,485485615,0,570351573,574775384,42805183,44177967,45614361,132597511,44043897,49207690,45685291,138936878,44003186,46934459,43244690,134182335,43776899,46474429,45113415,135364743,541081467,570351576,-29270109,-5.13,574775384
Remuneration of councillors,,24074379,0,28386634,28386637,2002306,2262155,1983465,6247926,1970274,1993416,1983478,5947168,1984918,1984918,2008929,5978765,3119399,2119868,2119885,7359152,25533011,28386636,-2853625,-10.05,28386637
Debt impairment,,219231530,0,45775378,117083700,4770197,4262229,4412663,13445089,4574593,4574593,4574593,13723779,4574593,52113476,10516954,67205023,10516954,10516954,10516954,31550862,125924753,45775380,80149373,175.09,117083700
Depreciation and asset impairment,,267570772,0,281809046,281809042,19105318,25281580,21461931,65848829,27295736,22744728,22169239,72209703,24347548,20081636,21427855,65857039,24925060,22784481,21579994,69289535,273205106,281809044,-8603938,-3.05,281809042
Finance charges,,55300493,0,58067497,53067498,1923501,1403323,9336727,12663551,2221005,1766196,4197098,8184299,3165894,4004702,12189381,19359977,3489610,3359363,4262130,11111103,51318930,58067496,-6748566,-11.62,53067498
Bulk purchases,,657955355,0,753732812,753694713,80383009,79243716,60282975,219909700,53210143,53783508,49471493,156465144,33325754,67013213,49697809,150036776,44049290,17749700,112694255,174493245,700904865,753732816,-52827951,-7.01,753694713
Other Materials,,69372348,0,75280863,80473179,46894,2313343,4509330,6869567,5507521,5904461,4117569,15529551,3887007,11421865,4943756,20252628,4272163,4103129,12485460,20860752,63512498,75280860,-11768362,-15.63,80473179
Contracted services,,175811241,0,227634923,217548044,1092492,10965243,29029380,41087115,12173724,19322744,17656936,49153404,7673956,13289122,15122149,36085227,18055264,18751410,22332967,59139641,185465387,208588203,-23122816,-11.09,217548044
Transfers and grants,,25461629,0,40649555,40619554,1587820,2012307,2096313,5696440,2794884,3210876,3454173,9459933,3529833,4721897,3705161,11956891,3629088,4272013,7521616,15422717,42535981,40649556,1886425,4.64,40619554
Other expenditure,,195052443,0,288719386,299849661,11358843,13817767,15501717,40678327,14900377,9779418,20246843,44926638,15842552,17818201,9020008,42680761,13763704,11787211,23733969,49284884,177570610,307766109,-130195499,-42.3,299849661
Loss on disposal of PPE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Total Expenditure,,2175315805,0,2370407667,2447307412,165075563,185739630,194228862,545044055,168692154,172287630,173556713,514536497,142335241,239383489,171876692,553595422,169597431,141918558,262360645,573876634,2187052608,2370407676,-183355068,-7.735170192724267,2447307412
,,,,,,,,,,,,,,,,,,,,,,,,,,
Surplus/(Deficit),,-168772131,0,-369099718,-411059843,65491843,-38209542,-1456361,25825940,-49520821,-28623037,-28070243,-106214101,1419863,-85717519,106010289,21712633,-35831198,-8443063,-98145299,-142419560,-201095088,-369099696,168004608,-45.517406224035476,-411059843
Transfers recognised - capital,,105109148,0,122012129,118250083,0,5891647,3196054,9087701,9189356,5265648,10636513,25091517,0,38101626,26491000,64592626,-40978870,1922546,11920982,-27135342,71636502,122012124,-50375622,-41.29,118250083
Contributions recognised - capital,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Contributed assets,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) after capital transfers and contributions,,-63662983,0,-247087589,-292809760,65491843,-32317895,1739693,34913641,-40331465,-23357389,-17433730,-81122584,1419863,-47615893,132501289,86305259,-76810068,-6520517,-86224317,-169554902,-129458586,-247087572,117628986,-47.60619283595534,-292809760
Taxation,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) after taxation,,-63662983,0,-247087589,-292809760,65491843,-32317895,1739693,34913641,-40331465,-23357389,-17433730,-81122584,1419863,-47615893,132501289,86305259,-76810068,-6520517,-86224317,-169554902,-129458586,-247087572,117628986,-47.60619283595534,-292809760
Attributable to minorities,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) attributable to municipality,,-63662983,0,-247087589,-292809760,65491843,-32317895,1739693,34913641,-40331465,-23357389,-17433730,-81122584,1419863,-47615893,132501289,86305259,-76810068,-6520517,-86224317,-169554902,-129458586,-247087572,117628986,-47.60619283595534,-292809760
Share of surplus/ (deficit) of associate,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) for the year,,-63662983,0,-247087589,-292809760,65491843,-32317895,1739693,34913641,-40331465,-23357389,-17433730,-81122584,1419863,-47615893,132501289,86305259,-76810068,-6520517,-86224317,-169554902,-129458586,-247087572,117628986,-47.60619283595534,-292809760
