Gauteng: Westonaria(GT483) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,27647144,0,62195000,203195000,10478145,35184343,18199635,63862123,17782515,0,17773312,35555827,17772288,0,17972977,35745265,17972977,15416211,20230123,53619311,188782526,62195000,126587526,203.53,203195000
Property rates - penalties and collection charges,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Service charges - electricity revenue,,0,0,86500440,86500440,9975979,10372642,8795582,29144203,5672491,0,7075620,12748111,5271901,0,8769818,14041719,8769818,6447444,8938559,24155821,80089854,86500440,-6410586,-7.41,86500440
Service charges - water revenue,,0,0,111632400,123568891,11091097,12054753,14938894,38084744,11151902,0,13190623,24342525,8742417,0,10539208,19281625,10539208,9945714,11398554,31883476,113592370,111632410,1959960,1.76,123568891
Service charges - sanitation revenue,,0,0,16132000,24326043,1894268,2050816,2839109,6784193,1396191,0,2004374,3400565,1412356,0,4382816,5795172,4382816,1924473,3217001,9524290,25504220,16132117,9372103,58.1,24326043
Service charges - refuse revenue,,0,0,15031000,15728405,0,1303760,1165409,2469169,1460297,0,1167518,2627815,1376123,0,1514608,2890731,1514608,1549970,1344566,4409144,12396859,15030873,-2634014,-17.52,15728405
Service charges - other,,213049950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Rental of facilities and equipment,,353986,0,423000,178723,43067,27379,32334,102780,324560,0,34864,359424,32013,0,34250,66263,34250,31706,32671,98627,627094,423109,203985,48.21,178723
Interest earned - external investments,,6195117,0,500000,500000,39686,0,-238222,-198536,-290070,0,-125678,-415748,-77626,0,303305,225679,303305,-1276364,435171,-537888,-926493,500000,-1426493,-285.3,500000
Interest earned - outstanding debtors,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,23578357,0,7400000,6986000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7400000,-7400000,-100,6986000
Licences and permits,,17912386,0,5500000,0,0,114,57,171,145,0,967567,967712,2011257,0,1473685,3484942,1473685,2428526,8836074,12738285,17191110,5500000,11691110,212.57,0
Agency services,,0,0,5886000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5886120,-5886120,-100,0
Transfers recognised - operational,,128011182,0,125884000,125884000,45100665,0,0,45100665,0,0,30932207,30932207,-1902,0,8246,6344,8246,37770000,-25228,37753018,113792234,125884000,-12091766,-9.61,125884000
Other own revenue,,8242572,0,37173040,35966000,2569498,151709,119302,2840509,243334,0,302523,545857,-115196,0,17026805,16911609,17026805,405858,283207,17715870,38013845,37173127,840718,2.26,35966000
Gains on disposal of PPE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Total Revenue (excl. capital transfers and contributions),,424990694,0,474256880,622833502,81192405,61145516,45852100,188190021,37741365,0,73322930,111064295,36423631,0,62025718,98449349,62025718,74643538,54690698,191359954,589063619,474257196,114806423,24.207629102585088,622833502
,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure By Type,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee related costs,,123986527,0,136495000,136495000,10280250,10791047,11592114,32663411,11200736,0,747400,11948136,10327985,0,11582201,21910186,11582201,-11800527,12572050,12353724,78875457,136494955,-57619498,-42.21,136495000
Remuneration of councillors,,10215718,0,11626000,11626000,840097,508768,508768,1857633,646768,0,1200,647968,503578,0,520533,1024111,520533,-539180,539180,520533,4050245,11626000,-7575755,-65.16,11626000
Debt impairment,,57928451,0,75000000,75000000,601522,360891,358233,1320646,353881,0,355597,709478,354100,0,369909,724009,369909,-417267,442876,395518,3149651,75000000,-71850349,-95.8,75000000
Depreciation and asset impairment,,99998475,0,117500000,117500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117500000,-117500000,-100,117500000
Finance charges,,7771049,0,1835909,5601909,835857,204961,969859,2010677,847701,0,1125816,1973517,884666,0,874161,1758827,874161,-837655,948446,984952,6727973,1835909,4892064,266.47,5601909
Bulk purchases,,185479415,0,173807055,180445000,18261720,12165730,18757106,49184556,16700266,0,13666709,30366975,17571929,0,12720447,30292376,12720447,30380094,18846696,61947237,171791144,173807055,-2015911,-1.16,180445000
Other Materials,,0,0,455000,455000,90145,0,0,90145,0,0,0,0,0,0,0,0,0,0,0,0,90145,455000,-364855,-80.19,455000
Contracted services,,21221765,0,14900000,19900000,551064,34436,41772,627272,1647939,0,653359,2301298,1364667,0,23136,1387803,23136,-2895,1951803,1972044,6288417,14900000,-8611583,-57.8,19900000
Transfers and grants,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Other expenditure,,78962784,0,38277000,16951000,1035641,5004660,8160446,14200747,5498026,0,2979805,8477831,5888020,0,5982751,11870771,5982751,-5775037,10323603,10531317,45080666,38276997,6803669,17.77,16951000
Loss on disposal of PPE,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
