Gauteng: Merafong City(GT484) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,267770905,0,293355761,141335443,24277439,24235075,24278734,72791248,24288838,11911479,-1705,36198612,11145982,14125560,11003595,36275137,11863787,10561050,11392610,33817447,179082444,293355756,-114273312,-38.95,141335443
Property rates - penalties and collection charges,,1666856,0,2292709,359016,21460,27564,54658815,54707839,44941,23113,33977,102031,17351,21391,1105873,1144615,1441388,237874,13087,1692349,57646834,2292708,55354126,2414.36,359016
Service charges - electricity revenue,,213867305,0,238920000,219408779,20206976,22250955,0,42457931,18032097,16051307,4205182,38288586,17445456,17473789,16791617,51710862,16603367,17254291,12363840,46221498,178678877,238920432,-60241555,-25.21,219408779
Service charges - water revenue,,235800066,0,258285000,248093131,6971012,23474398,0,30445410,22265272,20661019,152438,43078729,21358659,20420446,21802118,63581223,18510966,18005737,16007895,52524598,189629960,258285132,-68655172,-26.58,248093131
Service charges - sanitation revenue,,25229510,0,36398000,33491814,2636418,2572897,2868768,8078083,2933242,3051909,349,5985500,3032433,2913287,2967946,8913666,2632246,2656174,2934350,8222770,31200019,36397776,-5197757,-14.28,33491814
Service charges - refuse revenue,,38543395,0,50225306,50777017,4227695,4225334,4222552,12675581,4216694,4248372,120,8465186,4233147,4236875,4244980,12715002,4612511,4231153,4209310,13052974,46908743,50225304,-3316561,-6.6,50777017
Service charges - other,,603312,0,638628,785933,64955,65163,65274,195392,66730,65733,0,132463,63186,65292,66150,194628,65292,69196,73536,208024,730507,638628,91879,14.39,785933
Rental of facilities and equipment,,1293327,0,1051292,1051168,91575,87187,93057,271819,94487,95528,86102,276117,60149,133550,91189,284888,55941,92970,70796,219707,1052531,1051164,1367,0.13,1051168
Interest earned - external investments,,16863276,0,17959000,8385751,64968,209043,207078,481089,87220,47601,77812,212633,147635,214806,1382699,1745140,129767,152204,1574,283545,2722407,17958576,-15236169,-84.84,8385751
Interest earned - outstanding debtors,,32839976,0,29895000,41200800,3139768,3636139,3695875,10471782,3795511,2718307,3614909,10128727,6430204,3927101,3600117,13957422,4078451,2925624,2442829,9446904,44004835,29894568,14110267,47.2,41200800
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Fines,,3365442,0,3493000,3162397,296292,383490,302639,982421,337677,104919,145063,587659,197058,138249,109822,445129,349314,311450,302006,962770,2977979,3493152,-515173,-14.75,3162397
Licences and permits,,12858969,0,37986669,33374700,2706779,3435954,2852215,8994948,3357806,2284847,1704565,7347218,2191902,2493971,4002602,8688475,2488724,2210545,4127689,8826958,33857599,37986672,-4129073,-10.87,33374700
Agency services,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Transfers recognised - operational,,527029681,0,187077084,485010532,69657000,1576435,0,71233435,500,1000,0,1500,0,10499875,56502085,67001960,0,300,0,300,138237195,187077000,-48839805,-26.11,485010532
Other own revenue,,10815850,0,12194097,33734461,1811941,764296,-1215429,1360808,1715820,618590,339527,2673937,251497,4255174,2504875,7011546,129161,766722,1556593,2452476,13498767,12194172,1304595,10.7,33734461
Gains on disposal of PPE,,0,0,403436,1301335,1301335,0,0,1301335,0,0,0,0,0,0,0,0,0,0,0,0,1301335,403440,897895,222.56,1301335
Total Revenue (excl. capital transfers and contributions),,1388547870,0,1170174982,1301472277,137475613,86943930,92029578,316449121,81236835,61883724,10358339,153478898,66574659,80919366,126175668,273669693,62960915,59475290,55496115,177932320,921530032,1170174480,-248644448,-21.248493472528985,1301472277
,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure By Type,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee related costs,,299183061,0,345157648,278009977,25063315,24033466,24610763,73707544,25392425,22715486,23389737,71497648,20192600,22947984,23106012,66246596,22188881,30260220,25251385,77700486,289152274,345157452,-56005178,-16.23,278009977
Remuneration of councillors,,17752644,0,19023000,17421153,1465775,1501546,1488728,4456049,1485409,1485409,1485409,4456227,1485409,1466334,1478039,4429782,2288149,1565830,1565830,5419809,18761867,19023228,-261361,-1.37,17421153
Debt impairment,,124928153,0,104841117,111092888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104841120,-104841120,-100,111092888
Depreciation and asset impairment,,111468555,0,109946800,33626801,0,0,0,0,0,0,0,0,0,10428551,10428551,20857102,0,0,0,0,20857102,109946796,-89089694,-81.03,33626801
Finance charges,,4451949,0,10008000,3444793,138466,124289,891150,1153905,220929,105761,120595,447285,106563,163545,937446,1207554,78903,92242,126628,297773,3106517,10007856,-6901339,-68.96,3444793
Bulk purchases,,313926989,0,350468870,343086339,87071,38875359,34826765,73789195,26886979,26126807,24937856,77951642,25523811,25990362,26387989,77902162,26481623,25419984,27270831,79172438,308815437,350468868,-41653431,-11.89,343086339
Other Materials,,0,0,0,43052668,749114,1197831,3878616,5825561,2181486,1317254,1912618,5411358,2221203,2020828,2782083,7024114,693806,495262,626700,1815768,20076801,,20076801,0,43052668
Contracted services,,101036666,0,104754784,91266978,4665890,11846466,12840662,29353018,12848968,4553738,12250031,29652737,5427639,22857691,6798672,35084002,3339420,21786775,9189428,34315623,128405380,104755260,23650120,22.58,91266978
Transfers and grants,,144965609,0,0,313665270,846156,-223989,505090,1127257,729616,1137447,901736,2768799,1282719,3758895,9259837,14301451,316716,299121,1053228,1669065,19866572,,19866572,0,313665270
Other expenditure,,194926376,0,202294325,100389712,3752937,6645809,9103105,19501851,10917509,5020281,8537855,24475645,11873414,10183761,13123394,35180569,2953255,6390592,6560042,15903889,95061954,202293912,-107231958,-53.01,100389712
Loss on disposal of PPE,,702789,0,0,42500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,42500
Total Expenditure,,1313342791,0,1246494544,1335099079,36768724,84000777,88144879,208914380,80663321,62462183,73535837,216661341,68113358,99817951,94302023,262233332,58340753,86310026,71644072,216294851,904103904,1246494492,-342390588,-27.468279258148538,1335099079
,,,,,,,,,,,,,,,,,,,,,,,,,,
Surplus/(Deficit),,75205079,0,-76319562,-33626802,100706889,2943153,3884699,107534741,573514,-578459,-63177498,-63182443,-1538699,-18898585,31873645,11436361,4620162,-26834736,-16147957,-38362531,17426128,-76320012,93746140,-122.8329733491132,-33626802
Transfers recognised - capital,,0,0,218503000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218314085,-218314085,-100,0
Contributions recognised - capital,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Contributed assets,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) after capital transfers and contributions,,75205079,0,142183438,-33626802,100706889,2943153,3884699,107534741,573514,-578459,-63177498,-63182443,-1538699,-18898585,31873645,11436361,4620162,-26834736,-16147957,-38362531,17426128,141994073,-124567945,-87.72756662878457,-33626802
Taxation,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) after taxation,,75205079,0,142183438,-33626802,100706889,2943153,3884699,107534741,573514,-578459,-63177498,-63182443,-1538699,-18898585,31873645,11436361,4620162,-26834736,-16147957,-38362531,17426128,141994073,-124567945,-87.72756662878457,-33626802
Attributable to minorities,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) attributable to municipality,,75205079,0,142183438,-33626802,100706889,2943153,3884699,107534741,573514,-578459,-63177498,-63182443,-1538699,-18898585,31873645,11436361,4620162,-26834736,-16147957,-38362531,17426128,141994073,-124567945,-87.72756662878457,-33626802
Share of surplus/ (deficit) of associate,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) for the year,,75205079,0,142183438,-33626802,100706889,2943153,3884699,107534741,573514,-578459,-63177498,-63182443,-1538699,-18898585,31873645,11436361,4620162,-26834736,-16147957,-38362531,17426128,141994073,-124567945,-87.72756662878457,-33626802
