Gauteng: City Of Johannesburg(JHB) - Table C4 Quarterly Budget Statement - Financial Performance (revenue and expenditure) for 4th Quarter ended 30 June 2015 (Figures Finalised as at 2015/07/31),,,,,,,,,,,,,,,,,,,,,,,,,,
Description,Ref,2013/14,2014/15,Budget year 2014/15,,,,,,,,,,,,,,,,,,,,,,
R thousands,1,Audited Outcome,Audited Outcome,Original Budget,Adjusted Budget,M01 July Actual,M02 Aug Actual,M03 Sept Actual,Q1 Sept Actual,M04 Oct Actual,M05 Nov Actual,M06 Dec Actual,Q2 Dec Actual,M07 Jan Actual,M08 Feb Actual,M09 Mar Actual,Q3 Mar Actual,M10 Apr Actual,M11 May Actual,M12 June Actual,Q4 June Actual,YTD Actual,YTD Budget,YTD Variance,YTD variance %,Full Year Forecast
Revenue By Source,,,,,,,,,,,,,,,,,,,,,,,,,,
Property rates,,7549458000,0,7610948000,7610948000,533949916,548096834,549471250,1631518000,563781360,585321555,628454796,1777557711,837883474,478045141,1056765040,2372693655,502400000,573154775,659400987,1734955762,7516725128,7610948004,-94222876,-1.24,7610948000
Property rates - penalties and collection charges,,123673000,0,103246000,110003000,10930970,4131828,7068330,22131128,8615742,7915818,1760125,18291685,10131245,4213573,16221866,30566684,7292000,2504471,11567908,21364379,92353876,103245996,-10892120,-10.55,110003000
Service charges - electricity revenue,,11538407000,0,13573620000,13573620000,1145433343,1151532201,926952456,3223918000,1051658681,917096511,964321192,2933076384,946583244,770050459,1110271876,2826905579,1058511000,973343634,1173446358,3205300992,12189200955,13573620000,-1384419045,-10.2,13573620000
Service charges - water revenue,,4126244000,0,4618593000,4618593000,405805953,345350801,367420246,1118577000,505190235,439961604,324264670,1269416509,352193030,302538124,399771428,1054502582,649320000,303355732,173713152,1126388884,4568884975,4618593000,-49708025,-1.08,4618593000
Service charges - sanitation revenue,,2292731000,0,2712507000,2712507000,183636945,223359840,220589215,627586000,327480083,266265551,213509656,807255290,240166770,204097566,272601204,716865540,0,204526629,474345028,678871657,2830578487,2712507000,118071487,4.35,2712507000
Service charges - refuse revenue,,1137713000,0,1060922000,1169526000,98284346,115864028,81295626,295444000,99615000,106357991,94072300,300045291,108642418,108764704,87763477,305170599,103009000,109963617,92240605,305213222,1205873112,1060922000,144951112,13.66,1169526000
Service charges - other,,323526000,0,467740000,452464000,28182654,31991783,53431563,113606000,28539108,31003126,38981426,98523660,26158135,26833477,55350219,108341831,32730000,-22581492,119766355,129914863,450386354,467740000,-17353646,-3.71,452464000
Rental of facilities and equipment,,221714000,0,293594000,269185000,14591575,14559817,16073608,45225000,25186294,14829507,21212914,61228715,19801579,17374526,27382897,64559002,16975000,21023575,28103972,66102547,237115264,293594000,-56478736,-19.24,269185000
Interest earned - external investments,,336019000,0,420118000,419785000,83144348,27579219,22869433,133593000,-46447953,17047532,257789810,228389389,-18451989,9681272,104141471,95370754,17176000,37242668,45146624,99565292,556918435,420117996,136800439,32.56,419785000
Interest earned - outstanding debtors,,94003000,0,107685000,110061000,10438975,7241968,8369057,26050000,6330807,7209818,14534362,28074987,17552911,6360392,15935138,39848441,11460000,10086471,11374854,32921325,126894753,107685000,19209753,17.84,110061000
Dividends received,,0,0,0,0,0,0,0,0,0,0,0,0,16679029,0,-16679000,29,0,0,0,0,29,,29,0,0
Fines,,190185000,0,466534000,1345970000,11740531,17532985,22068484,51342000,10044572,10539949,579484041,600068562,10189779,158388917,103473888,272052584,104930000,105263203,164932,210358135,1133821281,466534004,667287277,143.03,1345970000
Licences and permits,,1170000,0,707000,707000,73242,73119,115639,262000,98498,56102,43326,197926,84698,73002,151529,309229,77000,127868,146859,351727,1120882,707000,413882,58.54,707000
Agency services,,515199000,0,584677000,613668000,44910094,42884658,46577248,134372000,49997771,45338073,43840113,139175957,40460237,41640907,48152990,130254134,44578000,43764343,75893030,164235373,568037464,584676996,-16639532,-2.85,613668000
Transfers recognised - operational,,5261134000,0,5690916000,5981152000,226282770,239456569,862004661,1327744000,438684233,478235542,398702118,1315621893,416886682,660730617,947075431,2024692730,202204000,254617760,726184713,1183006473,5851065096,5690916004,160149092,2.81,5981152000
Other own revenue,,2101215000,0,1575476000,1785265280,235620507,190062886,207462607,633146000,165338194,130840018,244280052,540458264,-164491453,401930816,168176062,405615425,162556000,219757988,379199652,761513640,2340733329,1112411004,1228322325,110.42,1785265280
Gains on disposal of PPE,,102000,0,20000000,20000000,0,0,0,0,0,0,0,0,0,0,27000,27000,0,0,372884,372884,399884,20000000,-19600116,-98,20000000
Total Revenue (excl. capital transfers and contributions),,35812493000,0,39307283000,40793454280,3033026169,2959718536,3391769423,9384514128,3234112625,3058018697,3825250901,10117382223,2860469789,3190723493,4396582516,10447775798,2913218000,2836151242,3971067913,9720437155,39670109304,38844218004,825891300,2.1261627661418063,40793454280
,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure By Type,,,,,,,,,,,,,,,,,,,,,,,,,,
Employee related costs,,8062522000,0,8740591768,8975981660,690527049,688095098,672067853,2050690000,750378533,912743540,806718143,2469840216,654657877,712981682,707690330,2075329889,712127000,720040360,792283165,2224450525,8820310630,8740591765,79718865,0.91,8975981660
Remuneration of councillors,,120639000,0,134301000,134301000,9926811,10033429,10016760,29977000,10034658,93761,19815643,29944062,10039825,10015710,10041414,30096949,11751000,13316156,12414434,37481590,127499601,134301000,-6801399,-5.06,134301000
Debt impairment,,2164019000,0,1481233000,2901416000,183580539,133328638,399968823,716878000,80758336,331573228,313272401,725603965,213143889,571290350,171660481,956094720,302456000,406366728,-182788590,526034138,2924610823,1481232996,1443377827,97.44,2901416000
Depreciation and asset impairment,,2044042000,0,2795813000,2795813000,161023959,164770776,162002265,487797000,159972232,159001971,205378162,524352365,168770626,167725316,233922556,570418498,169112000,172494948,260468181,602075129,2184642992,2795813000,-611170008,-21.86,2795813000
Finance charges,,1418663000,0,1809644000,1770696000,121238250,122226525,119298225,362763000,130147513,121996792,121056977,373201282,116629345,104515172,127724284,348868801,108837000,115728940,171112901,395678841,1480511924,1809644000,-329132076,-18.19,1770696000
Bulk purchases,,11628740000,0,12477870000,12337554000,1634265037,1461455285,1108313225,4204033547,891147417,859241491,808250839,2558639747,859819923,841067716,814719561,2515607200,897394000,882490908,1396999918,3176884826,12455165320,12477870000,-22704680,-0.18,12337554000
Other Materials,,0,0,44945000,44945000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44944896,-44944896,-100,44945000
Contracted services,,3079810000,0,3850659291,4367731000,22226205,302234522,348091273,672552000,268863880,408072207,224700097,901636184,143080824,263106452,411222483,817409759,154723000,336551927,1055321666,1546596593,3938194536,3850659289,87535247,2.27,4367731000
Transfers and grants,,324530000,0,299689000,365476000,-14156802,23353414,47969950,57166562,47499758,47151566,79148785,173800109,14019126,38228765,43260990,95508881,15526000,54741978,103547585,173815563,500291115,299688996,200602119,66.94,365476000
Other expenditure,,4736796000,0,5148375270,5595921000,161346353,488569834,324614813,974531000,412210192,318053070,508644575,1238907837,173771687,340544065,618207397,1132523149,251811000,415744168,759047611,1426602779,4772564765,5148375372,-375810607,-7.3,5595921000
Loss on disposal of PPE,,523719000,0,0,20000,-10450,192741,110709,293000,10302,16692,423799,450793,526386,976320,414895,1917601,3124000,-879059,819749663,821994604,824655998,,824655998,0,20000
Total Expenditure,,34103480000,0,36783121329,39289854660,2969966951,3394260262,3192453896,9556681109,2751022821,3157944318,3087409421,8996376560,2354459508,3050451548,3138864391,8543775447,2626861000,3116597054,5188156534,10931614588,38028447704,36783121314,1245326390,3.3855919386754625,39289854660
,,,,,,,,,,,,,,,,,,,,,,,,,,
Surplus/(Deficit),,1709013000,0,2524161671,1503599620,63059218,-434541726,199315527,-172166981,483089804,-99925621,737841480,1121005663,506010281,140271945,1257718125,1904000351,286357000,-280445812,-1217088621,-1211177433,1641661600,2061096690,-419435090,-20.35009284304852,1503599620
Transfers recognised - capital,,2679588000,0,2654718000,2756315000,-297520561,232702323,108048238,43230000,152424090,251947999,91756050,496128139,101188476,165458850,480250035,746897361,-1372000,334879016,873152559,1206659575,2492915075,2654718004,-161802929,-6.09,2756315000
Contributions recognised - capital,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,463065000,-463065000,-100,0
Contributed assets,,0,0,0,0,0,0,0,0,0,-68815,68815,0,0,0,0,0,0,7248689,7076055,14324744,14324744,,14324744,0,0
Surplus/(Deficit) after capital transfers and contributions,,4388601000,0,5178879671,4259914620,-234461343,-201839403,307363765,-128936981,635513894,151953563,829666345,1617133802,607198757,305730795,1737968160,2650897712,284985000,61681893,-336860007,9806886,4148901419,5178879694,-1029978275,-19.888051776782596,4259914620
Taxation,,388591000,0,528805000,358437000,3320290,2360876,2626858,8308024,3782923,2211006,2780734,8774663,2450587,1906929,234486388,238843904,5918000,8437371,12325356,26680727,282607318,528805004,-246197686,-46.56,358437000
Surplus/(Deficit) after taxation,,4000010000,0,4650074671,3901477620,-237781633,-204200279,304736907,-137245005,631730971,149742557,826885611,1608359139,604748170,303823866,1503481772,2412053808,279067000,53244522,-349185363,-16873841,3866294101,4650074690,-783780589,-16.855225802835438,3901477620
Attributable to minorities,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) attributable to municipality,,4000010000,0,4650074671,3901477620,-237781633,-204200279,304736907,-137245005,631730971,149742557,826885611,1608359139,604748170,303823866,1503481772,2412053808,279067000,53244522,-349185363,-16873841,3866294101,4650074690,-783780589,-16.855225802835438,3901477620
Share of surplus/ (deficit) of associate,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Surplus/(Deficit) for the year,,4000010000,0,4650074671,3901477620,-237781633,-204200279,304736907,-137245005,631730971,149742557,826885611,1608359139,604748170,303823866,1503481772,2412053808,279067000,53244522,-349185363,-16873841,3866294101,4650074690,-783780589,-16.855225802835438,3901477620
